Gene = CHMP5
index = 370
Annotated 5SS: [  206  1173  2958  5775  6282 11623 13284]
Annotated 3SS: [ 1067  2910  5680  6209 11513 13170 15866]
SMsplice 5SS: [  206  1173  2958  6282 11623]
SMsplice 3SS: [ 1067  2910  6209 11513 15866]
top_k =  1000
Partition function (log Z): 6.678404266144273

Sorted 5' Splice Sites (High to Low Probability):
Position 11623: 0.9981084812110691
Position 6282: 0.9914811581227038
Position 1173: 0.8901311189308339
Position 206: 0.8318674419594103
Position 2958: 0.5927793431697007
Position 11838: 0.4549205143862215
Position 5775: 0.4417428934348048
Position 13284: 0.36515114561666473
Position 885: 0.33839648679858353
Position 3701: 0.25473396500894235
Position 3559: 0.2304141049552183
Position 11866: 0.22132934985258504
Position 2124: 0.19234493171705816
Position 8308: 0.15456309217182537
Position 7004: 0.08310873604955957
Position 2327: 0.08005245613568514
Position 1178: 0.07955795745590712
Position 3554: 0.07472050482468633
Position 6714: 0.06564306574682383
Position 6690: 0.05431732565292125
Position 12022: 0.04760480131801025
Position 2829: 0.03918926133824347
Position 7233: 0.034933187828373374
Position 8591: 0.03273397792286668
Position 3922: 0.030280148627682107
Position 15507: 0.029895952895163305
Position 2498: 0.028394600495027088
Position 13258: 0.021675524828226437
Position 2403: 0.02074970001611838
Position 9343: 0.020678428477536204
Position 8562: 0.019212629920829147
Position 6739: 0.014808342554293603
Position 14126: 0.01328674675095821
Position 228: 0.013008252778697231
Position 3028: 0.012175455028554622
Position 2991: 0.011532060373861657
Position 4173: 0.011096922473960226
Position 8587: 0.011027183521786837
Position 10310: 0.009718155075072824
Position 5297: 0.008802937381288772
Position 1201: 0.00875476552411286
Position 2040: 0.008651322123813383
Position 15942: 0.007875908666973385
Position 8604: 0.006978957819873984
Position 854: 0.006835612889135787
Position 8171: 0.006765468876398931
Position 10400: 0.006572465280892796
Position 6531: 0.006241244126083533
Position 10294: 0.006021855891272326
Position 8622: 0.005966592982645908
Position 8833: 0.005286444820398944
Position 13363: 0.00438300731381552
Position 1812: 0.00419933374016884
Position 5909: 0.0041697551638722515
Position 12184: 0.0033945087585921688
Position 13587: 0.003277728188441789
Position 2376: 0.0029100691353491403
Position 3296: 0.002808977746569009
Position 11732: 0.0021425971539374756
Position 12415: 0.002036664373962817
Position 2050: 0.0020263616114482978
Position 12528: 0.0018740943145557731
Position 3707: 0.0018490082708942602
Position 2821: 0.0018266974219423142
Position 2106: 0.0018077870228584627
Position 11860: 0.0017958482890751007
Position 7012: 0.0017465186540802223
Position 3591: 0.001601283504903878
Position 13424: 0.0015469038992256508
