Gene = UTS2
index = 1543
Annotated 5SS: [ 125  531 2620 3792]
Annotated 3SS: [ 507 2508 3747 5548]
SMsplice 5SS: [ 125 2620]
SMsplice 3SS: [2508 3852]
top_k =  1000
Partition function (log Z): -8.583387854670756

Sorted 5' Splice Sites (High to Low Probability):
Position 125: 0.8675284436810543
Position 2620: 0.5793733180341726
Position 531: 0.387827775507493
Position 3792: 0.2737574736193735
Position 2897: 0.22896109684560706
Position 2696: 0.06518498499577124
Position 1865: 0.03433993622851997
Position 3009: 0.02988658805775102
Position 4518: 0.0268205452567115
Position 796: 0.025106414107192165
Position 1893: 0.011888363404355012
Position 2878: 0.011232676744558063
Position 4663: 0.0071801494183213865
Position 5359: 0.004163770652878726
Position 4621: 0.004096284948507291
Position 1432: 0.0028453395330452205
Position 2339: 0.002457008063157872
Position 1787: 0.0024387278904591295
Position 1550: 0.002260481048785516
Position 3990: 0.00221877067813993
Position 2062: 0.0020540944644112367
Position 2429: 0.0011475665694108223
Position 2819: 0.0009274822808098388
Position 2587: 0.0008200960454115492
Position 1045: 0.0005183109641158949
Position 1002: 0.0004210428263136577
Position 739: 0.00041105991110594603
Position 430: 0.00039594186927685224
Position 5367: 0.0003846950788589202
Position 2865: 0.0003660468906847806
Position 324: 0.00032279881699668196
Position 255: 0.00030312378465900393
Position 2018: 0.00030076215510934127
Position 204: 0.00020622644923451298
Position 3168: 0.0001952815735235337
Position 1774: 0.00017891764717459637
Position 348: 0.0001684618531175477
Position 1949: 0.00016543775535929833
Position 702: 0.00014094048654886512
Position 555: 7.491775500781735e-05
Position 62: 3.283004231654311e-05
Position 12: 1.2270229608603543e-05
Position 319: 1.1653083068014376e-05
Position 2488: 9.33273459720885e-06
Position 2740: 5.322058295225198e-06
Position 705: 4.604830796249105e-06
Position 1123: 3.963357430251865e-06
Position 372: 2.5537225881684808e-06
Position 594: 2.026265488584986e-06
Position 1652: 1.9725285195855187e-06
Position 379: 1.721963341665416e-06
Position 3041: 1.139268375518111e-06
Position 3213: 1.0188565565380847e-06
Position 184: 9.195239921977746e-07
Position 450: 8.950410333340104e-07
Position 2944: 7.960541264255503e-07
Position 129: 7.324168123296932e-07
Position 1506: 6.77868518156441e-07
Position 161: 6.778301440915847e-07
Position 1029: 5.858069153314298e-07
Position 1398: 4.906864120235689e-07
Position 1094: 4.792709485085381e-07
Position 419: 3.999688774008986e-07
Position 2157: 3.9707940585496654e-07
Position 781: 3.950457342013029e-07
Position 1239: 3.1854024507011197e-07
Position 1193: 2.9132866303315877e-07
Position 3827: 1.5793536924740502e-07
