Gene = FANCD2OS
index = 539
Annotated 5SS: [ 217 4034]
Annotated 3SS: [ 3448 26699]
SMsplice 5SS: [217]
SMsplice 3SS: [3448]
top_k =  1000
Partition function (log Z): -14.410304743200665

Sorted 5' Splice Sites (High to Low Probability):
Position 217: 0.9704717764502818
Position 13979: 0.6442836652546455
Position 3658: 0.5818137546581363
Position 13366: 0.5725877254279851
Position 16686: 0.5224845164253028
Position 22434: 0.22382573148012602
Position 13669: 0.13523879177182374
Position 4782: 0.06808679957411874
Position 13773: 0.06399329339645485
Position 12022: 0.06127924630163465
Position 4197: 0.05625773752397706
Position 3619: 0.04397153142622016
Position 1791: 0.037283622219025224
Position 9988: 0.0312732423217157
Position 10808: 0.031199755770902584
Position 3585: 0.02769904615782348
Position 3718: 0.02659008965342672
Position 16621: 0.022495003375980798
Position 21100: 0.01611090592380012
Position 12394: 0.015939744966865132
Position 14638: 0.01479252068490684
Position 1578: 0.011096807286377613
Position 8951: 0.00897803798023779
Position 4034: 0.008585339515014062
Position 9538: 0.007347411752410976
Position 3209: 0.007227818200821739
Position 713: 0.0070525172943228095
Position 13013: 0.007030143482476518
Position 12975: 0.006674895759618076
Position 14619: 0.005793660542105166
Position 18160: 0.005596237102394045
Position 4202: 0.005055199911183945
Position 3598: 0.005002977485229837
Position 171: 0.004652107313439017
Position 8296: 0.0042343531656035965
Position 339: 0.0035916374995720126
Position 18188: 0.0034340498819563376
Position 745: 0.0028593609204409843
Position 425: 0.00240645498605623
Position 16857: 0.002071072225397439
Position 1966: 0.001968055835234695
Position 9397: 0.0019354566324415077
Position 9900: 0.0016971452970066239
Position 10535: 0.0016674886940171074
Position 2112: 0.0015510171869329607
Position 384: 0.001273286720800062
Position 1401: 0.0011709070459388232
Position 3148: 0.0011254987793207062
Position 24: 0.0010299805177298481
Position 4575: 0.001016050521748822
Position 1651: 0.0009653993351544321
Position 296: 0.0009411799909763258
Position 3987: 0.0008860421334062437
Position 1088: 0.0007802510148932689
Position 8: 0.0007470091058994832
Position 1286: 0.0007049106709210918
Position 2109: 0.0005752174700093572
Position 868: 0.0005716837242882047
Position 1645: 0.0005449767819872831
Position 343: 0.00046726470292967335
Position 260: 0.00044641422362615634
Position 3942: 0.0004010569069787617
Position 1580: 0.000366729819014167
Position 1427: 0.00029762507976024695
Position 255: 0.00021695116254143818
Position 3606: 0.0002021816355386961
Position 395: 0.00017527554076323193
Position 62: 0.00012644018766073855
Position 208: 0.0001254528008381108
Position 3825: 0.00011519665218501984
Position 1122: 0.00011111328205396617
Position 502: 9.774353590561817e-05
Position 2325: 8.691649470353185e-05
Position 164: 8.447092575631855e-05
Position 4493: 7.4819577930204e-05
Position 462: 7.28072039676921e-05
Position 4350: 7.234373238697951e-05
Position 439: 5.706861266636416e-05
Position 1952: 5.499362754475151e-05
Position 2898: 5.277632026944937e-05
Position 2131: 4.720316977874121e-05
Position 1481: 4.593640140962539e-05
Position 1970: 4.4049016140371853e-05
Position 238: 4.285338820927462e-05
Position 415: 3.6843618248190645e-05
Position 117: 3.173220454566785e-05
Position 1294: 2.8174291173563374e-05
Position 3364: 2.7443105931675508e-05
Position 2095: 2.4804691790332926e-05
Position 370: 2.190606087210811e-05
Position 529: 2.1469108290609682e-05
Position 2194: 1.995958819187267e-05
Position 657: 1.9868004454631363e-05
Position 3503: 1.9530123093927132e-05
Position 1536: 1.951084348720247e-05
Position 1668: 1.9495032077596898e-05
Position 3751: 1.8785086645115857e-05
Position 38: 1.577309818949928e-05
Position 1563: 1.5757660334433602e-05
Position 16730: 1.5490882357087493e-05
Position 3772: 1.4396193619004365e-05
Position 534: 1.4264824885510844e-05
Position 3669: 1.354257872244857e-05
Position 4242: 1.2929275079438033e-05
Position 2818: 1.1265641474707897e-05
Position 466: 9.834797930725511e-06
Position 670: 7.999053975214576e-06
Position 1472: 7.304018753402281e-06
Position 2093: 6.785646601712556e-06
Position 262: 6.265461616765323e-06
Position 1275: 4.069311409510859e-06
Position 1124: 3.8804717459329245e-06
Position 1150: 3.7292501933643373e-06
Position 1492: 3.6722082105278935e-06
Position 1590: 3.643640670961922e-06
Position 1360: 2.5679888793421914e-06
Position 1044: 2.169779503284296e-07
Position 1057: 1.6082290213907945e-07
