Gene = PTAR1
index = 1095
Annotated 5SS: [   90  9162 18151 25793 27804 36617 41293]
Annotated 3SS: [ 8991 18083 25687 27589 36311 41257 41373]
SMsplice 5SS: [   90 18151 21820 25793]
SMsplice 3SS: [18083 21730 25687 41257]
top_k =  1000
Partition function (log Z): -21.258069494604342

Sorted 5' Splice Sites (High to Low Probability):
Position 90: 0.9487913057909565
Position 9162: 0.9285111326175424
Position 8861: 0.7844387551534288
Position 18151: 0.7444538873356106
Position 21820: 0.515975469129673
Position 6173: 0.2244154366256708
Position 445: 0.1427791543727176
Position 505: 0.14037525161809708
Position 4444: 0.12041231504198305
Position 15699: 0.06122915438803175
Position 419: 0.03580550870449045
Position 391: 0.020633364074650076
Position 451: 0.011664411306086107
Position 15707: 0.010638174954685543
Position 441: 0.009013481940973981
Position 4223: 0.007166280580750856
Position 1539: 0.006840813214894492
Position 1238: 0.004827606135083041
Position 561: 0.0043513314268495374
Position 5869: 0.0031751600661637583
Position 3583: 0.002894126377400733
Position 4800: 0.0028497744778552218
Position 2385: 0.0027335870651497302
Position 11402: 0.002672167442070919
Position 643: 0.00220553578812428
Position 13088: 0.002099182719313275
Position 4616: 0.0018218252477666176
Position 304: 0.0015928829890176975
Position 6340: 0.0009953746637387283
Position 1441: 0.0009544075372495563
Position 10456: 0.0007825600200776421
Position 2081: 0.0006644170857318392
Position 4549: 0.0006020331055146814
Position 1255: 0.0005894254184700645
Position 25: 0.0005565594099899582
Position 2422: 0.0005542281635530518
Position 4723: 0.0004826012461645804
Position 4711: 0.0004343918742093407
Position 9442: 0.0003368062951399557
Position 6415: 0.00027908549299757987
Position 460: 0.00025682693062336503
Position 31: 0.0002301227230589044
Position 6898: 0.00018197275495615792
Position 395: 0.0001771190441404659
Position 4667: 0.00017638985810668878
Position 5326: 0.00017569957946157158
Position 6125: 0.00011439355890068065
Position 1207: 9.970118927899886e-05
Position 186: 9.548462133046377e-05
Position 120: 9.284062167356339e-05
Position 7727: 8.56011258757841e-05
Position 3592: 8.519301874077234e-05
Position 37: 8.011265504643415e-05
Position 11179: 6.829756303319835e-05
Position 1602: 6.392575486793268e-05
Position 2496: 6.342332752235389e-05
Position 1951: 5.884194388541664e-05
Position 4105: 5.4798522110344846e-05
Position 289: 4.564299121743446e-05
Position 227: 4.412498120866689e-05
Position 7228: 4.023336053258657e-05
Position 46: 3.904332188627836e-05
Position 94: 3.552336037722667e-05
Position 294: 2.2335042835056078e-05
Position 152: 7.0247387227158245e-06
Position 49: 2.329725987631422e-06
Position 243: 2.0705023908754533e-06
Position 952: 1.8897263665600197e-06
Position 843: 1.711882783662746e-06
Position 4655: 1.5520326801457772e-06
Position 820: 9.852746054805576e-07
Position 564: 9.693493104565183e-07
Position 123: 6.54165013801192e-07
Position 607: 4.5553747469755176e-07
Position 546: 3.423395118506737e-07
Position 673: 2.1517791726247117e-07
Position 449: 1.407816430913343e-07
Position 973: 1.37325360570169e-07
Position 848: 1.2841883202854975e-07
Position 340: 9.679909585379446e-08
Position 1052: 9.117905536901529e-08
Position 225: 8.780808949615408e-08
Position 612: 7.813889476445227e-08
Position 1172: 6.229606384284587e-08
Position 491: 3.461068590077883e-08
Position 878: 2.2423526212222428e-08
Position 903: 1.9794316743111494e-08
Position 954: 1.1837827645578407e-08
Position 1247: 2.680597944064814e-09
Position 1026: 1.9802444104603837e-09
Position 364: 7.959113126390642e-10
Position 240: 4.986730198221549e-10
Position 384: 8.619668486924597e-11
Position 410: 5.248719993050575e-11
Position 689: 4.2422353479845536e-11
Position 412: 4.4081341386234493e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 18083: 0.7541363624494689
Position 9023: 0.5847678602522904
Position 21730: 0.5451697828627364
Position 8686: 0.44880624642510913
Position 8656: 0.25396862601364634
Position 361: 0.25137681538529855
Position 25687: 0.2388759694567053
Position 23880: 0.2348532644809604
Position 22298: 0.23144174852874466
Position 8991: 0.1981701158737903
Position 6080: 0.18148816004473992
Position 9132: 0.14649722583183528
Position 19304: 0.12679196448538002
Position 4400: 0.10985259554345281
Position 8802: 0.08227389598345669
Position 15629: 0.07617489899783056
Position 6051: 0.06486750130395655
Position 418: 0.05796314795923028
Position 13030: 0.02805251969022169
Position 13473: 0.01698948824670242
Position 209: 0.008854995748808464
Position 7195: 0.008420692813320453
Position 11268: 0.006484437437033017
Position 4333: 0.006406927984419566
Position 1132: 0.006299308338888733
Position 11733: 0.005378240484925032
Position 4440: 0.0052404927320557244
Position 1237: 0.004611846758558109
Position 13784: 0.0037524161731954044
Position 4123: 0.0037386181987636383
Position 16620: 0.003114261155375166
Position 10289: 0.002953944221260059
Position 12939: 0.002776715035664853
Position 9930: 0.0026764073990323
Position 14296: 0.0024388763032304507
Position 4698: 0.002278035795453957
Position 4104: 0.0022030181994700977
Position 6454: 0.0019921028759527512
Position 394: 0.0018506404931513925
Position 3482: 0.001787848722013136
Position 7322: 0.0015784891767246655
Position 4195: 0.0013472193422472908
Position 2288: 0.0013183486858688181
Position 11111: 0.0013174026952577592
Position 11827: 0.0012804940436525383
Position 11868: 0.001246964990924129
Position 1441: 0.001234055733577596
Position 3455: 0.0012322119003863883
Position 12003: 0.0011812224883118486
Position 11541: 0.0010869016666070924
Position 4306: 0.0010843320117541592
Position 4162: 0.001045819659398131
Position 5750: 0.0010361523393750713
Position 2350: 0.0010049534437523012
Position 10731: 0.0009643928595356791
Position 1686: 0.0009135695621798619
Position 5698: 0.0009066997590325564
Position 2189: 0.0008671700563157622
Position 8185: 0.0008655506882857145
Position 13055: 0.0008389016429053574
Position 4236: 0.000822680468535551
Position 13553: 0.0007934012418068509
Position 8076: 0.0007332002804811839
Position 4443: 0.0006586090931491171
Position 5586: 0.0006503467705269117
Position 1160: 0.000643011374009536
Position 1370: 0.0006381621265933006
Position 5022: 0.0006090874373456778
Position 12463: 0.0005924207219452199
Position 5686: 0.000561869289353531
Position 9872: 0.0005031775792466541
Position 7618: 0.0004846891825924383
Position 6222: 0.000465614658373028
Position 9198: 0.00043657816241893574
Position 1499: 0.0004246299514275769
Position 11771: 0.0004239141650401316
Position 2139: 0.0004201323439872827
Position 9350: 0.0004097866177002199
Position 6883: 0.0003913180798711326
Position 1682: 0.0003647804564138916
Position 642: 0.00030310861299422836
Position 364: 0.0003001416482621659
Position 9259: 0.0002892107653271683
Position 1969: 0.00026446099865796443
Position 2246: 0.00026152099526086087
Position 10017: 0.00023634086606088396
Position 5773: 0.00023502350304630156
Position 587: 0.00021986486336979258
Position 5913: 0.0002148838796821886
Position 10130: 0.00020867332886678828
Position 1177: 0.00018202156853990004
Position 11805: 0.00018026548814541505
Position 4937: 0.0001469878495240945
Position 3958: 0.00014537739928012264
Position 200: 0.00014308579742130457
Position 220: 0.0001382936231906306
Position 1519: 0.00013320520431512874
Position 4512: 0.00011869816446313814
Position 2006: 0.00011463818020401706
Position 2045: 0.0001128873284976596
Position 4250: 9.329230434752587e-05
Position 1988: 9.034043327820115e-05
Position 7256: 8.906066455354013e-05
Position 1450: 8.472046730437937e-05
Position 216: 7.356404195785625e-05
Position 1418: 6.771781775512744e-05
Position 1745: 5.693026521364048e-05
Position 182: 4.488549605821994e-05
Position 6788: 4.0968685787268544e-05
Position 8411: 4.089726934077934e-05
Position 726: 2.9289190788614914e-05
Position 843: 2.8799913037128508e-05
Position 546: 2.5405230587473877e-05
Position 6129: 2.3898083468473707e-05
Position 2859: 1.1813027617063686e-05
Position 3894: 1.1466415001290343e-05
Position 5069: 9.601005466598128e-06
Position 808: 8.992025328451087e-06
Position 6862: 8.752222078076914e-06
Position 2779: 8.037339264751759e-06
Position 2421: 7.657928448636225e-06
Position 1195: 6.4167908999245985e-06
Position 1084: 6.40582443950688e-06
Position 1255: 4.363999328648264e-06
Position 3047: 4.190572091777729e-06
Position 2888: 4.049002489260519e-06
Position 1471: 3.00630386451641e-06
Position 1006: 2.718168671715807e-06
Position 1713: 2.522184038826612e-06
Position 1757: 2.3296576346747682e-06
Position 903: 2.232979254030374e-06
Position 951: 2.1229203944096985e-06
Position 1048: 2.068344274606274e-06
Position 682: 1.798731016053323e-06
Position 213: 5.729980304902372e-07
Position 1220: 3.593209540551962e-07
Position 301: 2.990936424229679e-07
Position 379: 2.5362085271723757e-07
Position 477: 2.144275529538787e-07
Position 560: 1.9989042296626805e-07
Position 222: 8.884676600311457e-08
Position 381: 8.3934068228157e-08
Position 1416: 7.523545824761921e-08
Position 612: 6.599393665064409e-08
Position 1302: 6.559556517290924e-08
Position 1888: 5.961578816594934e-08
Position 2011: 3.8955872724912535e-08
Position 304: 3.326226956684974e-08
Position 531: 1.521621929867385e-08
Position 499: 1.0335385990374237e-08
Position 294: 5.011904135235079e-09
Position 957: 3.8991993208110855e-09
Position 650: 2.462019891380591e-09
Position 118: 2.1911068949663263e-10
Position 150: 7.261296208409985e-12
Position 501: 4.870386298541791e-12
