Gene = BASP1
index = 126
Annotated 5SS: [75]
Annotated 3SS: [58384]
SMsplice 5SS: [   75  5644 11548 17553 25039]
SMsplice 3SS: [ 5400 11406 17451 24951 58384]
top_k =  1000
Partition function (log Z): -22.293098165868944

Sorted 5' Splice Sites (High to Low Probability):
Position 11548: 0.9997876729815938
Position 25039: 0.9594823113637159
Position 17553: 0.808126606371264
Position 75: 0.6898927338378703
Position 5644: 0.5342310326825292
Position 8172: 0.49791854146911363
Position 11212: 0.4544132519602658
Position 31713: 0.4500126322708313
Position 5486: 0.4168080434497204
Position 32426: 0.3617746129228556
Position 988: 0.15219221872515304
Position 9631: 0.12333725355407905
Position 25993: 0.0940491483191625
Position 273: 0.0870624078359388
Position 10015: 0.08352413568589662
Position 4744: 0.07243985042300671
Position 11301: 0.07188080914562128
Position 3069: 0.03583791882523277
Position 2109: 0.026355655073091715
Position 1230: 0.0245532203619073
Position 128: 0.020624046365553563
Position 7377: 0.019832657934649854
Position 4127: 0.01671837564306426
Position 7398: 0.015424358805363516
Position 431: 0.01457617419721137
Position 27126: 0.014202207067108747
Position 1247: 0.012340702287988184
Position 5672: 0.009982488459849599
Position 3186: 0.009120406539974058
Position 6771: 0.008087529450430439
Position 10020: 0.007903949037667632
Position 3629: 0.007489235706081195
Position 503: 0.007456248352520122
Position 3610: 0.005614997349314732
Position 10972: 0.003960407136243823
Position 247: 0.003928824157899246
Position 6424: 0.003697694184024793
Position 1251: 0.0036727634854994604
Position 117: 0.0036675501524262473
Position 5008: 0.003482833197776907
Position 1452: 0.0034757583728733466
Position 3551: 0.003237905948997993
Position 3621: 0.0030831883119467173
Position 26040: 0.0028759003233796822
Position 6711: 0.0024512116471441508
Position 7612: 0.0024106725981388705
Position 2090: 0.0023815852581256665
Position 212: 0.0023397356707180903
Position 3974: 0.0023279369741758963
Position 3159: 0.002248880562240575
Position 1179: 0.002173291420525278
Position 6491: 0.0017818714088321803
Position 86: 0.0017581378507528025
Position 285: 0.0016955084204849837
Position 3263: 0.001619237083320189
Position 6668: 0.001563257711786711
Position 135: 0.0012995677827983357
Position 1147: 0.0012302039556986552
Position 1333: 0.0012156395963107696
Position 3051: 0.0012141799585896709
Position 3479: 0.001086603751401233
Position 2661: 0.0010162262541936334
Position 277: 0.0009552210539671646
Position 2732: 0.0009097330141621379
Position 3801: 0.0009091835370986397
Position 11952: 0.0008698613700834871
Position 8039: 0.0008530057519363397
Position 478: 0.000797804939768493
Position 2805: 0.0007078007035967344
Position 7495: 0.0006923169381984473
Position 4257: 0.0006595869275050445
Position 6767: 0.0006407193473035843
Position 7815: 0.0005436792265114774
Position 2690: 0.000524991240818332
Position 4953: 0.0005203155440277073
Position 95: 0.0004942535596640125
Position 13698: 0.00047788093412710816
Position 1458: 0.00044138366041848124
Position 3867: 0.00043290763971124617
Position 4616: 0.00041960095271692635
Position 1660: 0.00039989757990466375
Position 4174: 0.0003713591940694781
Position 6381: 0.0003151589208442221
