Gene = SELENBP1
index = 1242
Annotated 5SS: [  96 3021 3292 3730 4535 6012 6459 6966 7171 7545 7808]
Annotated 3SS: [2963 3178 3543 4413 5828 6279 6886 7048 7451 7688 8027]
SMsplice 5SS: [  96 3021 3292 4535 6012 6459 6966 7171 7545 7808]
SMsplice 3SS: [2897 3178 4413 5828 6279 6886 7048 7451 7688 8027]
top_k =  1000
Partition function (log Z): 8.934337023712995

Sorted 5' Splice Sites (High to Low Probability):
Position 96: 0.9975723436996938
Position 4535: 0.9650949537687923
Position 6966: 0.9587935531366754
Position 7808: 0.958628220434992
Position 7545: 0.9014790770663134
Position 3021: 0.8317091201275352
Position 7171: 0.6260988358960139
Position 3292: 0.6152205789653332
Position 6459: 0.6150608042616988
Position 6012: 0.5559251232862078
Position 3652: 0.20141443666670789
Position 3623: 0.2000148273852187
Position 7128: 0.18119730429392428
Position 7271: 0.11917288801700711
Position 6797: 0.09963362080910869
Position 3865: 0.07218882455524166
Position 3784: 0.060344764782504785
Position 4186: 0.0505412785492353
Position 3921: 0.04297844316222834
Position 5718: 0.040635084536122225
Position 3636: 0.036154401970128876
Position 494: 0.03386035386479209
Position 4996: 0.030779592695619907
Position 6284: 0.02633474416687616
Position 4338: 0.02546421960238696
Position 4868: 0.02534827660972565
Position 5920: 0.022660275979130166
Position 3694: 0.01400812788838901
Position 4347: 0.013159990340363512
Position 2901: 0.00932166729496717
Position 3273: 0.007655734658630244
Position 2632: 0.007330970988673926
Position 370: 0.005488274979310821
Position 5535: 0.004522393667471079
Position 4654: 0.004286549799120071
Position 5864: 0.004265628990664562
Position 1699: 0.004262246925661976
Position 7290: 0.004097814934469658
Position 2184: 0.003953757612546794
Position 2592: 0.0036617990227383753
Position 450: 0.003388751454314939
Position 524: 0.0028299452905174833
Position 5078: 0.0021718034237491594
Position 7261: 0.0021355477276729542
Position 2639: 0.002107583015434656
Position 6532: 0.001972604504551834
Position 2755: 0.0018190899765170943
Position 6920: 0.0017504056230903476
Position 1787: 0.0017158992707157238
Position 1451: 0.001450815612361915
Position 866: 0.001440764447199745
Position 4692: 0.0012385258130520175
Position 7932: 0.0011622554719914109
Position 2661: 0.001068940249332139
Position 424: 0.0009981592487378443
Position 4096: 0.0009215576594007209
Position 7234: 0.0008564694566039525
Position 1495: 0.0008269289792218913
