Gene = ERICH6
index = 506
Annotated 5SS: [  456  1831  5161 17654 17986 18210 21734 23179 23484 25543 29996 34656
 37165]
Annotated 3SS: [ 1772  5068 17596 17929 18092 21634 23020 23412 25396 29909 34499 36935
 43795]
SMsplice 5SS: [  173  5161  9404  9929 16490 16632 17694 17986 18210 21734 23179 23484
 25543 34543 37165]
SMsplice 3SS: [ 5068  9306  9655 16338 16581 17566 17929 18092 21634 23020 23412 25396
 34450 36935 42810]
top_k =  1000
Partition function (log Z): 7.917281145403834

Sorted 5' Splice Sites (High to Low Probability):
Position 18210: 0.9958675434722694
Position 25543: 0.9880880732204567
Position 5161: 0.9569808846146683
Position 17986: 0.9496324587595799
Position 21734: 0.9199710706223934
Position 23484: 0.9190445701664871
Position 16632: 0.8938585206785713
Position 9404: 0.826554868350185
Position 37165: 0.8061451925660919
Position 9929: 0.8050904630708647
Position 16490: 0.73166670499454
Position 23179: 0.706325388367377
Position 34656: 0.4937177368642635
Position 17654: 0.4552187123312306
Position 34543: 0.4459166142121979
Position 32686: 0.43475421238718315
Position 43083: 0.4137224734035207
Position 43310: 0.40571372745396017
Position 33999: 0.382405946208924
Position 173: 0.343317075688793
Position 42872: 0.31713486556417814
Position 17694: 0.31707950052334316
Position 17844: 0.3151317273527151
Position 43832: 0.23433071206207334
Position 152: 0.22282954780950007
Position 35649: 0.20990078195804532
Position 6869: 0.2058272104927943
Position 17162: 0.20553736632384667
Position 7510: 0.19429083985232654
Position 215: 0.14885273417380224
Position 9107: 0.14641083044973127
Position 194: 0.14502960097679854
Position 15220: 0.12375097788764486
Position 15224: 0.11947861827219601
Position 29996: 0.11181086248619926
Position 24625: 0.10213017277811134
Position 18737: 0.09096912028394044
Position 15217: 0.08344410408193186
Position 5811: 0.07671209143602419
Position 7111: 0.07168861224403024
Position 1831: 0.06569608160149537
Position 332: 0.058216137103616165
Position 43064: 0.05797902690031469
Position 36729: 0.05651084263132729
Position 25171: 0.05614344953825244
Position 26980: 0.05209251235834537
Position 17769: 0.04880632033919617
Position 1212: 0.0430678642736439
Position 4202: 0.03962411080666327
Position 24436: 0.03934529537107887
Position 19071: 0.039293067595938584
Position 33141: 0.038181540527596515
Position 17818: 0.03809495622973076
Position 456: 0.03786803311290684
Position 39224: 0.03718984159725534
Position 14631: 0.03566069826273247
Position 38777: 0.0328898483599322
Position 24622: 0.032869793069154
Position 3508: 0.03215108776082248
Position 22877: 0.02927514578830902
Position 16462: 0.026675580066938858
Position 23133: 0.021140338755558576
Position 16770: 0.020145901502295185
Position 36289: 0.018254106857704903
Position 24063: 0.015503827935891935
Position 233: 0.014292425592891577
Position 293: 0.013286757339642723
Position 2095: 0.012838292602170582
Position 20136: 0.012682776818932357
Position 19316: 0.012583320503054152
Position 40840: 0.011634100763131934
Position 17779: 0.011594817906415065
Position 23590: 0.010709848133240907
Position 17143: 0.010340250095736678
Position 32538: 0.009739964929126146
Position 24218: 0.009507968674143337
Position 20046: 0.009397195954301218
Position 4860: 0.00919854834634219
Position 43321: 0.008784781783657512
Position 34267: 0.008706672559812306
Position 10539: 0.008656984418098685
Position 5757: 0.008597325443873646
Position 306: 0.008530109650643877
Position 1443: 0.008186319283269843
Position 24578: 0.007567913477143752
Position 22104: 0.0074420148998916545
Position 21938: 0.007281385745996018
Position 33372: 0.007267405917023964
Position 34074: 0.007035724114256358
Position 43276: 0.006120109683259519
Position 4024: 0.00607818915926518
Position 43928: 0.005654405389945475
Position 20573: 0.00561055774749963
Position 15345: 0.005601509890345038
Position 24586: 0.005174541614710303
Position 34888: 0.005027346320882455
Position 1475: 0.004905340833835545
Position 23299: 0.004441072263756795
Position 229: 0.004241817655374687
Position 17848: 0.004192985868422532
Position 20055: 0.004130490706244426
Position 19590: 0.003938966338652557
Position 17938: 0.003837735149882157
Position 124: 0.0037160026506891535
Position 24212: 0.0036870797395740416
Position 22530: 0.0034159058866035843
Position 23677: 0.0032516488234308515
Position 19440: 0.003238317295369005
Position 18604: 0.003038269250876377
Position 18789: 0.0028131691033250208
Position 26604: 0.00279226929171843
Position 23141: 0.002784659960076199
Position 2503: 0.0027447486579425403
Position 23238: 0.0027390217203742415
Position 2689: 0.0023509978306767436
Position 2370: 0.002315858459570374
Position 18724: 0.0022799784289552444
Position 18614: 0.0021865571474254993
Position 34945: 0.0021366081739031847
Position 21888: 0.002032145171643004
Position 21986: 0.0019935350451233957
Position 13646: 0.0018186107942478665
Position 19760: 0.0018090673260013719
Position 21329: 0.0017385114075332462
Position 36524: 0.0016653933108414709
Position 26620: 0.0016538071202354223
Position 24672: 0.0015947939987769116
Position 25173: 0.00157213304369065
Position 21750: 0.0015051509083257066
Position 23635: 0.0014685521067898727
Position 22061: 0.0014408228588554388
Position 379: 0.0012224597172917605
Position 17500: 0.0011605531432359278
Position 9346: 0.0011560997222865481
Position 36318: 0.001138959896371089
Position 20588: 0.00109568766574184
Position 22767: 0.0010285408156873199
Position 18389: 0.0010178454543126366
Position 37169: 0.0010067904212647456
Position 356: 0.0009716386221719881
Position 23525: 0.0009483298271426584
Position 6733: 0.0009482975238840333
Position 2905: 0.0009300011348364382
Position 6989: 0.000896674706623877
Position 6699: 0.0008586602785898915
Position 22684: 0.0007489935449636993
Position 20447: 0.0007114530168079676
Position 23136: 0.0006569435391879479
Position 12720: 0.0006423558893536286
