Gene = COA6
index = 390
Annotated 5SS: [211 922]
Annotated 3SS: [  761 10254]
SMsplice 5SS: [ 211  922 4142]
SMsplice 3SS: [  716  4049 10254]
top_k =  1000
Partition function (log Z): -6.535793107359581

Sorted 5' Splice Sites (High to Low Probability):
Position 4142: 0.8302223032049428
Position 922: 0.7934916347981771
Position 3050: 0.3810373713645126
Position 211: 0.3633192418327585
Position 41: 0.3180680305037963
Position 142: 0.18883315370622814
Position 8281: 0.07962175943501533
Position 7458: 0.06324501422109749
Position 808: 0.05484657021804501
Position 3326: 0.050654692546048284
Position 233: 0.04814258545147446
Position 7517: 0.02638503978241585
Position 4436: 0.020043211906925797
Position 195: 0.016724668994885807
Position 1310: 0.016570171988294177
Position 227: 0.0158568442204134
Position 978: 0.01529417698104323
Position 9747: 0.014571644897024227
Position 9776: 0.014255928200878978
Position 9953: 0.010337587468063606
Position 373: 0.009576013652442967
Position 1466: 0.008559554797080014
Position 3530: 0.008506012890189624
Position 542: 0.008152186602331905
Position 8165: 0.007988017950359813
Position 1350: 0.007744361569371319
Position 7319: 0.007584284565442788
Position 918: 0.007091829055269156
Position 1470: 0.00597581477431339
Position 2861: 0.005532967730916475
Position 1159: 0.00504837268002415
Position 8669: 0.004761146841414983
Position 1059: 0.004455116077273652
Position 5715: 0.0035981290931511637
Position 382: 0.003488006721246941
Position 264: 0.0033295126731390763
Position 831: 0.0033126125274127215
Position 882: 0.0031789545208409133
Position 9771: 0.003161121900759283
Position 6821: 0.003089239875399766
Position 8230: 0.0029590277457341905
Position 1881: 0.002746838173601184
Position 6947: 0.00249830250202696
Position 6902: 0.002408120147792127
Position 5871: 0.002195899407910515
Position 422: 0.0021188148855763715
Position 7327: 0.0016837190083915316
Position 1414: 0.001680604149244991
Position 4155: 0.0016289208719342954
Position 2469: 0.001464570255459613
Position 9808: 0.0014575096756083987
Position 6540: 0.0014479464759602418
Position 5965: 0.0012565838449024795
Position 8246: 0.0011725581466004995
Position 1189: 0.0010653592306292467
Position 67: 0.000996846887789301
Position 9066: 0.0008743383664525902
Position 7474: 0.0008501560149524181
Position 161: 0.0007451556962585096
Position 333: 0.0006671747375415232
Position 6797: 0.000660160856708976
Position 5772: 0.0005652814280924292
Position 985: 0.0005450665708561337
Position 6387: 0.0004877689308980367
Position 1918: 0.0004064004327070788
Position 4632: 0.00037925505623345073
Position 5690: 0.000334927457126447
Position 596: 0.0003255864117077443
Position 4271: 0.00032488202866910845
Position 31: 0.0002559394984424501
Position 8932: 0.0002439852939454444
Position 390: 0.0002439011466069557
Position 5525: 0.00024226417796062183
Position 8494: 0.0002329510615592553
