Gene = EFHB
index = 488
Annotated 5SS: [  951 13676 14348 15949 18878 28561 34749 35403 37494 45737 49778 51631]
Annotated 3SS: [13612 14203 15767 18766 28430 34664 35334 37338 45528 49564 51448 54375]
SMsplice 5SS: [  951 14348 15949 18878 28561 34749 35963 37494 48289]
SMsplice 3SS: [14203 15812 18766 28430 34664 35867 37338 48175 54375]
top_k =  1000
Partition function (log Z): -1.0391974974783067

Sorted 5' Splice Sites (High to Low Probability):
Position 14348: 0.9991603114972937
Position 28561: 0.997735777842936
Position 34749: 0.9871113029680191
Position 18878: 0.9251002270639582
Position 15949: 0.9245226719390179
Position 951: 0.7573885068659767
Position 45737: 0.7518339684568697
Position 35963: 0.7167245270981718
Position 37440: 0.6469382799810363
Position 48289: 0.504379593123898
Position 45265: 0.49992935568131186
Position 101: 0.39404342789739244
Position 2320: 0.32080971456269397
Position 30325: 0.26392320289310256
Position 1328: 0.22343960932626938
Position 41917: 0.20358355882253845
Position 37519: 0.18855103442001295
Position 5505: 0.18304029080235495
Position 2479: 0.17760252983059172
Position 29578: 0.17037382028637538
Position 35403: 0.15081543849919585
Position 30097: 0.1318644272769576
Position 16769: 0.12510957169954348
Position 51631: 0.118365850450755
Position 45354: 0.11785636332071918
Position 39993: 0.0996367536256013
Position 24455: 0.08585955524756214
Position 21646: 0.07233376679803395
Position 48471: 0.07009765360886937
Position 26583: 0.06841313744657118
Position 45250: 0.06838229560708627
Position 36205: 0.05846364650966743
Position 30499: 0.05684972529060827
Position 39452: 0.05608363312142267
Position 37498: 0.054379790087904056
Position 35626: 0.054244861293155346
Position 1377: 0.05047037150516153
Position 18985: 0.04785966212076453
Position 13676: 0.043333689054488415
Position 34233: 0.041747710363610344
Position 306: 0.03351978690171269
Position 2187: 0.03192152710688194
Position 38351: 0.030713388089453484
Position 21665: 0.02914212900579071
Position 2534: 0.02887028834695953
Position 51542: 0.027887263153032436
Position 19214: 0.02683093903197737
Position 33512: 0.02677338879437564
Position 17070: 0.02499650169773282
Position 43949: 0.022841986757306445
Position 36278: 0.022713872356310477
Position 558: 0.021734033561157013
Position 43795: 0.021518628155941896
Position 24752: 0.02067875437551605
Position 34924: 0.019481360096242184
Position 32763: 0.017478694136292838
Position 28751: 0.016713746117333023
Position 21081: 0.016700996864536594
Position 17072: 0.016334178080218156
Position 41071: 0.0160333737931879
Position 38347: 0.015557501319290892
Position 37132: 0.015191611226603795
Position 35472: 0.014754727002931763
Position 17595: 0.014678185316916463
Position 34585: 0.014104819707735378
Position 36434: 0.013984180077765867
Position 23735: 0.013517386083798287
Position 43378: 0.013138977793946231
Position 37: 0.012332845611071864
Position 32492: 0.011310260345901267
Position 16150: 0.010952837392472027
Position 37454: 0.010922079301398718
Position 18953: 0.010625578722698049
Position 16356: 0.009443428353278806
Position 21958: 0.009252862374952578
Position 43776: 0.009003280699463247
Position 30271: 0.009002936026326586
Position 29934: 0.008078092028877153
Position 35076: 0.007868900799594415
Position 2074: 0.007468729899897529
Position 18846: 0.0073360167037347405
Position 36859: 0.006936033352353777
Position 35596: 0.006789372132734024
Position 735: 0.006775812528211398
Position 41924: 0.006758372923983796
Position 24969: 0.006601195932868143
Position 42441: 0.006476375298585373
Position 34629: 0.006318044831924928
Position 40460: 0.006258661563720244
Position 1676: 0.006191177355435091
Position 30791: 0.0048051637418604605
Position 35298: 0.004455694268712652
Position 4597: 0.004438818734862374
Position 22042: 0.004164594089780883
Position 4180: 0.00411299943200098
Position 24436: 0.004004583405418408
Position 36743: 0.0038683718899611723
Position 35868: 0.0038381160482561082
Position 261: 0.003492742121671444
Position 16393: 0.003440031533187272
Position 36759: 0.0032094012977449218
Position 41850: 0.0029157063753652264
