Gene = NPPB
index = 957
Annotated 5SS: [230 718]
Annotated 3SS: [ 461 1259]
SMsplice 5SS: [230 718]
SMsplice 3SS: [ 461 1259]
top_k =  1000
Partition function (log Z): -4.878818019850792

Sorted 5' Splice Sites (High to Low Probability):
Position 230: 0.9569264845007989
Position 718: 0.8589465692899853
Position 1195: 0.1666988898953477
Position 573: 0.06105037349945463
Position 412: 0.031545404458360814
Position 1176: 0.013727261886535717
Position 553: 0.007518662221645883
Position 168: 0.0026805919685205584
Position 978: 0.001758686869688022
Position 504: 0.0015899362480489806
Position 195: 0.0012737875070956812
Position 656: 0.0011769325126230186
Position 370: 0.001126380147041723
Position 15: 0.0010364361314048913
Position 424: 0.0008416670955185277
Position 217: 0.0005693281208264916
Position 648: 0.0004584440427033264
Position 357: 0.0003965448707494945
Position 386: 0.00037645558408888066
Position 890: 0.00034917650113679805
Position 278: 0.00024451373600784833
Position 382: 0.0002178878868560381
Position 896: 0.00020348780903504281
Position 223: 0.00013678739157757294
Position 563: 0.00013459468968457462
Position 788: 0.00013120927898858958
Position 609: 0.00012623668302717093
Position 592: 0.00010170425506229007
Position 759: 8.827756814564271e-05
Position 396: 8.784922159222941e-05
Position 1353: 5.5406015617049515e-05
Position 873: 5.238330327999364e-05
Position 1173: 3.526104381344486e-05
Position 1156: 3.436789711071392e-05
Position 825: 2.0696987092556903e-05
Position 771: 1.805243021707617e-05
Position 1371: 1.2837412705700531e-05
Position 555: 1.217234057864471e-05
Position 325: 9.239498965954093e-06
Position 1008: 4.545533582428232e-06
Position 491: 3.894473713835547e-06
Position 1180: 3.46487388769242e-06
Position 1338: 3.3848807836893678e-06
Position 761: 2.6754400358042407e-06
Position 1283: 2.090174456022595e-06
Position 84: 2.023433008427156e-06
Position 1039: 1.954596740248539e-06
Position 428: 1.04707768217088e-06
Position 700: 5.030081447526315e-07
Position 1379: 2.2560238001756089e-07
Position 291: 1.4263774584322539e-07
Position 171: 4.6838546874452784e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1259: 0.8684969083074435
Position 461: 0.8315979023603022
Position 1113: 0.10979843526369804
Position 552: 0.06613411483042515
Position 997: 0.057384355559756794
Position 1060: 0.03952254804968963
Position 482: 0.03838182798299351
Position 856: 0.022305661806762533
Position 325: 0.01871811814475506
Position 957: 0.01748327102636166
Position 637: 0.008046715976363965
Position 503: 0.007858487105594213
Position 1404: 0.005498757882158381
Position 824: 0.003978132769770395
Position 677: 0.0029889026968211354
Position 759: 0.0016702651380623447
Position 298: 0.0014494783491874066
Position 1013: 0.0011675386891559676
Position 1171: 0.0010876887182403032
Position 1005: 0.0009911829273832019
Position 467: 0.0009431115920114234
Position 300: 0.0008364959414996725
Position 1318: 0.0006231116073693622
Position 533: 0.0005702132646448656
Position 963: 0.0005033458106549922
Position 378: 0.00047553958825579285
Position 464: 0.00035573954753045873
Position 333: 0.00028210182702795956
Position 406: 0.00025396539941289597
Position 673: 0.0002243797095926484
Position 863: 0.00019061871876032378
Position 1068: 0.00018681509126814328
Position 890: 0.00018653295466151525
Position 1449: 0.00016797204324206733
Position 1072: 0.00011691854850955003
Position 644: 0.00011391755233690794
Position 1423: 9.620057403376095e-05
Position 819: 9.174986224624774e-05
Position 700: 7.934538357613634e-05
Position 1079: 7.486676259115583e-05
Position 1295: 7.464903280334572e-05
Position 1017: 5.9067331615420605e-05
Position 1266: 5.834621163086699e-05
Position 576: 5.75089794584503e-05
Position 512: 5.6274443679547465e-05
Position 572: 5.609450094546729e-05
Position 563: 5.385189217608981e-05
Position 1353: 4.667802139408759e-05
Position 1462: 4.523259060989071e-05
Position 382: 4.449054285390123e-05
Position 189: 3.088226184328752e-05
Position 691: 2.9906693654664098e-05
Position 536: 2.7941994927149797e-05
Position 340: 2.141104327350324e-05
Position 421: 2.1407827399779323e-05
Position 538: 1.8042970642478927e-05
Position 93: 1.793039627148413e-05
Position 1074: 1.6333355699603744e-05
Position 775: 1.519304863175958e-05
Position 1118: 1.2100178709599507e-05
Position 229: 1.200247629016781e-05
Position 654: 1.0743551389469226e-05
Position 1277: 9.993840684740766e-06
Position 1133: 9.503934672132689e-06
Position 167: 9.362474054629211e-06
Position 436: 9.239125843459821e-06
Position 509: 7.608371307034967e-06
Position 109: 6.440103442294736e-06
Position 870: 5.905453385777199e-06
Position 584: 3.2677290157010976e-06
Position 1088: 3.1119094162245138e-06
Position 113: 1.6264742428326916e-06
Position 524: 1.2224457497904774e-06
Position 1194: 1.1146625500221025e-06
Position 1199: 1.1058864356413519e-06
Position 84: 1.025619694739953e-06
Position 1283: 8.704793197208013e-07
Position 1127: 8.453066411709491e-07
Position 1090: 7.251000723308542e-07
Position 200: 7.197722391406688e-07
Position 267: 7.124749976302643e-07
Position 1019: 6.564958594016451e-07
Position 1147: 6.164386986424581e-07
Position 1204: 5.924562723847168e-07
Position 1279: 4.220613983109749e-07
Position 497: 3.539566440912794e-07
Position 95: 3.00223081782828e-07
Position 264: 1.5774445977743387e-07
Position 351: 5.2985955285452146e-08
Position 276: 3.268511389776248e-08
Position 349: 1.0533734043095511e-08
Position 416: 4.613594327799561e-09
Position 251: 3.961392936277639e-09
Position 246: 3.2278696347087816e-09
Position 241: 1.1429125319787534e-09
Position 234: 5.874347788399333e-10
Position 236: 1.9931951112930123e-10
Position 717: 2.938838251991777e-11
