Gene = MOBP
index = 853
Annotated 5SS: [   61 12444 34596 35197]
Annotated 3SS: [12359 34385 34782 45702]
SMsplice 5SS: [   61 12444 34596]
SMsplice 3SS: [12359 34500 39308]
top_k =  1000
Partition function (log Z): -19.71117896199622

Sorted 5' Splice Sites (High to Low Probability):
Position 61: 0.9930245712563992
Position 12444: 0.975000195217941
Position 13536: 0.2650291560881845
Position 10074: 0.2572079011932475
Position 9366: 0.2533144536684612
Position 837: 0.15608073118640584
Position 4170: 0.1541767245140685
Position 2723: 0.11224032369426126
Position 6505: 0.10778151684883071
Position 2822: 0.08781880818834459
Position 9419: 0.08249939969547379
Position 12881: 0.07966359022801779
Position 17198: 0.07133853131459805
Position 375: 0.06917951796142874
Position 10660: 0.05430883517883327
Position 10068: 0.0511726021651354
Position 841: 0.04126072304585768
Position 12891: 0.026350719236419427
Position 790: 0.02500823663157934
Position 8463: 0.0165107178236153
Position 8418: 0.014623274160326997
Position 2215: 0.014108028143451645
Position 10028: 0.011420523666681344
Position 9467: 0.009948074358835712
Position 13077: 0.009852381487332359
Position 247: 0.006523809778518799
Position 692: 0.006417580603275277
Position 16485: 0.006227863807858653
Position 902: 0.005127146664226931
Position 970: 0.004623448855186013
Position 5564: 0.00439995717043429
Position 5730: 0.004360172763070431
Position 12904: 0.004318967863363086
Position 12566: 0.003838811863057736
Position 7614: 0.003707859028661918
Position 13762: 0.003679047515990686
Position 8435: 0.003343390744787621
Position 7673: 0.003282946832426481
Position 5778: 0.0028301653655539516
Position 6792: 0.0027032569153619215
Position 3811: 0.002631931826536024
Position 4408: 0.0026079861651381727
Position 4259: 0.0017612253772912667
Position 2286: 0.001679407537370322
Position 8509: 0.001618981466248796
Position 172: 0.0015369019443181996
Position 6324: 0.0014026619407447591
Position 6602: 0.0013988632426975534
Position 5686: 0.001264696828142186
Position 5569: 0.0012263487426048703
Position 9298: 0.0011784504876090466
Position 12426: 0.001155193263240189
Position 9252: 0.0010969704510691825
Position 17461: 0.0010667862041254372
Position 282: 0.0009988292433558289
Position 5538: 0.0008806379895618956
Position 3729: 0.0008702406644817619
Position 5693: 0.0008587759890090652
Position 7345: 0.0007220811379497796
Position 4412: 0.0007152400726180491
Position 16418: 0.000704914233657396
Position 7698: 0.0006995860093859747
Position 1977: 0.0006860014175404888
Position 2718: 0.0005804152516622409
Position 14170: 0.0005334696204692982
Position 17: 0.00036771405247277536
Position 5482: 0.00031353854770752764
Position 2281: 0.0002882954656823496
Position 2258: 0.00024769521180592646
Position 1982: 0.00013799101333226396
Position 12588: 0.00012073697905446743
Position 378: 9.598075031732627e-05
Position 2973: 5.3752783594921666e-05
Position 2211: 2.4586949095784763e-05
Position 124: 1.0578706868862034e-05
Position 679: 9.607185529752717e-06
Position 134: 8.588259153913042e-06
Position 711: 7.068654790487234e-06
Position 235: 6.7662302287337885e-06
Position 78: 6.606057254425554e-06
Position 642: 6.500337135980827e-06
Position 563: 5.6229570234613855e-06
Position 602: 5.3411954743991246e-06
Position 293: 3.0619773255538557e-06
Position 270: 2.303460799033039e-06
Position 792: 7.685316971937815e-07
Position 677: 7.58751581450082e-07
Position 1004: 4.855898368712407e-07
Position 635: 4.5964487121088134e-07
Position 122: 4.5636009974024034e-07
Position 751: 4.1455324965655165e-07
Position 1006: 2.9241811242917746e-07
Position 508: 2.490351882195674e-07
Position 181: 2.4133279715843734e-07
Position 506: 2.4064548501117497e-07
Position 354: 2.392667665023034e-07
Position 833: 2.2845698137706696e-07
Position 805: 2.2659348773574003e-07
Position 1030: 1.6797650493558423e-07
Position 1082: 1.1403779426324908e-07
Position 495: 7.295025141299058e-08
Position 986: 4.437965984827094e-08
Position 988: 4.339664902584666e-08
Position 1032: 3.945764887324764e-08
Position 1108: 2.5876022318813666e-08
Position 455: 2.130641675012797e-08
Position 1056: 1.850771606894225e-08
Position 34: 1.06893117155126e-08
Position 1058: 7.168344273323839e-10
Position 810: 7.145601659374123e-10
Position 437: 5.728896090778227e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 12359: 0.9324918819509217
Position 9244: 0.350857040230742
Position 22639: 0.3068119121469189
Position 9912: 0.2654077864664059
Position 13438: 0.21992566376184158
Position 17128: 0.16075744219929275
Position 12659: 0.15812186561109465
Position 4051: 0.1484042384879976
Position 25381: 0.1394362770638701
Position 2650: 0.1293448723127053
Position 495: 0.10702394784563445
Position 6269: 0.07731381905190923
Position 159: 0.07097100427729229
Position 17954: 0.06169725519222044
Position 10578: 0.054561539208159274
Position 2749: 0.053203022309282984
Position 9944: 0.04804606320419979
Position 12213: 0.04786024030578413
Position 17978: 0.04727440628806122
Position 13474: 0.04288356490790856
Position 18727: 0.04193637040344967
Position 472: 0.03945820422989545
Position 8338: 0.03632765206255236
Position 13837: 0.029454866279468944
Position 6413: 0.027760681496231825
Position 612: 0.026026263750314974
Position 763: 0.022145353515719404
Position 13378: 0.021055312160722664
Position 14258: 0.018793617785150395
Position 23483: 0.017380116518074376
Position 17348: 0.01509333554997913
Position 13640: 0.014864319058712328
Position 20414: 0.014786055918973294
Position 2548: 0.013719616719304177
Position 14014: 0.013442296446343593
Position 12954: 0.013106420483645832
Position 13076: 0.012335692695033288
Position 22907: 0.01184397746968266
Position 19864: 0.01137116482089077
Position 817: 0.009806457544672813
Position 711: 0.009571448929707883
Position 16284: 0.009250544136662826
Position 5563: 0.009061550874436289
Position 12779: 0.008446991332421617
Position 15118: 0.008345794290730261
Position 566: 0.008314260364529551
Position 3915: 0.008226346602772584
Position 12616: 0.007645347256263887
Position 16948: 0.0062603403100937455
Position 20994: 0.005903470718087477
Position 15969: 0.005805745928095826
Position 6401: 0.005550021545575752
Position 863: 0.005251023419239581
Position 683: 0.004985604334222192
Position 1881: 0.004811292102361388
Position 5475: 0.0046071013158576766
Position 20613: 0.00455334061678948
Position 9990: 0.004504738924345885
Position 7581: 0.00443829984958166
Position 12931: 0.0043490136087699655
Position 14458: 0.004059263917481808
Position 7521: 0.0034587170096872346
Position 2091: 0.0033558967348118517
Position 1804: 0.0033193886949584085
Position 14482: 0.0030911754603176285
Position 13618: 0.002477785244327977
Position 12255: 0.002454911121387272
Position 15370: 0.0024481258345121723
Position 10011: 0.0024307583812130844
Position 14461: 0.002373473415171242
Position 2109: 0.002314801980030037
Position 15060: 0.0022176228866874256
Position 329: 0.0018817094389512075
Position 6667: 0.0017481586517470846
Position 254: 0.0016782248647173386
Position 2479: 0.0015125239193745624
Position 4338: 0.001461710343830167
Position 1989: 0.0013152957985129296
Position 181: 0.001286093275870832
Position 3427: 0.001181161412727966
Position 15278: 0.001126488232510792
Position 15157: 0.0011145784998373063
Position 3544: 0.0009164383597228794
Position 15779: 0.0009084774993535445
Position 5390: 0.0009064411493436526
Position 4258: 0.0009028193127841376
Position 13877: 0.00090186118114296
Position 2175: 0.0009006133205045546
Position 5633: 0.0008988703293281355
Position 16583: 0.0008522985240468701
Position 2374: 0.000771187885418605
Position 10856: 0.0007674387833152832
Position 2675: 0.0007203646477684506
Position 15210: 0.0007087977195460401
Position 6654: 0.0006675573547027042
Position 3702: 0.0006276721190436643
Position 176: 0.0005874051104368015
Position 16036: 0.0005598601470526932
Position 7294: 0.0005542631437281792
Position 5438: 0.000543357845656709
Position 2008: 0.0005050611619416593
Position 534: 0.0004824550756400222
Position 15079: 0.00047158642294777817
Position 15319: 0.00046521425958253996
Position 11011: 0.0004651843085903988
Position 15439: 0.0004585438801956168
Position 14233: 0.0004460003996682486
Position 631: 0.00042624195333785435
Position 2396: 0.0003943664067321702
Position 12661: 0.0003892084569759776
Position 2425: 0.00037738515290445125
Position 588: 0.0003392746754812863
Position 3632: 0.00032344967392434766
Position 657: 0.000304953833512853
Position 6745: 0.00028754090891213374
Position 3726: 0.00027901107415671816
Position 12880: 0.0002651736067364154
Position 2036: 0.00024202694696179823
Position 12975: 0.00022426699479921177
Position 2434: 0.00020818429655141543
Position 339: 0.00017947038392583423
Position 7136: 0.00017373090587286273
Position 5481: 0.00016673271788443354
Position 13280: 0.00016462156261817896
Position 2575: 0.00015889274036764558
Position 13118: 0.00015172117945407379
Position 1833: 0.00013737044934088952
