Gene = PPCS
index = 1057
Annotated 5SS: [515 792]
Annotated 3SS: [ 687 3043]
SMsplice 5SS: [515]
SMsplice 3SS: [687]
top_k =  1000
Partition function (log Z): -9.63918534285979

Sorted 5' Splice Sites (High to Low Probability):
Position 792: 0.7370897889119757
Position 515: 0.6361716797093242
Position 166: 0.24736018477558958
Position 1009: 0.17370090801841315
Position 1769: 0.09766423540570303
Position 255: 0.08056058868901816
Position 70: 0.04046007044728699
Position 50: 0.017085439162206194
Position 25: 0.01642419792521955
Position 145: 0.010513386497604688
Position 1838: 0.009190764601897532
Position 2747: 0.007865835409560597
Position 1529: 0.004080293046483819
Position 2994: 0.0038314440317158355
Position 203: 0.003608394322121303
Position 621: 0.0025653323169705206
Position 2238: 0.0023892611421652754
Position 1721: 0.002272219014736595
Position 1742: 0.0021551027227148804
Position 951: 0.0019268133332380815
Position 244: 0.0013879590024040522
Position 1717: 0.001102697976492294
Position 2998: 0.0010239064165946316
Position 445: 0.0007060568871768966
Position 2489: 0.0004930357671366684
Position 1181: 0.0003987351692493704
Position 842: 0.0003704988339823151
Position 530: 0.00031963402620202044
Position 386: 0.00031811469022710527
Position 450: 0.0002074048828216002
Position 1460: 0.0002054814124888911
Position 115: 0.00015641311648942254
Position 120: 0.00012919233774262183
Position 1773: 0.00011874600649944353
Position 129: 0.00010460398715559491
Position 3239: 8.516286530959323e-05
Position 3354: 7.835920602121283e-05
Position 3728: 6.0657980663777125e-05
Position 1470: 5.2908358742853575e-05
Position 312: 4.898583343894504e-05
Position 124: 3.764806662415318e-05
Position 1213: 3.140322893136543e-05
Position 1444: 2.1632061813027108e-05
Position 722: 2.107719977678129e-05
Position 1497: 1.8963642422736855e-05
Position 118: 1.2411431204985606e-05
Position 1013: 1.0025588071838785e-05
Position 249: 8.395752880381668e-06
Position 1338: 8.085203693985092e-06
Position 1042: 7.94515378423495e-06
Position 988: 5.899910647661784e-06
Position 33: 3.9322452589799806e-06
Position 1475: 3.6606337736727646e-06
Position 1020: 3.6118503854047513e-06
Position 1483: 1.9100451488416833e-06
Position 2065: 1.3759062778431989e-06
Position 1683: 1.1074449563094377e-06
Position 646: 5.193237942622346e-07
Position 519: 3.0190800013546887e-07
Position 770: 2.568465459354488e-07
Position 480: 2.0349159995517715e-07
Position 720: 1.8460644245459419e-07
Position 701: 9.929496074725794e-08
Position 661: 5.9282761430420396e-08
Position 741: 2.8096710339168384e-08
Position 672: 1.3349525881781898e-08
Position 882: 1.2457357250697485e-08
Position 674: 3.326294123433968e-09
Position 1746: 1.5669097542737137e-10
Position 735: 1.349419065587809e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 687: 0.9361310499525665
Position 3043: 0.25199191345421784
Position 892: 0.18393325919242526
Position 1594: 0.16517196722275218
Position 3089: 0.08661744039399037
