Gene = TMEM88B
index = 1455
Annotated 5SS: [258]
Annotated 3SS: [1425]
SMsplice 5SS: [258]
SMsplice 3SS: [1425]
top_k =  1000
Partition function (log Z): -5.840194333151638

Sorted 5' Splice Sites (High to Low Probability):
Position 258: 0.9983386386935
Position 521: 0.013734314709138908
Position 731: 0.006301420527369008
Position 527: 0.005645496190888415
Position 4: 0.0017998415506646425
Position 204: 0.00048221084954775924
Position 43: 0.0004136707480230272
Position 489: 0.00041127760612103237
Position 371: 0.0003135467040456313
Position 273: 0.000313143576284649
Position 775: 0.0002508218627696759
Position 576: 0.0002104941210464831
Position 1055: 0.00019243721272650725
Position 567: 0.0001706972297331348
Position 122: 0.00013655643760787935
Position 119: 0.0001359044937357509
Position 667: 0.00013123838571103556
Position 1147: 6.0417769230840966e-05
Position 46: 5.614116095394166e-05
Position 266: 4.9569386859242265e-05
Position 645: 3.6814907689318826e-05
Position 319: 3.293995662843563e-05
Position 543: 2.8849355959112454e-05
Position 373: 2.4262075348462644e-05
Position 294: 2.2258081136224725e-05
Position 110: 1.4370547306817598e-05
Position 304: 1.3144705621305955e-05
Position 847: 6.721624656223797e-06
Position 245: 6.2205400875551905e-06
Position 462: 4.0173267780591e-06
Position 833: 1.497667044112955e-06
Position 332: 1.0548039210807472e-06
Position 674: 5.721105452092258e-07
Position 1449: 3.2724091308444854e-07
Position 1426: 1.3439406237775961e-07
Position 438: 9.887881409897527e-08
Position 1525: 3.2758240381575675e-08
Position 1442: 1.4710031585369972e-08
Position 228: 5.689391281021621e-10
Position 570: 3.41006343069702e-10
Position 357: 2.15840473986273e-10
Position 310: 1.9547522785544736e-10
Position 225: 2.7827068157991842e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1425: 0.7796869895543219
Position 364: 0.08052190717597806
Position 345: 0.04740103225226066
Position 1468: 0.03579795159098328
Position 665: 0.02665056035017729
Position 1375: 0.0230513323507284
Position 389: 0.013221601953290493
Position 975: 0.0034200801132529845
Position 922: 0.0031876691067245365
Position 366: 0.002888358092911855
Position 859: 0.0025026777589654127
Position 1341: 0.0018268323731493823
Position 619: 0.001684447093872238
Position 192: 0.0015404363636275632
Position 592: 0.0010528614635748107
Position 451: 0.0007344674182688776
Position 643: 0.0006182990775216104
Position 876: 0.0004496709770465208
Position 495: 0.00043611629544218673
Position 117: 0.00034633305244191376
Position 630: 0.0003183512248275222
Position 576: 0.0003147905617096065
Position 95: 0.0002927370746653895
Position 403: 0.00026487849638579615
Position 804: 0.00020410380864948046
Position 475: 0.00015981964066445308
Position 326: 0.0001300169097984653
Position 599: 0.00010020472320892114
Position 505: 9.60927212014149e-05
Position 415: 8.421043099893501e-05
Position 421: 6.179518301172009e-05
Position 484: 6.151821614112002e-05
Position 1555: 5.224760042368873e-05
Position 727: 4.7251993583155406e-05
Position 549: 2.922994533123241e-05
Position 747: 2.8179626169021862e-05
Position 457: 1.729738979127761e-05
Position 817: 1.3197170146905006e-05
Position 516: 1.305453321948632e-05
Position 667: 8.363264857855043e-06
Position 102: 8.02510559188601e-06
Position 792: 6.045127572823188e-06
Position 555: 5.51464157766563e-06
Position 558: 1.078519423913418e-06
Position 775: 7.310789178288705e-07
Position 740: 4.6208786563252753e-07
Position 765: 3.7272147802534395e-07
Position 1632: 3.54634047409892e-07
Position 758: 3.042643340703163e-07
Position 750: 2.912406917989696e-07
Position 738: 2.461562876948007e-07
Position 427: 1.836591712011563e-07
Position 430: 1.8120005686971654e-07
Position 536: 1.6116253811412077e-07
Position 755: 1.5247894739387807e-07
Position 534: 5.4256058995244e-08
Position 1638: 3.0399062627251985e-08
Position 288: 1.6597419643853626e-08
Position 256: 1.838837702143645e-09
Position 432: 1.50601873917467e-10
Position 262: 1.8832391235063364e-14
Position 304: 1.817579840243358e-15
