Gene = MBLAC2
index = 820
Annotated 5SS: [930]
Annotated 3SS: [13215]
SMsplice 5SS: [893]
SMsplice 3SS: [14492]
top_k =  1000
Partition function (log Z): -15.606352314448117

Sorted 5' Splice Sites (High to Low Probability):
Position 893: 0.34173116179445295
Position 578: 0.2802622227065862
Position 930: 0.1910775645208595
Position 1635: 0.18918495915842445
Position 1399: 0.17674336022668644
Position 493: 0.14512147597244576
Position 269: 0.12812171123997307
Position 7266: 0.07302362349879135
Position 299: 0.03603206828032776
Position 208: 0.03264563953624351
Position 295: 0.017239262067827353
Position 7222: 0.017170537087622596
Position 62: 0.015393156553376409
Position 851: 0.012359751828652087
Position 188: 0.012298931050038557
Position 58: 0.010580505241872313
Position 519: 0.005565407461389294
Position 848: 0.0052214251237337715
Position 602: 0.0036478537742685594
Position 38: 0.0022938592878766774
Position 408: 0.002224898441940772
Position 599: 0.002044771346059096
Position 902: 0.0017907761311694314
Position 3018: 0.0012376098518341219
Position 970: 0.0006739817438648751
Position 231: 0.0005201596730725154
Position 69: 0.00026359412312194897
Position 1629: 0.0002124849479108753
Position 505: 0.00019345512859202696
Position 1695: 0.00018324840651805945
Position 824: 0.0001408229250805486
Position 2927: 0.00011618574980046945
Position 1485: 0.00011564692508244501
Position 185: 0.00011353297255123544
Position 1660: 9.638012491400814e-05
Position 1158: 9.528622122497287e-05
Position 131: 8.467535921273719e-05
Position 143: 8.460672651148632e-05
Position 423: 7.196776472715447e-05
Position 886: 6.211902605725681e-05
Position 410: 4.728882421140373e-05
Position 171: 4.485508703119379e-05
Position 550: 4.187859457633373e-05
Position 478: 2.491571267663523e-05
Position 1219: 2.4665513002619854e-05
Position 1076: 1.1372362712604677e-05
Position 1145: 9.790052107541629e-06
Position 490: 9.487599160582203e-06
Position 120: 9.312878860269175e-06
Position 757: 8.386607439907802e-06
Position 401: 6.213628074603417e-06
Position 640: 1.3102523876088248e-06
Position 412: 1.0933400309711831e-06
Position 540: 9.96199894714766e-07
Position 160: 3.1660742202980655e-07
Position 225: 1.363927875106372e-07
Position 561: 6.720997011490187e-08
Position 1418: 3.378970658013942e-08
Position 646: 3.238973443778692e-08
Position 106: 2.106535563526671e-09
Position 305: 1.171694426374616e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 14492: 0.48160665010665427
Position 667: 0.22983140835776847
Position 1571: 0.14996252438128066
Position 1291: 0.14260348850899754
Position 7182: 0.09396052317479485
Position 13215: 0.09354089672885275
Position 10210: 0.06483577007372543
Position 1271: 0.05373491033379436
Position 14281: 0.04113491663605162
Position 10850: 0.035396063406028674
Position 377: 0.03064347530745209
Position 9823: 0.02679248680199273
Position 12759: 0.02542130740414567
Position 2043: 0.02339638744860234
Position 8757: 0.019620095726846146
Position 4568: 0.015386527700336834
Position 474: 0.015163645543164982
Position 8106: 0.013678509335215288
Position 11090: 0.010210262169462353
Position 7641: 0.00954730990074284
Position 3106: 0.008591374477407505
Position 7503: 0.00801345430812957
Position 10190: 0.007373199724703989
Position 14431: 0.007200120694001988
Position 1480: 0.007085870287056029
Position 10035: 0.006874744534822156
Position 419: 0.005213512177278337
Position 2926: 0.005155268430537853
Position 5746: 0.004603468475952171
Position 10363: 0.004284086042354162
Position 757: 0.003960027405721098
Position 8576: 0.0034050806828163083
Position 5063: 0.0031352649451728072
Position 1484: 0.0029789918854271165
Position 1373: 0.002789935228891493
Position 5790: 0.0026530029598779694
Position 2603: 0.002392565079120832
Position 843: 0.0023714427425704323
Position 925: 0.002196381531569531
Position 2954: 0.0021906107245484915
Position 5097: 0.0019386860964141876
Position 4417: 0.001660179547685511
Position 1591: 0.0016414383286597687
Position 3208: 0.0016271114732545981
Position 1048: 0.0016215568178838792
Position 1543: 0.0015481657065154703
Position 4113: 0.001511276424726093
Position 4996: 0.0014988245651125502
Position 536: 0.0014447452028915476
Position 4788: 0.0014413945511957166
Position 2902: 0.0013882085530183327
Position 3880: 0.0012702391640120447
Position 595: 0.0012280703584232183
Position 1894: 0.0011388502778218257
Position 1193: 0.000986341968040532
Position 3065: 0.000947473458491448
Position 1248: 0.0009008792121888591
Position 1125: 0.0008734157486721642
Position 1216: 0.0008647857247613653
Position 1007: 0.0008411083357540018
Position 9908: 0.0008320386035997496
Position 2647: 0.0008286470879595789
Position 2099: 0.0007815578146803386
Position 3395: 0.0007462784361330838
Position 1421: 0.0007082854125842731
Position 160: 0.0006710179787988314
Position 6493: 0.0005923505985478631
Position 8785: 0.000554729388886977
Position 401: 0.0005273742314725144
Position 2194: 0.00040269343820731893
Position 1148: 0.0003972739209849377
Position 614: 0.00036354795772501966
Position 4673: 0.00035915406147729535
Position 177: 0.0003544994411020962
Position 964: 0.000347997145591854
Position 1762: 0.0002962481789105434
Position 4074: 0.0002798287749436455
Position 2212: 0.0002773786610840302
Position 1408: 0.0002475053044921718
Position 1659: 0.00023516460110414644
Position 3017: 0.0001749151346833964
Position 239: 0.00010919979460949643
Position 395: 0.00010602163390021885
Position 381: 0.00010020709014202511
Position 512: 7.562857573448797e-05
Position 1303: 7.335970142816188e-05
Position 2480: 6.865932299877773e-05
Position 4140: 6.732182841671357e-05
Position 773: 6.437014222319672e-05
Position 505: 6.118856224750787e-05
Position 2855: 5.68278556923071e-05
Position 1172: 3.228819492252483e-05
Position 630: 2.1664082341478685e-05
Position 1339: 2.060443978179683e-05
Position 1219: 1.682663473510087e-05
Position 1294: 1.5806619817747763e-05
Position 674: 1.5135018115325427e-05
Position 1520: 1.304702252334582e-05
Position 1632: 1.1586011966029591e-05
Position 1095: 1.0178752587080491e-05
Position 1365: 7.622677851616582e-06
Position 490: 6.581371472292553e-06
Position 847: 4.776422690482222e-06
Position 787: 4.118546357186695e-06
Position 293: 3.7985378902694528e-06
Position 2806: 3.714851467020088e-06
Position 143: 3.5280862792150583e-06
Position 876: 3.1401728705167922e-06
Position 267: 2.888152805754454e-06
Position 1127: 2.651997029057858e-06
Position 1596: 2.6464025456144225e-06
Position 1132: 2.5116925185304245e-06
Position 676: 2.2681408298573233e-06
Position 793: 1.699582099874737e-06
Position 882: 1.1817611021918578e-06
Position 550: 1.0470376408089148e-06
Position 820: 8.719111572772506e-07
Position 864: 6.774428370553871e-07
Position 592: 1.774801243991941e-07
Position 211: 1.2913015490823422e-07
Position 201: 3.633570077873193e-08
Position 898: 1.6335368250752896e-08
Position 683: 1.5306638442188587e-08
Position 429: 8.62018894752432e-09
Position 640: 4.121285825719244e-09
Position 685: 2.6343583417704234e-09
Position 277: 1.583763449073252e-10
