Gene = IARS2
index = 671
Annotated 5SS: [  382  2125  6548  8176  8311  8503  8676  9461 11959 13050 16836 20373
 31238 32742 40409 42810 43942 45038 46188 47847 49033 51552]
Annotated 3SS: [ 2001  6387  8026  8260  8392  8584  9344 11788 12958 16683 20211 31134
 32647 40299 42706 43815 44905 46080 47700 48841 51406 53390]
SMsplice 5SS: [  382  1514  1680  2125  6548  8176  8503  8676  9461 11959 13050 16836
 19276 22524 31238 32742 42810 45038 46188 51552]
SMsplice 3SS: [ 1385  1596  2001  6387  8026  8392  8584  9344 11788 12958 16683 19229
 22321 31134 32647 42706 44905 46080 51406 53390]
top_k =  1000
Partition function (log Z): 24.33021071355656

Sorted 5' Splice Sites (High to Low Probability):
Position 32742: 0.9992071586426933
Position 2125: 0.9904808122920278
Position 51552: 0.9873864221715692
Position 6548: 0.9829399286070454
Position 22524: 0.96889710254981
Position 382: 0.9606278773585423
Position 8503: 0.9538077728743736
Position 42810: 0.9071802439625954
Position 16836: 0.8905453399536234
Position 8176: 0.8792185191789971
Position 45038: 0.8544136529908957
Position 13050: 0.85207219999688
Position 1514: 0.8373589858731222
Position 46188: 0.7803515572449572
Position 8676: 0.7749247181829901
Position 9461: 0.7499165050977545
Position 19276: 0.7003188911355652
Position 31238: 0.700026371210885
Position 1680: 0.5398989645908838
Position 9669: 0.5273200529032483
Position 11959: 0.4821525891433155
Position 11915: 0.46628639561474106
Position 47847: 0.44281534105606385
Position 20373: 0.3978442355608384
Position 49033: 0.36549069770675036
Position 2406: 0.33855609989046453
Position 40409: 0.24607425186255374
Position 6019: 0.22720615801191146
Position 43942: 0.21034088769658665
Position 8680: 0.19752576039400377
Position 50133: 0.1851424358936581
Position 21733: 0.1727293896116157
Position 4342: 0.1607845516623391
Position 6121: 0.14770142848259737
Position 652: 0.13135972505744736
Position 8329: 0.12825070619035447
Position 8311: 0.12430236403884469
Position 1080: 0.12007846172158429
Position 13674: 0.11656819419767409
Position 43582: 0.11553869422739875
Position 40576: 0.10482385430838352
Position 7459: 0.10045923516422339
Position 13092: 0.09219231153343246
Position 42814: 0.06606770357922431
Position 12338: 0.06457259755274519
Position 9249: 0.0536743862170611
Position 34598: 0.05085864701772213
Position 25256: 0.050444325688615795
Position 12081: 0.041354757579164556
Position 11439: 0.038542177080188186
Position 30925: 0.035100984397592384
Position 8924: 0.03426887453215615
Position 21669: 0.03340199207180458
Position 50687: 0.03329342039705023
Position 6818: 0.032363218377448634
Position 4595: 0.031037033607227777
Position 41985: 0.031016396551645314
Position 1466: 0.030640093116615537
Position 35430: 0.026995935960689253
Position 13046: 0.024261759379116846
Position 478: 0.023990152214211243
Position 50339: 0.02344973470526946
Position 238: 0.023414289766846348
Position 10155: 0.021921576321915832
Position 1661: 0.020692155054783605
Position 2730: 0.020136211658533774
Position 13348: 0.018973705934150945
Position 20939: 0.01829433043817327
Position 9706: 0.01779922766598291
Position 50937: 0.015293398880623445
Position 2762: 0.015256371557379442
