Gene = MDS2
index = 825
Annotated 5SS: [  204   665  1264  2224 11918 12462]
Annotated 3SS: [  446  1172  2146 11774 12345 13054]
SMsplice 5SS: [  204  1940  2224 12462]
SMsplice 3SS: [ 1851  2146 12345 12661]
top_k =  1000
Partition function (log Z): -10.357940263501826

Sorted 5' Splice Sites (High to Low Probability):
Position 12462: 0.9027791822632711
Position 204: 0.7920192270650809
Position 2224: 0.782985971619146
Position 1940: 0.7131650395034871
Position 665: 0.31392110434168624
Position 11030: 0.22017256101143765
Position 10634: 0.12432396329570691
Position 12050: 0.09979819200069039
Position 105: 0.09520673217545007
Position 1264: 0.08783211395525028
Position 501: 0.05575650779342372
Position 10510: 0.04448957019458005
Position 10515: 0.03848276719959131
Position 6241: 0.03372504882090753
Position 12054: 0.016178964503169267
Position 12718: 0.016100456941370942
Position 5787: 0.012331128022255786
Position 631: 0.008753311650022744
Position 610: 0.005369215313567816
Position 1266: 0.004457460652081067
Position 12495: 0.0033754138758951514
Position 6014: 0.0030733913983695496
Position 2321: 0.0023578236190352625
Position 2499: 0.001875198713937304
Position 980: 0.001352131910715986
Position 629: 0.0012518175889124777
Position 660: 0.0009467329464780291
Position 10583: 0.0009362977513993647
Position 220: 0.0009059216693550802
Position 301: 0.0007799729852926046
Position 2907: 0.0004664733432344479
Position 12922: 0.0003630326154875977
Position 12604: 0.0003336669554124457
Position 9: 0.0002722233273950487
Position 797: 0.000257746433322689
Position 3148: 0.00023566231676692655
Position 1249: 0.00021713814573467337
Position 679: 0.00020836044944674376
Position 5172: 0.00020698960721999963
Position 646: 0.00019313066070074934
Position 4968: 0.00014349986169654596
Position 2807: 0.0001431698207750492
Position 241: 0.00013432596969656198
Position 455: 0.0001293753704018725
Position 1342: 0.00011526703728136973
Position 1469: 0.00011504493057527377
Position 1677: 0.00011138498105852094
Position 6024: 8.463880675511746e-05
Position 5978: 5.543606759021853e-05
Position 1475: 5.505609571870932e-05
Position 289: 3.182218528019776e-05
Position 1021: 2.519545989388378e-05
Position 6900: 2.2354729529446316e-05
Position 6268: 2.2256693446089733e-05
Position 4819: 2.186192644447423e-05
Position 6364: 2.1736656803503786e-05
Position 2449: 2.0342568140233196e-05
Position 117: 1.9906825620745397e-05
Position 2228: 1.9807656259350138e-05
Position 7633: 1.8831055041928324e-05
Position 619: 1.545469212960615e-05
Position 3098: 1.3395463859399499e-05
Position 3271: 1.3043362089925575e-05
Position 534: 1.1887447616694268e-05
Position 3478: 1.1703622442550515e-05
Position 964: 1.0240161594275586e-05
Position 1918: 1.0103092742936026e-05
Position 1998: 8.410677040823572e-06
Position 1637: 8.193139011882694e-06
Position 1108: 7.174274696763794e-06
