Gene = HYI
index = 669
Annotated 5SS: [ 395  604 1785 2055 2192 2342 2580]
Annotated 3SS: [ 491 1669 1975 2141 2271 2444 2677]
SMsplice 5SS: [ 395  604 1785 2055 2192 2342 2580]
SMsplice 3SS: [ 491 1669 1975 2141 2271 2444 2677]
top_k =  1000
Partition function (log Z): 7.55362447574786

Sorted 5' Splice Sites (High to Low Probability):
Position 395: 0.9978875662275846
Position 2192: 0.9034876659910005
Position 2342: 0.8622638200816404
Position 604: 0.824370483608546
Position 1785: 0.7856231241344196
Position 2055: 0.7496680228248462
Position 2580: 0.6077673727612622
Position 2562: 0.3494758602260612
Position 577: 0.163947333552722
Position 1895: 0.06233152956372722
Position 1379: 0.05326020359781004
Position 2162: 0.044654640491488005
Position 1360: 0.02516179536210155
Position 1087: 0.019490480971404326
Position 959: 0.011381867240739744
Position 2338: 0.009552400398710435
Position 1864: 0.007344796607791144
Position 1459: 0.007058064527464089
Position 741: 0.004618267775283994
Position 2206: 0.004449726155492495
Position 1555: 0.0037348067246014776
Position 916: 0.0029590018855083417
Position 1882: 0.0028196759404216544
Position 1794: 0.0020694200282062513
Position 655: 0.0016976859063466028
Position 734: 0.001468261493681537
Position 1401: 0.0014019779699816718
Position 1620: 0.0010674703561694117
Position 2566: 0.0009559568337873093
Position 2256: 0.0007875923831848193
Position 1824: 0.0005961824798827462
Position 572: 0.0005069099035288215
Position 1267: 0.0004952360133952539
Position 1828: 0.0004221358458208899
Position 709: 0.0003938415203496494
Position 728: 0.0003516232579053235
Position 1394: 0.00033542591986006115
Position 1430: 0.0003104904695738963
Position 2849: 0.00030428420386686706
Position 265: 0.0002888778814472935
Position 2748: 0.00028203683452221375
Position 87: 0.00027588461965942615
Position 373: 0.00027498070841442947
Position 2029: 0.00026999584749202353
Position 21: 0.0002550721970474169
Position 315: 0.0002118316539822501
Position 856: 0.00019308023852339048
Position 1169: 0.00014401369452451542
Position 1012: 0.0001179633317842676
Position 1600: 9.721402908023119e-05
Position 1183: 9.633334365609725e-05
Position 2253: 8.811554722390992e-05
Position 1692: 8.702673248354317e-05
Position 2860: 7.478436800557936e-05
Position 1440: 6.695996906093086e-05
Position 1318: 5.995933005861603e-05
Position 1260: 4.7681058372623744e-05
Position 304: 4.765195688445124e-05
Position 2652: 4.560382235436136e-05
Position 1091: 3.2863818523879074e-05
Position 1773: 2.904583239113506e-05
Position 1299: 2.895004932659864e-05
Position 2788: 2.577354068794825e-05
Position 695: 2.574139601597432e-05
Position 1032: 2.1187445726845175e-05
Position 2456: 2.003037219790802e-05
Position 1057: 1.9477347185947184e-05
Position 633: 1.9380317248398034e-05
Position 2243: 1.791221848847537e-05
Position 2465: 1.761568701786786e-05
Position 2555: 1.5059626856215708e-05
Position 755: 1.493278631212139e-05
Position 2686: 9.638050679810122e-06
Position 1055: 9.00336002304613e-06
Position 1830: 6.734936660328868e-06
Position 1844: 6.433601177627578e-06
Position 46: 6.162895092757943e-06
Position 1098: 4.872482562203326e-06
Position 399: 4.200093452412172e-06
Position 2836: 2.0710461174945237e-06
Position 2857: 2.0399723921628283e-06
Position 1851: 1.6114743291835193e-06
Position 2196: 1.1369657139637263e-06
Position 1121: 9.526653176041534e-07
Position 1808: 6.225638993762036e-07
Position 1911: 5.062859208194862e-07
Position 2117: 3.769487100965535e-07
Position 81: 2.8378218952695525e-07
Position 91: 2.2777141109954492e-07
Position 432: 1.892645823867066e-07
Position 2325: 1.541812100479676e-07
Position 869: 7.44279322583247e-08
Position 225: 4.519622124643361e-08
Position 456: 3.555719830850332e-08
Position 664: 3.301446168431632e-08
Position 781: 3.293294798126039e-08
Position 34: 2.8049588254912048e-08
Position 905: 1.1875422991781093e-08
Position 987: 2.890757997867381e-09
Position 454: 2.282897960128265e-09
Position 1139: 1.3266315480694296e-09
Position 834: 6.993667738616798e-10
Position 2450: 3.620261316879057e-10
Position 298: 2.066527966484034e-10
Position 597: 1.5008827706409769e-10
Position 527: 1.2917355262747296e-10
Position 479: 1.9837722903717415e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2141: 0.9760452552673026
Position 491: 0.9715755475883682
Position 2444: 0.9481583203460757
Position 2677: 0.8836954583628207
Position 1669: 0.864948109828837
Position 2271: 0.8523796680713267
Position 1975: 0.3831437685657274
Position 1957: 0.31167217098997047
Position 1213: 0.07320348083200998
Position 2780: 0.020600855951365103
Position 654: 0.01810323921234731
Position 494: 0.01806584496443677
Position 2455: 0.015285409679997072
Position 1881: 0.013553500054743579
Position 984: 0.012304556858964298
