Gene = MALSU1
index = 815
Annotated 5SS: [ 409 1818 8750]
Annotated 3SS: [ 1638  8667 10155]
SMsplice 5SS: [ 409 8856]
SMsplice 3SS: [ 8775 10155]
top_k =  1000
Partition function (log Z): -7.988556241999781

Sorted 5' Splice Sites (High to Low Probability):
Position 409: 0.9742881921556815
Position 8856: 0.8123204353926594
Position 2983: 0.3611735703824426
Position 1818: 0.25675076440559735
Position 10098: 0.1413083923935024
Position 8881: 0.09171120761598106
Position 7399: 0.07732094593125269
Position 8368: 0.06440904514419321
Position 11106: 0.048706115323957855
Position 8329: 0.04512361032503437
Position 9599: 0.04356273109296967
Position 8307: 0.040998749432031675
Position 8750: 0.03712948340936639
Position 5161: 0.0339305424205679
Position 11723: 0.028740861484092012
Position 1761: 0.028027985099966506
Position 8364: 0.02586736536365244
Position 10336: 0.024289255236284814
Position 1901: 0.020754494905740873
Position 773: 0.019968340594778634
Position 1722: 0.01722002015075151
Position 5484: 0.014102045312995267
Position 714: 0.011524118049851489
Position 474: 0.010160120926969565
Position 462: 0.010017644664163715
Position 9638: 0.007785557269217849
Position 9030: 0.005275421679866943
Position 6638: 0.00518358321351791
Position 8776: 0.004571651264525435
Position 1037: 0.004512260875011621
Position 9963: 0.0042219312562400396
Position 5187: 0.004023749392358114
Position 854: 0.0029317660658344786
Position 9092: 0.0027091399247757145
Position 3115: 0.0024146047970285463
Position 282: 0.002046608592116136
Position 9967: 0.0020416068685824846
Position 49: 0.0019090560147600288
Position 11046: 0.001587859699320761
Position 9731: 0.0015216758880384038
Position 763: 0.001155630192759837
Position 8998: 0.0011017439326595415
Position 10093: 0.0010323582724377379
Position 1455: 0.0008135882638960401
Position 1485: 0.0007132178621565504
Position 227: 0.0005463367696386214
Position 9197: 0.0002450910664471132
Position 1293: 0.0001995842953945003
Position 8870: 0.00018015330073636998
Position 210: 0.00017044055258822984
Position 882: 0.00016439584451308762
Position 777: 0.0001520076020451105
Position 1182: 0.00014793290267008593
Position 3299: 0.0001261694206878581
Position 790: 0.00011446815869006723
Position 4366: 0.00010606442044555842
Position 1398: 0.00010446458773471686
Position 556: 9.79989459428527e-05
Position 807: 9.31407975311315e-05
Position 4130: 8.92969663537407e-05
Position 197: 7.825013387091788e-05
Position 1082: 7.780807046851167e-05
Position 2965: 7.05648761724851e-05
Position 1463: 5.589202142940945e-05
Position 3239: 5.5717580617667615e-05
Position 171: 5.520424111251199e-05
Position 1348: 5.453057293418538e-05
Position 1332: 5.391056128618596e-05
Position 757: 5.243651862872506e-05
Position 234: 4.6954099985520803e-05
Position 115: 4.612571392090316e-05
Position 457: 3.800140771924598e-05
Position 1321: 3.786380105663956e-05
Position 801: 3.5948162382866426e-05
Position 1058: 2.94607986872777e-05
Position 219: 2.8314303597855166e-05
Position 11: 1.94917260380483e-05
Position 1559: 1.6775382667010324e-05
Position 1414: 1.3962616992509724e-05
Position 877: 1.3903691691168694e-05
Position 1330: 1.2624487775532291e-05
Position 1519: 1.2361177042731376e-05
Position 1228: 1.060364713212554e-05
Position 727: 1.0110677312644298e-05
Position 8736: 9.28900637253733e-06
Position 1580: 9.282303084085016e-06
Position 496: 8.921337856930676e-06
Position 169: 6.752428585187535e-06
Position 1327: 5.525711374859879e-06
Position 1429: 5.362645841903692e-06
Position 8911: 5.0068660206573275e-06
Position 1140: 4.265409101910308e-06
Position 1375: 4.016404695574986e-06
Position 585: 3.839447810064862e-06
Position 9053: 3.6410439054649464e-06
Position 375: 3.5504995145494655e-06
Position 1361: 3.5271585600035418e-06
Position 920: 2.796034673016584e-06
Position 662: 2.263095388435004e-06
Position 1382: 1.855500558733233e-06
Position 1290: 1.3965058409838033e-06
Position 1354: 1.1075691275531736e-06
Position 821: 1.002072340408645e-06
Position 718: 9.094942545703281e-07
Position 87: 7.842242205118933e-07
Position 450: 4.994597311973834e-07
Position 484: 2.871940531687808e-07
Position 2972: 2.31921818366111e-07
Position 324: 7.491083882072971e-08
Position 2438: 5.18570870780709e-08
Position 971: 5.163212217979041e-08
Position 3184: 4.0391530685729046e-08
Position 2588: 3.987351780786627e-08
Position 2540: 3.8481405333612257e-08
Position 3704: 2.742942608934431e-08
Position 2711: 2.6514616004253442e-08
Position 3223: 1.928983188234913e-08
Position 3088: 1.8866277903936036e-08
Position 3019: 1.646514474456484e-08
