Gene = GS1-114I9.3
index = 623
Annotated 5SS: [   57  3896 49674]
Annotated 3SS: [ 3634 49497 49930]
SMsplice 5SS: [   57 17709 49674]
SMsplice 3SS: [17604 49497 49930]
top_k =  1000
Partition function (log Z): -28.0782787491276

Sorted 5' Splice Sites (High to Low Probability):
Position 57: 0.9549826388540148
Position 17709: 0.44491996044830207
Position 7256: 0.16005659523671575
Position 13687: 0.10079960110767072
Position 16729: 0.04491579314919458
Position 663: 0.027645398261906113
Position 3747: 0.011947905295052609
Position 3568: 0.008790351221183091
Position 3896: 0.007705928938394224
Position 5069: 0.007472688934276765
Position 7671: 0.007235244124829585
Position 9265: 0.006467284811058931
Position 157: 0.004969403722657216
Position 8236: 0.004962710216658708
Position 3776: 0.004801015698814966
Position 419: 0.004354083563347713
Position 12466: 0.00434065130633737
Position 163: 0.00409798047695616
Position 6640: 0.002256501544569922
Position 3071: 0.0021960102866204387
Position 7415: 0.0021759238433738297
Position 9422: 0.0020304436248892335
Position 5409: 0.0019511576794091455
Position 3578: 0.0018391204082567963
Position 8137: 0.0017556289826177315
Position 8240: 0.0017151376014661063
Position 6680: 0.0014753545812842387
Position 6697: 0.0014125350514789614
Position 1117: 0.001250540034198699
Position 503: 0.0011330300314833805
Position 145: 0.0011205877552821226
Position 7685: 0.0010362142371151484
Position 3207: 0.0010312882203689705
Position 1717: 0.0009075349055524206
Position 7632: 0.0007851333074916714
Position 536: 0.0004923590259319279
Position 8469: 0.00038467872222387343
Position 3737: 0.00037717273946899493
Position 896: 0.00033348511483192653
Position 7340: 0.00031114960452081853
Position 3572: 0.00030460983188187215
Position 1071: 0.00021903395566671478
Position 4493: 0.00021090277210171672
Position 3034: 0.00018355248498714687
Position 4732: 0.00016351327372503925
Position 9319: 0.00015778019276510224
Position 9445: 0.00015500760303035444
Position 238: 0.00012590247897252977
Position 2126: 7.80588609662468e-05
Position 334: 6.910183855864215e-05
Position 1645: 6.33071161152764e-05
Position 1005: 5.6545762180172743e-05
Position 775: 5.361396202257316e-05
Position 153: 3.355755171652828e-05
