Gene = TXNRD3NB
index = 1514
Annotated 5SS: [481]
Annotated 3SS: [590]
SMsplice 5SS: [481]
SMsplice 3SS: [590]
top_k =  1000
Partition function (log Z): -7.77892766882393

Sorted 5' Splice Sites (High to Low Probability):
Position 481: 0.6170005473171676
Position 430: 0.3286163938241302
Position 734: 0.07333287581886028
Position 165: 0.06765527112929011
Position 249: 0.018727086683574895
Position 743: 0.0035388272436949323
Position 394: 0.0030643684164022396
Position 518: 0.0005185474494013409
Position 183: 0.0004440176210016409
Position 330: 0.0002019415039498501
Position 181: 0.00016936334603826213
Position 719: 0.0001549946126812363
Position 485: 0.00011714226275981571
Position 423: 0.00011225491074789308
Position 263: 9.877673430909106e-05
Position 462: 4.9884407181062446e-05
Position 591: 1.712945814208215e-05
Position 510: 1.0658820619816737e-05
Position 358: 1.3157832190506132e-06
Position 271: 1.2406495599427954e-06
Position 17: 3.6515220203952113e-07
Position 741: 3.1896461129424987e-07
Position 556: 2.2137139347223938e-08
Position 571: 1.9881582543315083e-09
Position 764: 1.5119220862690115e-09
Position 224: 4.183944931793218e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.9298666577595169
Position 812: 0.0759412193308571
Position 566: 0.04839364297500732
Position 344: 0.032166012684832296
Position 530: 0.017037883148269994
Position 347: 0.0018918088646697692
Position 833: 0.0014264428425692774
Position 773: 0.001347436531917993
Position 350: 0.0009187290031488985
Position 597: 0.000685372673141461
Position 260: 0.000655419523937028
Position 282: 0.0006461256195790964
Position 619: 0.0004078243710745054
Position 271: 0.00038997276238004433
Position 507: 0.0002796270547051992
Position 243: 0.00021803110539341634
Position 649: 0.00019157158715771286
Position 423: 0.0001883296498047839
Position 310: 0.0001552360106313701
Position 248: 0.00014841779732460226
Position 371: 0.00012366027835956106
Position 510: 0.0001022500949466544
Position 622: 9.333210226059885e-05
Position 571: 8.963183087914295e-05
Position 542: 7.963914899105298e-05
Position 471: 7.532446079859209e-05
Position 670: 6.700126981834111e-05
Position 755: 6.0697801013830106e-05
Position 840: 3.466040156698688e-05
Position 380: 3.3442727738184854e-05
Position 325: 2.4374574881574857e-05
Position 284: 2.4357793938793676e-05
Position 321: 1.3421206363243533e-05
Position 369: 1.2941875472880097e-05
Position 393: 1.2731104730922108e-05
Position 290: 6.748819210608568e-06
Position 384: 5.262432819153043e-06
Position 628: 3.700298787693454e-06
Position 695: 2.380143095996498e-06
Position 455: 1.9311543242453966e-06
Position 656: 1.5889650824418773e-06
Position 428: 1.2410325434352532e-06
Position 631: 1.2106303006991936e-06
Position 538: 9.306980540909898e-07
Position 399: 7.992771156103075e-07
Position 302: 6.574508660144752e-07
Position 386: 6.272597797339339e-07
Position 292: 6.2678460240586e-07
Position 551: 5.653006690300835e-07
Position 438: 4.2192467770946424e-07
Position 434: 3.592446395533123e-07
Position 731: 2.848066931937631e-07
Position 706: 2.7305810111262185e-07
Position 709: 1.617558450999536e-07
Position 715: 8.75562795112579e-08
Position 440: 6.988590773024885e-08
Position 219: 6.374921256816904e-08
Position 444: 4.473762639158205e-08
Position 451: 2.760147782146751e-08
Position 485: 2.6645586212103935e-08
Position 724: 2.6514228052452133e-08
Position 86: 1.6868624546896582e-09
Position 82: 2.239283459894899e-10
Position 221: 7.461096461134501e-11
Position 88: 4.392055361649384e-11
Position 149: 1.9413999288995162e-11
Position 181: 1.3625967295795243e-11
Position 726: 8.371994794001518e-12
Position 115: 3.889732468784727e-12
Position 125: 3.2634106816277666e-12
Position 146: 3.0838809237584723e-12
Position 138: 2.970578749075878e-12
Position 161: 2.789566572776465e-12
Position 112: 2.68657457306402e-12
Position 169: 2.2819422983113754e-12
Position 131: 1.4333250591155508e-12
Position 110: 1.2747020125723302e-13
Position 106: 1.1011647473015056e-13
Position 97: 2.4534538006018246e-14
Position 143: 2.5141016996433107e-15
