Gene = CACFD1
index = 271
Annotated 5SS: [ 201 3569 5461 8042]
Annotated 3SS: [3495 5334 7933 8575]
SMsplice 5SS: [ 201 5461 8042]
SMsplice 3SS: [5334 7933 8575]
top_k =  1000
Partition function (log Z): 1.5063895874778446

Sorted 5' Splice Sites (High to Low Probability):
Position 5461: 0.97961486732451
Position 8042: 0.6796778118213582
Position 201: 0.6394900553421217
Position 3569: 0.5727477232424008
Position 8721: 0.3175742092574471
Position 8015: 0.3046930045252867
Position 2734: 0.24870105735547735
Position 93: 0.23254830535419052
Position 2233: 0.2289458792201877
Position 2939: 0.19075818032308983
Position 632: 0.18299651028248065
Position 4817: 0.17297483636664543
Position 7328: 0.14531854289147983
Position 5694: 0.09904896335629848
Position 5236: 0.0784373282990875
Position 7219: 0.07728561966938093
Position 636: 0.0739723662516227
Position 411: 0.06878891595486535
Position 6581: 0.06178687045223991
Position 1262: 0.06139802575702274
Position 8308: 0.05612855217245384
Position 1678: 0.050301995082268174
Position 8285: 0.0460291286241624
Position 8478: 0.04427045765054712
Position 2537: 0.038622469114368695
Position 5182: 0.03743481020234206
Position 8924: 0.03584143842340215
Position 7349: 0.03441532661149567
Position 157: 0.0339083995225412
Position 6650: 0.03213939138914573
Position 1907: 0.031692484483263
Position 9884: 0.023748683912358185
Position 10487: 0.023214048276925952
Position 8711: 0.02211059519414091
Position 1425: 0.021958330458677056
Position 678: 0.020330139026119284
Position 5172: 0.017600674069409055
Position 2850: 0.01744767072155859
Position 5791: 0.016217257373532374
Position 2739: 0.015393827962492954
Position 205: 0.015309134566405922
Position 6144: 0.014061807648544937
Position 3719: 0.013473789218816626
Position 9484: 0.012945760427717449
Position 983: 0.012759140140831588
Position 1454: 0.010135878497484551
Position 9795: 0.00988643405551188
Position 768: 0.009698676005396784
Position 5536: 0.009302341455100695
Position 751: 0.009260385133651102
Position 6726: 0.009102196544382877
Position 5795: 0.008106763385247504
Position 7512: 0.008106050924239619
Position 7588: 0.007676118346016682
Position 9767: 0.006794744857503605
Position 55: 0.0060105942070112425
Position 4087: 0.005799793126187306
Position 5758: 0.005539661871262923
Position 746: 0.004001900050156981
Position 7767: 0.0037609006560121146
Position 8010: 0.0036628439595326697
Position 9209: 0.003536446271428922
Position 1673: 0.0034978060732225222
Position 3573: 0.0034753539636900774
Position 9199: 0.0025480164768405126
Position 8715: 0.00233012169482417
Position 8105: 0.0022041544832035877
Position 1610: 0.0021106032383700294
Position 1928: 0.002085239910121038
Position 5417: 0.0019946838138413126
Position 151: 0.0019191199808067238
Position 9739: 0.0018952078082157204
Position 2524: 0.0018014510266245365
