Gene = IQCJ
index = 716
Annotated 5SS: [   114 176580 183480 193356]
Annotated 3SS: [176514 183398 193219 195886]
SMsplice 5SS: [   114    478  12701  71102  78290  98333 110110 122267 147160 164406
 169272 169462 176580 183480 189818 193356]
SMsplice 3SS: [   347  12583  71015  78171  98210 110032 122141 147063 164317 169171
 169354 176514 183398 189761 193219 196072]
top_k =  1000
Partition function (log Z): -83.41223122500836

Sorted 5' Splice Sites (High to Low Probability):
Position 12701: 0.9332109815229692
Position 114: 0.8891950867350379
Position 478: 0.7400613656085815
Position 4939: 0.6499571167687646
Position 5683: 0.6378067396758506
Position 12469: 0.3810672727867344
Position 7103: 0.37526847173996075
Position 4064: 0.2833193259422492
Position 6236: 0.23214867849272097
Position 4069: 0.23051774093814806
Position 6520: 0.20298719416552824
Position 6622: 0.11881030113237974
Position 1377: 0.114210345495569
Position 12417: 0.07995604394060717
Position 12475: 0.07869336760832454
Position 265: 0.07550458505962807
Position 11230: 0.06712625437686714
Position 4540: 0.06651249087895872
Position 3136: 0.053627572246944706
Position 4671: 0.036985026757826105
Position 441: 0.021709610614240146
Position 4913: 0.013486249519860006
Position 9942: 0.013386043489641649
Position 10828: 0.013173040151450493
Position 6718: 0.01236386944824438
Position 11354: 0.012198911592447398
Position 11448: 0.01031417851847629
Position 1431: 0.007585535892079701
Position 4149: 0.007402234653507574
Position 1723: 0.006136890475293535
Position 11180: 0.0060708329208153085
Position 206: 0.005720168523184561
Position 119: 0.00542427265024464
Position 3444: 0.004576825331929103
Position 750: 0.004453218619678387
Position 86: 0.004430290280385646
Position 4690: 0.0035968275682444124
Position 16682: 0.002579467627593292
Position 1174: 0.0022829095086231406
Position 11932: 0.00223330953677867
Position 7909: 0.0022241241831718744
Position 3484: 0.0020436767331294832
Position 3099: 0.001905219572082154
Position 415: 0.0019041008537937644
Position 666: 0.0017616677010172039
Position 1351: 0.001745396004871427
Position 4748: 0.0016592362742732126
Position 4850: 0.0016299854871350363
Position 1446: 0.0013297187393786346
Position 13721: 0.001327128730754437
Position 6115: 0.0010666144166659244
Position 1012: 0.0009505055338929702
Position 6831: 0.0007985713400941482
Position 2432: 0.0007645562126355134
Position 13171: 0.000740078915492868
Position 6627: 0.0006679377072727626
Position 12799: 0.000635902775678668
Position 150: 0.00045072878548533884
Position 5835: 0.0003409977280910561
Position 4027: 0.00032085161844335006
Position 243: 0.0001381142544570454
Position 1152: 0.00012547348818990899
Position 277: 7.657695019003652e-05
Position 2112: 5.177047587328489e-05
Position 896: 5.063429475011404e-05
Position 259: 4.308984073587971e-05
Position 1068: 3.8862581580101726e-05
Position 519: 3.725848757244073e-05
Position 291: 3.425581947001751e-05
Position 557: 3.0170483636785694e-05
Position 521: 2.894543278961361e-05
Position 517: 2.7460073671991083e-05
Position 523: 2.4538515064338488e-05
Position 525: 2.2203984552898916e-05
Position 527: 1.7942045225238663e-05
Position 241: 1.6465810675214606e-05
Position 529: 1.5664873161016026e-05
Position 271: 1.3606342222272528e-05
Position 269: 1.2979251065817754e-05
Position 406: 1.2081875534378987e-05
Position 531: 1.165784891777036e-05
Position 533: 1.1087861949627591e-05
Position 109: 8.981187796896751e-06
Position 535: 8.919425609787845e-06
Position 48: 7.63778187468159e-06
Position 537: 7.4413617629621706e-06
Position 539: 6.21121621826681e-06
Position 732: 5.751633800642413e-06
Position 541: 5.054581778086621e-06
Position 886: 4.185428026903193e-06
Position 789: 4.14406647306432e-06
Position 543: 4.141294559496493e-06
Position 299: 3.8943126235491584e-06
Position 285: 3.1536261335413654e-06
Position 545: 3.0899683026189673e-06
Position 68: 3.0605002099168217e-06
Position 1171: 2.9989432874654592e-06
Position 578: 2.5989852004045223e-06
Position 547: 2.4552496856449257e-06
Position 943: 2.176294311469786e-06
Position 549: 2.1513678118831742e-06
Position 565: 2.1108493865591595e-06
Position 1196: 2.0831501103176453e-06
Position 551: 2.080419117886359e-06
Position 30: 1.8839063061425771e-06
Position 137: 1.8829645860954353e-06
Position 553: 1.835302938611013e-06
Position 2684: 1.8073519000651498e-06
Position 2094: 1.2236498925051196e-06
Position 219: 1.08709042672462e-06
Position 561: 9.326237124964008e-07
Position 1381: 8.460409548847101e-07
Position 50: 4.541855483811703e-07
Position 2074: 3.5921805869462854e-07
Position 88: 2.9981921185495497e-07
Position 2393: 2.6958351920813666e-07
Position 1156: 9.970055319530282e-08
Position 780: 8.002471514206138e-08
Position 279: 6.535743390859912e-08
Position 1905: 6.529791343285653e-08
Position 301: 6.280875565550154e-08
Position 938: 4.96356432687491e-08
Position 338: 4.623148638788768e-08
Position 313: 2.234980046610776e-08
Position 324: 1.7125790713173293e-08
Position 688: 9.576175825024773e-09
Position 334: 7.64581720218628e-09
Position 332: 6.812739519258693e-09
Position 555: 5.606184692842354e-09
Position 189: 5.160540270092558e-09
Position 1396: 3.0818833202748626e-09
Position 15: 2.197706722795299e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 12583: 0.8948879046567974
Position 29170: 0.6454072583053748
Position 12378: 0.6050363892889462
Position 347: 0.6033445216783707
Position 4803: 0.571084840041741
Position 3966: 0.48469052488450576
Position 6947: 0.36499958714299174
Position 6140: 0.22141960913488107
Position 5493: 0.18433420744777448
Position 5583: 0.18345588141613617
Position 6479: 0.13273613075585913
Position 6438: 0.12106619814394344
Position 294: 0.12003009087450353
Position 1270: 0.11872096146677018
