Gene = POT1
index = 1055
Annotated 5SS: [   188   1167  14408  31721  32817  37716  59071  66632  71025  77010
  78110  83040  87175  89009  94703 100728 102768 104730]
Annotated 3SS: [   981  14334  31606  32768  37600  58939  66340  70868  76842  78029
  82982  87017  88802  94566 100638 102675 104623 105906]
SMsplice 5SS: [   188   1167   7997  14408  31721  37280  37716  37993  59071  64853
  71025  77010  78110  87175  89009  94703 100728 102768 104730]
SMsplice 3SS: [   981   7872  14334  31606  37165  37600  37892  58939  64681  70868
  76842  78029  87017  88845  94566 100638 102675 104623 105906]
top_k =  1000
Partition function (log Z): -39.99172901893126

Sorted 5' Splice Sites (High to Low Probability):
Position 14408: 0.9930805677768006
Position 1167: 0.9437618167638343
Position 188: 0.9007605762426946
Position 7997: 0.6661262103754998
Position 1588: 0.5907410525454623
Position 13141: 0.15690426893759413
Position 423: 0.13179216058014528
Position 460: 0.09775955059096392
Position 4170: 0.0737807294097848
Position 126: 0.06752093743878558
Position 8029: 0.06173185245695485
Position 1365: 0.056431937470649306
Position 7918: 0.05041777689752424
Position 763: 0.04472574824067756
Position 4450: 0.04464607367660316
Position 9464: 0.04016740494104466
Position 10360: 0.038417725320380555
Position 11908: 0.03735911704029922
Position 13534: 0.03479438182447457
Position 11918: 0.03277305861468643
Position 6546: 0.031721418638035334
Position 480: 0.030659305328870224
Position 5558: 0.02441217579955208
Position 427: 0.022281298012804093
Position 5170: 0.020333547437312905
Position 408: 0.018351229027631102
Position 9492: 0.01777903439086849
Position 8025: 0.015656194895639033
Position 1378: 0.015558585707601142
Position 2440: 0.01516923515471881
Position 11429: 0.013965368697110406
Position 10525: 0.013233057908413427
Position 2088: 0.011589701434662198
Position 5575: 0.010342745659308662
Position 182: 0.009753716205920982
Position 7389: 0.009062149050761251
Position 494: 0.007649015168527673
Position 2699: 0.007605570983665889
Position 2619: 0.007010244842808269
Position 206: 0.006946167374723286
Position 1255: 0.006507449582530686
Position 1986: 0.005624995114012935
Position 14868: 0.0054877632763342945
Position 21554: 0.005334691490266208
Position 27923: 0.005033895665325166
Position 1953: 0.004908470175590014
Position 6676: 0.004689532091678926
Position 1787: 0.004544826776995828
Position 1099: 0.004540455153215109
Position 8631: 0.004450458863322575
Position 6982: 0.004380442347641639
Position 3358: 0.004105058655994066
Position 1138: 0.003812697663962891
Position 3588: 0.002962253932281217
Position 19273: 0.0028931710061839725
Position 1657: 0.0028193325394335568
Position 374: 0.0025191155352811893
Position 15492: 0.0022795578944686014
Position 21517: 0.0022448487059789596
Position 2183: 0.0022446228032596363
Position 2818: 0.0021640107176267073
Position 529: 0.0019474959786340749
Position 6179: 0.0019020134663556307
