Gene = PCDHGB5
index = 1002
Annotated 5SS: [  2397  96738 107354]
Annotated 3SS: [ 96678 107264 112818]
SMsplice 5SS: [   228   7249  11494  12493  24978  57334  80419  85700  90731  93573
  96738 107354 110985]
SMsplice 3SS: [  7140  11381  12383  24810  57210  80265  85581  90559  93362  96678
 107264 110924 112818]
top_k =  1000
Partition function (log Z): -41.0671273733334

Sorted 5' Splice Sites (High to Low Probability):
Position 11494: 0.9930243411489076
Position 24978: 0.9513738048174164
Position 7249: 0.8214518856028987
Position 12493: 0.8100539778216933
Position 16935: 0.7181795055984361
Position 6227: 0.6279413191727337
Position 25533: 0.5816005663116159
Position 228: 0.5466113481843392
Position 22147: 0.4823593226659816
Position 693: 0.4101274836439854
Position 25808: 0.4060284033314896
Position 11950: 0.32269667875322927
Position 15804: 0.27189647079462015
Position 22795: 0.2589378351571192
Position 427: 0.2581727526062017
Position 2397: 0.24443279732849932
Position 15369: 0.24208541117509857
Position 23847: 0.21652029799542544
Position 11710: 0.2146907752433354
Position 22740: 0.16769097648579212
Position 17484: 0.15852333993663073
Position 16203: 0.1293546938886832
Position 11223: 0.12173893157212959
Position 15362: 0.11378498665701847
Position 255: 0.06614948075329308
Position 16653: 0.0648658032246797
Position 24009: 0.05946604017404146
Position 11909: 0.052241604550311876
Position 21616: 0.04706349175708922
Position 15874: 0.038173083136255774
Position 18580: 0.033316341650506044
Position 10970: 0.031995094246825714
Position 17260: 0.029110275331205467
Position 23931: 0.025263866204553717
Position 21367: 0.024166391591160113
Position 5033: 0.022571309640214744
Position 18732: 0.02146260136950874
Position 8466: 0.021151240600103427
Position 8505: 0.019296892144978317
Position 1623: 0.017719401376045104
Position 12305: 0.016097680485085527
Position 1758: 0.015714583103286592
Position 10379: 0.01437127991038642
Position 8254: 0.014358326288412352
Position 27013: 0.013903360837783046
Position 5087: 0.013199023801491072
Position 21962: 0.012841070674440097
Position 720: 0.011680046857274461
Position 11218: 0.010907146414315129
Position 201: 0.009838707542295775
Position 22717: 0.009657581275043441
Position 12010: 0.009477101260809324
Position 3558: 0.008407117369046944
Position 1863: 0.007560666692236631
Position 1998: 0.007473584626476668
Position 11225: 0.007054437400607867
Position 15642: 0.006813928497861203
Position 2552: 0.006465098378343087
Position 19000: 0.005764950246799303
Position 6088: 0.005455874582809288
Position 15013: 0.0054526810621186965
Position 10349: 0.005433477634431366
Position 11287: 0.004779625295926538
Position 979: 0.003990670932987952
Position 26517: 0.0037050681071384203
Position 3156: 0.0033180116482384964
Position 2644: 0.003161197320727313
Position 9575: 0.0031120084012894243
Position 16554: 0.0027573810979585004
Position 13076: 0.0026362831241367943
Position 11728: 0.0026099639193891927
Position 958: 0.0020264922569024164
Position 5172: 0.002004570715225782
Position 14070: 0.0017618247464931494
Position 26071: 0.0013248223838878926
Position 15268: 0.0011907313970870713
Position 88: 0.001013697681408164
Position 24873: 0.0010114558431171946
Position 11806: 0.0005880197406859783
Position 11758: 0.0005644684578270208
Position 1131: 0.00047056440062691004
Position 11724: 0.00043306733568603494
Position 354: 0.0004024204992167642
Position 205: 0.00019856182445244898
Position 1923: 0.0001946493930265485
Position 939: 0.0001340609615112779
