Gene = BRK1
index = 143
Annotated 5SS: [  228 10117]
Annotated 3SS: [10033 10676]
SMsplice 5SS: [  228 10117]
SMsplice 3SS: [ 9966 10676]
top_k =  1000
Partition function (log Z): -6.044814156177614

Sorted 5' Splice Sites (High to Low Probability):
Position 10117: 0.9668777483052065
Position 228: 0.9262064820780598
Position 751: 0.3585949468749473
Position 772: 0.13293449918783914
Position 1041: 0.06462416890578694
Position 10875: 0.04856752500924066
Position 842: 0.04118886282539511
Position 9917: 0.03492380817608933
Position 5898: 0.02899099746248488
Position 5296: 0.02885470107714409
Position 1945: 0.025637427230593327
Position 3379: 0.02295179554289067
Position 5132: 0.019220812256529156
Position 274: 0.012771043219510999
Position 591: 0.010228788802821418
Position 3638: 0.006871209759599005
Position 5616: 0.00684795982889171
Position 358: 0.006528561496550423
Position 5623: 0.0032395083077770646
Position 7700: 0.002980335847202513
Position 6045: 0.002777660672514159
Position 223: 0.0022627771997612623
Position 131: 0.002102691892083219
Position 10687: 0.0017901381482761374
Position 69: 0.0004394218043659447
Position 10914: 0.00039488842720197944
Position 64: 0.000355006249240292
Position 169: 0.0003521702599771733
Position 11008: 0.0003331893083251325
Position 760: 0.00029702210187727574
Position 5893: 0.00026118913287196093
Position 1738: 0.0002548271170170979
Position 492: 0.00024666747924034934
Position 3039: 0.00024273789007233192
Position 1149: 0.00024084038124640595
Position 30: 0.0002211042752483597
Position 4401: 0.0002082828615959622
Position 6058: 0.00019564477922833954
Position 10865: 0.0001921361743378179
Position 277: 0.0001666425034749087
Position 475: 0.00016269068372085297
Position 794: 0.00014292302341229826
Position 410: 0.00012752082835313397
Position 888: 0.00011120584764259464
Position 5178: 0.00010641848947922568
Position 1056: 0.00010270796280082376
Position 4042: 0.00010090326699770458
Position 4358: 9.870863731227398e-05
Position 10: 9.36116990352567e-05
Position 7261: 8.903956574908347e-05
Position 7071: 8.473959326378999e-05
Position 5682: 6.87829107029466e-05
Position 10870: 6.616692166256243e-05
