Gene = AGGF1
index = 36
Annotated 5SS: [  592  4136  5359  6336  9335 16293 17888 18603 22423 23746 25212 29359
 31418]
Annotated 3SS: [ 4032  5155  6170  9145 15961 17775 18550 22320 23579 25128 29230 31317
 32666]
SMsplice 5SS: [  592  4136  5359  9335 16293 17888 18603 23703 25212 29359 31418]
SMsplice 3SS: [ 4032  5155  9145 15961 17775 18550 23579 25128 29230 31317 32666]
top_k =  1000
Partition function (log Z): 12.241853417069807

Sorted 5' Splice Sites (High to Low Probability):
Position 25212: 0.9999577234240427
Position 31418: 0.9971001342500024
Position 18603: 0.9959059848549359
Position 9335: 0.987565521455878
Position 4136: 0.9512067481412418
Position 16293: 0.8895657846090663
Position 29359: 0.8429647353050921
Position 22423: 0.7424989458059493
Position 592: 0.6984120122479182
Position 5359: 0.6357676689468891
Position 17888: 0.5930295456224909
Position 23703: 0.4495810290029218
Position 22676: 0.3872391161879183
Position 6336: 0.34578287909370886
Position 30868: 0.3170652435798259
Position 5297: 0.300954163675707
Position 5055: 0.2760167187393924
Position 223: 0.27427883922720336
Position 32847: 0.2250601727626891
Position 23746: 0.21985948728711854
Position 10297: 0.17507451072909924
Position 31200: 0.16653539106636178
Position 33404: 0.15442971531176897
Position 32491: 0.09690238049938969
Position 10623: 0.08101765093463503
Position 24639: 0.07186352318141402
Position 30136: 0.0693138497736773
Position 508: 0.0652167235566198
Position 13977: 0.059076598396222715
Position 32510: 0.04757048613704345
Position 25018: 0.0467912756167507
Position 123: 0.045738500105690236
Position 24174: 0.038959877021799864
Position 30418: 0.037040748260679345
Position 7781: 0.03637056394027955
Position 19292: 0.03282060840747155
Position 2453: 0.028834785817639926
Position 4230: 0.028450910858826447
Position 6651: 0.025081867941448052
Position 14537: 0.02424764660969435
Position 3612: 0.023687111734791075
Position 29306: 0.022881067482122413
Position 2634: 0.0221903951457525
Position 28863: 0.017311200228386833
Position 27442: 0.016422788361025883
Position 16930: 0.016220099754384393
Position 26121: 0.015742766388907228
Position 30124: 0.015471811091448606
Position 16685: 0.01478596769472403
Position 18406: 0.014229392474393865
Position 3962: 0.014206817570941672
Position 8526: 0.01398333996501867
Position 4515: 0.013096940210557791
Position 23442: 0.012484395294643652
Position 14970: 0.012448732557827816
Position 8771: 0.011982983017040271
Position 16203: 0.011793402800370962
Position 1113: 0.011374822273437968
Position 34163: 0.011006167618062048
Position 11744: 0.010834867567223008
Position 14704: 0.010822673048115402
Position 23448: 0.009880524901027228
Position 31867: 0.009407383860323425
Position 3843: 0.009385763894155312
Position 22711: 0.008065059593178475
Position 1831: 0.00774082899850318
Position 30986: 0.007725523354273602
Position 21827: 0.007603796532013255
Position 30422: 0.007603551494688799
Position 25713: 0.007543515361007675
