Gene = P3H1
index = 992
Annotated 5SS: [  517  4701  7823  8172  9241 11476 11859 12155 14487 14750 16838 18824
 19301 19752]
Annotated 3SS: [ 4547  7632  8039  9100 11385 11805 12032 14358 14653 16686 18705 19224
 19610 20170]
SMsplice 5SS: [  517  7823  8172  9241 11476 12155 14487 14750 16838 18824 19301 19752]
SMsplice 3SS: [ 7632  8039  9100 11385 12032 14358 14653 16686 18705 19224 19610 20170]
top_k =  1000
Partition function (log Z): 22.69928010320028

Sorted 5' Splice Sites (High to Low Probability):
Position 19301: 0.9879763087489494
Position 11476: 0.9686116903945503
Position 14750: 0.9583747187115409
Position 18824: 0.951612726360507
Position 9241: 0.9355360516436239
Position 14487: 0.8980993270137521
Position 8172: 0.8951483347257418
Position 7823: 0.8877343926304049
Position 12155: 0.8799345126517985
Position 517: 0.7363537226012158
Position 16838: 0.7177639746550148
Position 4701: 0.509451563201941
Position 19752: 0.4869298002067607
Position 19771: 0.4282763414063142
Position 10623: 0.4080826390980983
Position 8735: 0.3165076074197641
Position 11951: 0.26847425153932497
Position 9504: 0.19632303355304975
Position 13785: 0.19094110311769666
Position 16750: 0.1826634438230352
Position 20337: 0.1767239614846194
Position 17694: 0.1294901377719254
Position 19027: 0.11189670480084267
Position 12133: 0.10841736728112811
Position 6365: 0.10024467054011121
Position 10289: 0.10023761337763627
Position 19953: 0.0964766984885925
Position 8229: 0.08126733423771328
Position 9828: 0.07073787372159217
Position 502: 0.07010879496874729
Position 11859: 0.06783393382261609
Position 11959: 0.06508213136881359
Position 58: 0.0603598752238975
Position 11884: 0.0601975870942883
Position 148: 0.05431994231916059
Position 841: 0.049921880991102605
Position 10444: 0.04689175088287948
Position 4981: 0.041422957836009064
Position 9236: 0.037679419198316834
Position 13633: 0.03739343738750771
Position 12853: 0.03737033310696706
Position 10325: 0.030548214760351557
Position 11933: 0.028406955893278452
Position 19022: 0.022975055577032166
Position 11486: 0.02170555190378308
Position 13943: 0.017950538499218325
Position 11188: 0.01742002496154524
Position 727: 0.016790476343108245
Position 5398: 0.016673386657054434
Position 121: 0.014259702704743969
