Gene = CPT2
index = 405
Annotated 5SS: [  667  4371  6001 14891]
Annotated 3SS: [ 4289  5893 13585 16834]
SMsplice 5SS: [ 667 4371 6001 7645 8167]
SMsplice 3SS: [ 4289  5893  7520  8093 13585]
top_k =  1000
Partition function (log Z): 1.101565273944753

Sorted 5' Splice Sites (High to Low Probability):
Position 667: 0.945670335380502
Position 6001: 0.8795571998979937
Position 8167: 0.7731347284841761
Position 4371: 0.7703432541238545
Position 7645: 0.6361798681221185
Position 13848: 0.3416595047480528
Position 1723: 0.29133017966952635
Position 1079: 0.2539963304741072
Position 57: 0.24205899221349075
Position 4391: 0.20272746710221287
Position 22: 0.18125290126732455
Position 1385: 0.17108793577405113
Position 5414: 0.16329677696858919
Position 6142: 0.1624633975904912
Position 2139: 0.1255426430231466
Position 6005: 0.10195571098618028
Position 14891: 0.09616566858934976
Position 5283: 0.09143552240494789
Position 4731: 0.0905365223197537
Position 13872: 0.07624682760578358
Position 8456: 0.07364547394374339
Position 16388: 0.05381567246392535
Position 12056: 0.05143984298091632
Position 7677: 0.04978011718322909
Position 16395: 0.04337804699164317
Position 7539: 0.042357659345883564
Position 7711: 0.03653792110397917
Position 8288: 0.029383760870445096
Position 14822: 0.025258593090213187
Position 16765: 0.02013607244451956
Position 10742: 0.01765566558125613
Position 1039: 0.01472100271066228
Position 3039: 0.01340722501457173
Position 8176: 0.013378248225460503
Position 9432: 0.010451312054930747
Position 14035: 0.010235653791001052
Position 5711: 0.00939778798400485
Position 12554: 0.008937157598546831
Position 317: 0.008859819581748066
Position 14679: 0.0088463479193862
Position 12213: 0.008195570514022569
Position 6021: 0.007852955269728621
Position 9539: 0.007464506146990418
Position 3144: 0.006399212416267266
Position 13373: 0.00638253907126408
Position 2482: 0.005870851735287851
Position 7658: 0.005395229879512935
Position 7803: 0.005302628716083569
Position 6915: 0.00523302236531175
Position 16685: 0.004765438771327625
Position 8828: 0.004716102371770429
Position 6098: 0.003897012319469782
Position 13134: 0.003526003461653223
Position 2332: 0.0033415049239542303
Position 3247: 0.003264914593141704
Position 8127: 0.0031352713570080193
Position 560: 0.0031304742958958866
Position 2080: 0.00295909808251832
Position 6055: 0.0027887824586066427
Position 13728: 0.002727316438521822
Position 6116: 0.0025671294771168296
Position 10578: 0.0024548412673565
Position 5098: 0.002070594853002401
Position 1027: 0.0019552531244122645
Position 14778: 0.0018011288397592768
Position 71: 0.0017513907621422853
Position 1342: 0.0016844709729751616
Position 5757: 0.0016008741014400642
Position 3216: 0.0014329443298626043
Position 5669: 0.0014033963065744114
Position 9901: 0.001398954363187438
Position 9478: 0.0013919732593791377
Position 8200: 0.0013263871219774414
Position 6178: 0.0013230394479995054
Position 5543: 0.0012664757321531684
Position 401: 0.0011801679319990183
Position 3080: 0.001149640956369611
Position 313: 0.0011489806147992026
Position 8212: 0.0010817581583563015
Position 3683: 0.0010643315611762745
Position 3750: 0.0010547314267395152
Position 1558: 0.0010311335689993052
