Gene = PP2D1
index = 1056
Annotated 5SS: [  281 11301]
Annotated 3SS: [10233 26147]
SMsplice 5SS: [242]
SMsplice 3SS: [26387]
top_k =  1000
Partition function (log Z): -17.194681323461605

Sorted 5' Splice Sites (High to Low Probability):
Position 242: 0.710059138631574
Position 281: 0.26172922617912764
Position 1867: 0.1341372761465383
Position 2994: 0.09632933600745178
Position 8120: 0.05287655534822693
Position 7484: 0.03466076046407021
Position 29: 0.030300424826474853
Position 486: 0.018085710255737575
Position 3129: 0.011132685938407076
Position 3909: 0.008257846349309728
Position 3704: 0.006722316297731597
Position 1818: 0.005736401006711201
Position 5298: 0.005496024215158137
Position 6797: 0.004825180925229092
Position 5300: 0.0023107635362075696
Position 8848: 0.0021925917492660613
Position 52: 0.002122096533105145
Position 1814: 0.0016422952970310055
Position 1232: 0.0016181537267537438
Position 10379: 0.0012424237400521358
Position 3554: 0.001234912607185435
Position 4499: 0.0012083968511795947
Position 1484: 0.0011970687223991782
Position 10346: 0.001073211469238109
Position 7641: 0.0009291808311044646
Position 940: 0.0009105805220649608
Position 5308: 0.0008728806788917069
Position 93: 0.0008504258438244618
Position 5306: 0.0007855847618856428
Position 5310: 0.000748721839618455
Position 7102: 0.0007440107986836953
Position 5312: 0.0006986870145089495
Position 5304: 0.0006366599465584868
Position 5260: 0.0006143809076388992
Position 5314: 0.0006054161912251515
Position 1466: 0.0005887127725971869
Position 9111: 0.0005784388888673155
Position 5302: 0.0005726244205533393
Position 192: 0.00052815240746982
Position 5316: 0.0004984664911167132
Position 10208: 0.0004808229618442962
Position 1480: 0.0003992817979052945
Position 3546: 0.000335188662944317
Position 4410: 0.00032688074080504105
Position 6210: 0.0002728773828199573
Position 3013: 0.00026347982550188647
Position 5326: 0.0002484736847657792
Position 7019: 0.00023587428166795465
Position 4022: 0.0002050181469153076
Position 5328: 0.00018097766796596593
Position 973: 0.000145042488828408
Position 326: 0.00013119726101976117
Position 4824: 0.00010561675503230674
Position 2483: 0.00010010176433764211
Position 615: 8.572587348350786e-05
Position 609: 8.349648675698936e-05
Position 3131: 7.980273245904054e-05
Position 2797: 6.63936180338514e-05
Position 4780: 3.6894522224748264e-05
Position 1857: 3.5991222502548844e-05
Position 1845: 3.1053384165439974e-05
Position 2602: 2.9129904766459326e-05
Position 4279: 2.799884432033493e-05
Position 45: 2.6785784411795838e-05
Position 2610: 2.580672449973161e-05
Position 641: 2.47185539207974e-05
Position 6346: 2.4510100047469327e-05
Position 401: 2.200754743912077e-05
Position 5165: 2.194612797883e-05
Position 413: 2.0361130586327606e-05
Position 4969: 1.783942607544199e-05
Position 1747: 1.5826822484062296e-05
Position 750: 1.2595052276777244e-05
Position 1986: 1.2180447099726272e-05
Position 2593: 9.973850716717461e-06
Position 313: 9.071923340424388e-06
Position 777: 7.5176926522462605e-06
Position 1829: 7.431592561706544e-06
Position 2382: 7.359223355194294e-06
Position 695: 7.055917833881394e-06
Position 3706: 6.8429078248407655e-06
Position 1426: 6.559113338799969e-06
Position 3558: 5.891628112549471e-06
Position 913: 5.73602137031156e-06
Position 2004: 5.542725189018208e-06
Position 477: 5.527910156884224e-06
Position 729: 5.38246378724702e-06
Position 1717: 5.071816375463763e-06
Position 57: 4.7489992628250565e-06
Position 2498: 4.725466703325463e-06
Position 967: 4.24546005252179e-06
Position 3258: 3.820173890574811e-06
Position 2036: 3.8071702108161106e-06
Position 2978: 3.273108572233464e-06
Position 928: 2.9500272724530275e-06
Position 804: 2.2618122521434747e-06
Position 2157: 1.9385049444806043e-06
Position 880: 1.679116404065591e-06
Position 2242: 1.6128356550878222e-06
Position 3439: 1.5903688599999906e-06
Position 33: 1.381755743089815e-06
Position 2686: 1.3679420448207723e-06
Position 2450: 1.28331196539009e-06
Position 341: 8.352621473898373e-07
Position 882: 3.737490580784249e-07
Position 706: 2.92965346903517e-07
Position 1246: 1.1985135470085025e-07
Position 11: 9.203782317333918e-08
Position 60: 7.06806759368832e-08
Position 1303: 3.596400092580345e-08
Position 3185: 2.3564905283158223e-08
Position 391: 1.8216173081743234e-09
Position 686: 4.2471129686471595e-10
Position 399: 5.685198725175815e-11
Position 1259: 1.785534859721857e-11
Position 540: 6.681645786207018e-19
Position 550: 3.543197666366026e-23

Sorted 3' Splice Sites (High to Low Probability):
Position 18011: 0.1601594734129561
Position 7226: 0.15620279518898164
Position 2876: 0.1406993864529809
Position 10233: 0.0946667920735141
Position 372: 0.07453146031330331
Position 1746: 0.07360355149484131
Position 12105: 0.06290005913994774
Position 538: 0.03879500722811323
Position 3769: 0.03584334141235242
Position 1555: 0.033022395704914435
Position 5192: 0.033000430537484284
Position 16131: 0.031734110293092456
Position 10123: 0.028870498905767844
Position 7580: 0.027340113368277436
Position 11354: 0.026583631427366295
Position 10045: 0.025509125907454983
Position 7988: 0.02504292915701506
Position 4946: 0.022455860448803305
Position 8582: 0.021028418632849103
Position 15733: 0.020829424263379255
Position 8009: 0.020755813800972748
Position 17866: 0.01759780844603767
Position 4333: 0.01503990731397838
Position 1721: 0.013847156123316712
Position 3401: 0.013191189707410312
Position 7861: 0.010578416692957698
Position 3607: 0.010193562527364678
Position 8977: 0.009942235507536252
Position 10286: 0.009398594242104454
Position 2872: 0.008512112394096933
Position 1692: 0.00834652731093069
Position 147: 0.008153675195295366
Position 16381: 0.007397153892775161
Position 558: 0.006360351970310632
Position 1774: 0.006153846929110256
Position 7606: 0.0056714977239069805
Position 4564: 0.005395199133003002
Position 1697: 0.004916079337153783
