Gene = PHPT1
index = 1023
Annotated 5SS: [ 497 1044]
Annotated 3SS: [ 918 1660]
SMsplice 5SS: [497]
SMsplice 3SS: [1660]
top_k =  1000
Partition function (log Z): -8.89317088313648

Sorted 5' Splice Sites (High to Low Probability):
Position 497: 0.53703938231108
Position 399: 0.3426986400492719
Position 970: 0.2721057639989696
Position 1467: 0.26652272491361156
Position 1044: 0.2616870899232842
Position 1423: 0.05107298734639116
Position 1526: 0.03527923743835022
Position 480: 0.031384808796347134
Position 307: 0.015864764353212515
Position 203: 0.015567370333483219
Position 302: 0.013955416427912246
Position 1028: 0.013643441897455559
Position 1630: 0.011423991624288287
Position 196: 0.007708452420926621
Position 180: 0.004448135887592999
Position 1166: 0.0032232414889252657
Position 466: 0.003006037773985475
Position 1485: 0.002488693852537605
Position 1609: 0.002427292060734703
Position 1727: 0.0015756614552825527
Position 1711: 0.000842527766387837
Position 1530: 0.0005299163047689511
Position 1517: 0.0005277578800433285
Position 1242: 0.00037865824292394315
Position 662: 0.00037304046681626803
Position 679: 0.0003694856191816624
Position 822: 0.00019341377343191598
Position 1578: 0.0001749425194548222
Position 751: 0.00014625405457997312
Position 801: 0.00012602907418722342
Position 254: 0.00012393610024155526
Position 50: 0.00010841942424069156
Position 489: 0.00010015305056895244
Position 285: 6.610148772007825e-05
Position 403: 5.393875034037855e-05
Position 415: 3.730704888017667e-05
Position 938: 2.6715416409174138e-05
Position 1006: 1.679685278656897e-05
Position 122: 1.0782182022595147e-05
Position 1155: 9.00331152663364e-06
Position 976: 8.385455571044556e-06
Position 1082: 7.037616488553905e-06
Position 646: 4.043910081821072e-06
Position 343: 3.883603903501195e-06
Position 1352: 2.0249954085589214e-06
Position 188: 1.998757386955878e-06
Position 1026: 4.7063045204022943e-07
Position 370: 4.5747398776875936e-07
Position 725: 4.3823755948617825e-07
Position 936: 4.048399524335007e-07
Position 697: 1.4229272572967687e-07
Position 84: 1.0209310046284853e-07
Position 780: 6.238206077670188e-08
Position 733: 4.6687926544745044e-08
Position 257: 4.348655096644514e-08
Position 622: 1.4947616731497868e-08
Position 41: 1.2473886339232424e-10
Position 7: 6.627333259744074e-11
Position 974: 4.408223238196525e-12
Position 391: 1.5187924413688414e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1346: 0.4274188307416883
Position 1660: 0.37086234121028533
Position 918: 0.29099360349407355
Position 1828: 0.22866929768807867
Position 878: 0.2096934033495744
Position 1544: 0.09248582943245498
Position 1411: 0.046337103123570866
Position 661: 0.04383316923420124
Position 1445: 0.02780775161746003
Position 399: 0.01587987154070733
Position 722: 0.014707567764396207
Position 1190: 0.013445408872843158
Position 1164: 0.012189590897499688
Position 1408: 0.010060348459634659
Position 725: 0.009575580963903712
Position 1312: 0.008701172359810811
Position 786: 0.00802653091017031
Position 1004: 0.005328937774599499
Position 1678: 0.004618520921199701
Position 269: 0.004309894912677522
Position 1855: 0.004256904786660641
Position 841: 0.00419742633744219
Position 1323: 0.00364790565035004
Position 887: 0.003340309708331708
Position 1075: 0.0033190546842059303
Position 1132: 0.0030308919647440936
Position 1784: 0.0023981029599797737
Position 672: 0.0023090737729631475
Position 1260: 0.0019772999121199565
Position 1629: 0.0019207657339744117
Position 858: 0.0017643085754412504
Position 1880: 0.0016795459055433813
Position 451: 0.0015838050380015214
Position 1602: 0.0015098014046278998
Position 1787: 0.0013412263919885697
Position 285: 0.0013362510168469055
Position 1054: 0.001131342052981502
Position 1348: 0.0010725974159138112
Position 1499: 0.0010150639385277048
Position 1893: 0.0009060938449173421
Position 953: 0.000894428498124833
Position 936: 0.00089168214797744
Position 900: 0.0008563912819444843
Position 1295: 0.0006382067030129251
Position 1352: 0.0006214311282756991
Position 625: 0.0005750807523725171
Position 1222: 0.0005453812124914343
Position 816: 0.0004694721519118026
Position 1622: 0.00042258457521830625
Position 956: 0.0004119796513166616
Position 646: 0.0004050600087590537
Position 1374: 0.00027843515641527705
Position 1176: 0.00022758973142690298
Position 1006: 0.00021707529456408664
Position 1466: 0.0001929934510532042
Position 733: 0.0001735561036522403
Position 693: 0.0001442421791939663
Position 1082: 0.00011794878616792945
