Gene = WRAP73
index = 1574
Annotated 5SS: [  143  2666  3408 11324 13079 14130 14914 15077 16676 17861 18608]
Annotated 3SS: [ 2512  3290 11250 12974 14042 14778 14998 16569 17734 18415 18955]
SMsplice 5SS: [  143  2666  3408  8982 11324 13079 15077 16676 17861 18608]
SMsplice 3SS: [ 2512  3290  8827 11250 12974 14998 16569 17734 18415 18955]
top_k =  1000
Partition function (log Z): 19.48001360205518

Sorted 5' Splice Sites (High to Low Probability):
Position 13079: 0.9967669315561919
Position 11324: 0.9874301871754132
Position 3408: 0.9683471418127558
Position 2666: 0.968065457378283
Position 16676: 0.866231232846953
Position 15077: 0.8351208353347817
Position 17861: 0.7820498635890362
Position 18608: 0.7709152394845663
Position 8982: 0.5667855253180396
Position 14914: 0.529891032921232
Position 8559: 0.44772144576949724
Position 15776: 0.3998875577826957
Position 14130: 0.36420941620820757
Position 143: 0.3544766669621882
Position 4234: 0.2620726188888666
Position 14146: 0.25758442488746663
Position 18051: 0.25350528086608287
Position 1591: 0.22532647339649914
Position 6993: 0.19955164784152202
Position 12111: 0.18323568428850526
Position 7185: 0.1530766592629248
Position 252: 0.1119273094633188
Position 12562: 0.10687838868785395
Position 1276: 0.10685304847160522
Position 286: 0.09820762133852277
Position 16867: 0.09615948602946248
Position 6976: 0.08617324376836677
Position 666: 0.08531954997349527
Position 13621: 0.084487688552221
Position 269: 0.0813571640223152
Position 586: 0.0788336463798614
Position 768: 0.07335077842770006
Position 17880: 0.06730987163126044
Position 329: 0.06300282169854134
Position 8571: 0.061547118019965354
Position 495: 0.06100547431355249
Position 17681: 0.05616542942707376
Position 18595: 0.05607118548707051
Position 17519: 0.052446739547325545
Position 14723: 0.05234148622840683
Position 8971: 0.044804470776880295
Position 3091: 0.04473520295248835
Position 14999: 0.04207863051339484
Position 389: 0.04189878480362013
Position 11103: 0.03891635135331125
Position 6503: 0.032526430292652446
Position 525: 0.030464207460633382
Position 406: 0.028847067646851122
Position 9191: 0.02141205319906001
Position 4230: 0.021231654914155244
Position 1521: 0.01902249975364373
Position 16076: 0.01698797586856002
Position 9000: 0.014923672695145569
Position 5453: 0.01428570283533175
Position 483: 0.01383500244175278
Position 17245: 0.013516957626655533
