Gene = NUDT1
index = 971
Annotated 5SS: [  35 2505 7781]
Annotated 3SS: [2340 7634 8606]
SMsplice 5SS: [  35 2505 2740 7781 8006]
SMsplice 3SS: [2340 2650 7634 7911 8606]
top_k =  1000
Partition function (log Z): 1.8166273864499263

Sorted 5' Splice Sites (High to Low Probability):
Position 7781: 0.9922598774052548
Position 2505: 0.9741878476170295
Position 35: 0.8957167250670699
Position 2740: 0.5520822768679368
Position 8006: 0.47090291685421176
Position 2726: 0.2667635330936451
Position 1243: 0.18440682287365712
Position 7471: 0.11153250962152622
Position 8077: 0.10371970528670589
Position 3056: 0.09947333204962053
Position 3302: 0.09940040898289093
Position 754: 0.0893332253864929
Position 3827: 0.07433210451658483
Position 3769: 0.072353580813678
Position 1720: 0.07171329832683848
Position 2089: 0.06890916183599385
Position 1320: 0.05718549261780174
Position 3128: 0.05537778519527358
Position 3291: 0.053869654277785575
Position 6005: 0.05334842871380491
Position 4015: 0.04585398541277401
Position 827: 0.030746890181493194
Position 2751: 0.02584744034471406
Position 3898: 0.023635248858124302
Position 7681: 0.019093914780392324
Position 219: 0.014159285154995012
Position 3594: 0.013163316305489363
Position 3240: 0.0089855061984075
Position 2520: 0.00891312266853473
Position 180: 0.00856521347252226
Position 1748: 0.008160660683960897
Position 2733: 0.007670997287140811
Position 7259: 0.00731448206100656
Position 6148: 0.007129643595936445
Position 3283: 0.006788725914119269
Position 71: 0.006499550319987655
Position 1260: 0.0059408910572752716
Position 6302: 0.005606266529137534
Position 1757: 0.004777025739927419
Position 349: 0.0036797724526777984
Position 1866: 0.003473647490192179
Position 1752: 0.003464334993061937
Position 5655: 0.00330661234168283
Position 4083: 0.003088026458135951
Position 2043: 0.0027779015612767926
Position 8071: 0.002732150920089661
Position 8037: 0.0026050341278092692
Position 1728: 0.0025017088833567728
Position 2999: 0.0018013165986804263
Position 3825: 0.001746769413594579
Position 5187: 0.0016965891028537534
Position 8197: 0.001659599533411347
Position 336: 0.0016338654798951043
Position 270: 0.0015333397233193405
Position 562: 0.0014738183888299762
Position 8713: 0.0013171186069320087
Position 2770: 0.0012835982958573086
Position 1086: 0.0012607411417144977
Position 629: 0.0012222516995637333
Position 1713: 0.0011915497671501222
Position 765: 0.0011363646929237138
Position 7235: 0.0010796837532846676
Position 430: 0.0010509850357861164
Position 1410: 0.0009174558287399002
Position 3499: 0.0009074823127267436
Position 6256: 0.0008882188032861347
Position 3104: 0.0007768161351453441
Position 6024: 0.000740919087818051
Position 29: 0.0005869171983290597
Position 931: 0.0005659862484238922
Position 693: 0.0005334574002291303
Position 7958: 0.0005206494418416928
Position 3860: 0.0005086208701944276
Position 4264: 0.0004557016229549591
Position 8516: 0.0004175007691533339
Position 1106: 0.0003877908139749938
Position 1690: 0.0003516874724031271
Position 3775: 0.0003444088708399522
Position 921: 0.0002682154481021962
Position 3094: 0.00018697113552384401
Position 4258: 0.0001773381318669697
Position 325: 0.0001626484049913258
Position 927: 0.0001504774620347489
Position 8730: 0.00012544562783551
Position 1264: 0.00012507200168649748
Position 2797: 0.00011955465844265171
Position 68: 0.00011902521600261443
Position 1218: 0.00011333392478134751
Position 1345: 7.650115834744451e-05
Position 1293: 7.339370420553494e-05
Position 2735: 5.871196205455766e-05
Position 65: 5.2835906098943995e-05
Position 2445: 4.7794910319838536e-05
Position 1568: 3.289627554223233e-05
Position 608: 3.199769078003388e-05
Position 2565: 3.0785789825922205e-05
Position 2380: 2.9022675488969793e-05
Position 454: 2.375077529808839e-05
Position 633: 2.251920693546509e-05
Position 619: 1.9730051765712077e-05
Position 7701: 1.8738362982714574e-05
Position 642: 1.7980261868086698e-05
Position 906: 1.6021017980182343e-05
Position 8055: 1.582242248474119e-05
Position 2867: 1.5271297363121797e-05
Position 2757: 1.1275267247736854e-05
Position 2778: 1.1051925920214881e-05
Position 2775: 1.0996656244274679e-05
Position 718: 1.0865198863441055e-05
Position 467: 8.38488461635282e-06
Position 1487: 7.727232023800835e-06
Position 568: 3.835840563668552e-06
Position 998: 3.474488190216792e-06
Position 703: 3.3357956987564154e-06
Position 967: 2.5296420747975893e-06
Position 351: 2.0243980199300296e-06
Position 819: 1.9837516795075562e-06
Position 969: 1.5479985506785008e-06
Position 416: 1.1661691465505327e-06
Position 7821: 1.059949308935361e-06
Position 600: 9.002230030801918e-07
Position 598: 7.942424284227115e-07
Position 933: 4.041220977183997e-07
Position 483: 2.703502594333353e-07
Position 897: 1.9909828234313569e-07
Position 1176: 1.8676097578511103e-07
Position 323: 1.312476740729166e-07
Position 554: 8.88938407027465e-08
Position 381: 7.850931606156107e-08
Position 552: 7.162917250075941e-08
Position 8032: 1.3466404351065875e-08
Position 410: 5.6255983616184726e-09
Position 438: 3.880041219159018e-09
Position 2066: 2.8455273478709844e-10
Position 813: 4.263379719474331e-11
Position 299: 1.7397922730840643e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 7634: 0.9988220609456467
Position 2340: 0.9185568351344189
Position 7911: 0.7266207997059863
Position 2650: 0.7012883189700513
Position 8606: 0.4732984790215514
Position 8629: 0.2926539442732589
Position 3713: 0.17281347738941472
Position 2595: 0.13467649111488136
Position 2896: 0.1207639474261661
Position 3127: 0.09772346483282111
Position 1189: 0.09419173386885443
Position 1146: 0.08596182132661798
Position 7412: 0.07648515586198927
Position 3054: 0.06490603244048179
Position 702: 0.05747774610949988
Position 2394: 0.04756970840583525
Position 1614: 0.047001779822378874
Position 1085: 0.04665196130053469
Position 5802: 0.044925437164331485
Position 7380: 0.0353699079230307
Position 1611: 0.034968129065792566
Position 1956: 0.025846678882642856
Position 3680: 0.023027919230519972
Position 8123: 0.015271772745958525
Position 7876: 0.014564353116601283
Position 7747: 0.013170956727818182
Position 8670: 0.011751409505380742
Position 2962: 0.011694116954121508
Position 8695: 0.011587961062477874
Position 1820: 0.010589354212916163
Position 2256: 0.010332996422527196
Position 6055: 0.010316774500915135
Position 1993: 0.009988177957448984
Position 1099: 0.008344378293535477
Position 3376: 0.008183485524218614
Position 1597: 0.008079825159859732
Position 8256: 0.007548015943107774
Position 2861: 0.007507923643674915
Position 3857: 0.007382102621598489
Position 2689: 0.007074813107681621
Position 3804: 0.006746972700514976
Position 2657: 0.0065827302305114755
Position 1009: 0.006399669246899158
Position 450: 0.006077808888208652
Position 1996: 0.005470249324303685
Position 7090: 0.005153502326913758
Position 5811: 0.004657324384315687
Position 3922: 0.004603940667809077
Position 3123: 0.004323502608609874
Position 1903: 0.004273825432393959
Position 1586: 0.004152986697339515
Position 8419: 0.004110614552794907
Position 1775: 0.0041080995851499385
Position 2347: 0.004082760358747684
Position 3974: 0.00407563511607919
Position 3417: 0.0038696086999870133
Position 8280: 0.0038592735483695597
Position 2841: 0.0036968420258876446
Position 3091: 0.003590224684880244
Position 2940: 0.003490477982346186
Position 5785: 0.003410639790602495
Position 6226: 0.003307354427444976
Position 3240: 0.003138408777051766
Position 5279: 0.0027514510280024864
Position 3521: 0.002679257516037343
Position 8580: 0.002491707270888729
Position 7870: 0.0024041511868935525
Position 8095: 0.0021769904741033115
Position 2152: 0.002118384164956496
Position 1640: 0.002036122964969436
Position 1242: 0.002031982628787206
Position 2366: 0.001941302609901399
Position 8422: 0.001882181005702976
Position 6939: 0.0018745382393934092
Position 8698: 0.0018091373105787478
Position 8650: 0.0017529549192893646
Position 3267: 0.0017368899628661847
Position 5110: 0.001696589102853752
Position 403: 0.0014959311734967292
Position 3184: 0.0014754624436555998
Position 677: 0.001368676430901404
Position 7129: 0.0013661252479840564
Position 3577: 0.00135933589897509
Position 2013: 0.0010997082664136104
Position 5735: 0.0010928645691447966
Position 2615: 0.0010344436139612181
Position 2019: 0.0010158737324373584
Position 1923: 0.0009007674973289683
Position 8638: 0.0008624108215144622
Position 7917: 0.00084544224987079
Position 7751: 0.0008100482029993852
Position 2066: 0.0007742707584438245
Position 3017: 0.0007529854587139149
Position 8067: 0.0007400966338099546
Position 2966: 0.0007052003813757242
Position 4065: 0.0006330397548219284
Position 3945: 0.0005947799259081582
Position 1875: 0.0005907493880051709
Position 7951: 0.000568396960976188
Position 2042: 0.000560310999627153
Position 5257: 0.0005551613136803416
Position 8806: 0.0005524835628667323
Position 7845: 0.0005396824101113493
Position 1522: 0.0005370813156775937
Position 8809: 0.0005303953075014463
Position 1846: 0.0004930629281953019
Position 8499: 0.0004181367412873781
Position 3455: 0.00041628036956064174
Position 8826: 0.00038264045346900476
Position 682: 0.0003823576944559771
Position 2976: 0.0003792750085128377
Position 8556: 0.0003613438731265073
Position 619: 0.0003569704135142528
Position 312: 0.0003442098303056178
Position 3131: 0.0003404243764818822
Position 2424: 0.000328565071012409
Position 8055: 0.0003157186350107248
Position 733: 0.0003147310196503258
Position 7887: 0.00031075776713706063
Position 552: 0.0002959721795736662
Position 2400: 0.00028783758443798535
Position 8354: 0.00025313718753777807
Position 1719: 0.00024054921640592877
Position 960: 0.0002395819403864037
Position 2669: 0.00023405348835122048
Position 1700: 0.0002190420651570335
Position 2624: 0.0002185350244409382
Position 906: 0.0002153496354889854
Position 624: 0.00021187571836836104
Position 7550: 0.0002064837066687896
Position 8101: 0.00020642419214084534
Position 2636: 0.00020030737937938792
Position 2662: 0.00017839483480653451
Position 7644: 0.0001760593356131151
Position 8036: 0.0001665173556377623
Position 1678: 0.00016573021791776405
Position 7958: 0.0001558384833828271
Position 1856: 0.00015431984104078032
Position 1778: 0.00015137586769575718
Position 3545: 0.0001452511233099038
Position 318: 0.00013343748914064376
Position 2901: 0.00013235413299400679
Position 1065: 0.00013068992522100769
Position 8330: 0.00012680527453110988
Position 1563: 0.000126138762804231
Position 575: 0.00012583870589457795
Position 1209: 0.00012181214712702384
Position 726: 0.00011568121561497378
Position 8722: 0.00011465238058195285
Position 1437: 0.000113903785727258
Position 7961: 0.00011123116261840819
Position 8513: 0.00010479790535851866
Position 8790: 0.00010109952803719435
Position 2118: 0.00010008552839046292
