Gene = XPC
index = 1576
Annotated 5SS: [  318  5917  8346 10527 11615 13356 13971 19043 20773 22449 26449 29970
 30222 30876 31494]
Annotated 3SS: [ 5720  8232 10402 11529 13197 13849 18952 19890 22287 26366 29834 30051
 30781 31403 32623]
SMsplice 5SS: [  175  5917  6102  8346 10527 11615 13356 13971 19043 22449 24905 26449
 28326 29970 30222 30876 31494]
SMsplice 3SS: [ 5720  6042  8232 10402 11508 13197 13849 18952 22287 24749 26366 28140
 29834 30095 30781 31403 33169]
top_k =  1000
Partition function (log Z): 29.634407937789156

Sorted 5' Splice Sites (High to Low Probability):
Position 30876: 0.9986938774586891
Position 13971: 0.9914333336838504
Position 29970: 0.9688590278439793
Position 8346: 0.9571129423626242
Position 13356: 0.9547986847439588
Position 11615: 0.9439170572371263
Position 26449: 0.9189647052611019
Position 22449: 0.8968272783438169
Position 5917: 0.8847114152388716
Position 30222: 0.8326494852167206
Position 31494: 0.8266373969119545
Position 10527: 0.8252802854771191
Position 19043: 0.6998832121178268
Position 6102: 0.5041133604082114
Position 28326: 0.4819009750511546
Position 24905: 0.41066832628532807
Position 31225: 0.39549514459588303
Position 19048: 0.29866584051874795
Position 175: 0.29138393983655925
Position 318: 0.28551235312358647
Position 11274: 0.2559883689888925
Position 16175: 0.24555425751889753
Position 23863: 0.24484174142293968
Position 68: 0.2433207017507656
Position 21911: 0.22825599032278773
Position 26159: 0.215853043287811
Position 26974: 0.2069346537332245
Position 25006: 0.20172429688555218
Position 6058: 0.1996583755052079
Position 17183: 0.1945528385134287
Position 16115: 0.18930586477994857
Position 31923: 0.18514203947176733
Position 18584: 0.16810847279128147
Position 359: 0.16655232902103273
Position 22137: 0.16607006589731702
Position 3239: 0.15283624006820984
Position 31531: 0.14873125961079037
Position 18588: 0.14863393128685984
Position 30517: 0.13883167076640857
Position 20773: 0.13482003532205514
Position 28253: 0.12869576565979296
Position 20450: 0.1261259826389111
Position 25010: 0.12411817878439875
Position 30226: 0.09416217786598835
