Gene = SRPRB
index = 1334
Annotated 5SS: [  112 21970 22671 23791 27167 31694 32900]
Annotated 3SS: [21642 22575 23712 27083 31556 32844 35519]
SMsplice 5SS: [  112  9415 13649 17333 22671 23791 27167 29119 32900]
SMsplice 3SS: [ 9321 13541 17094 22575 23712 27083 29015 32844 35519]
top_k =  1000
Partition function (log Z): -0.38214562476382996

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.909182132183965
Position 32900: 0.8843526016190226
Position 22671: 0.8535400709759635
Position 27167: 0.7690962302517781
Position 13649: 0.7645407410498845
Position 17333: 0.7612108995463239
Position 9415: 0.721035257917408
Position 29119: 0.6953353261217625
Position 23791: 0.5795161314828559
Position 28332: 0.5133477014970289
Position 31694: 0.4702730098466102
Position 23883: 0.3543178056222575
Position 17637: 0.3507702423256804
Position 5026: 0.30444114667104166
Position 29269: 0.30050979370035313
Position 13622: 0.19529761069864285
Position 5031: 0.17686202291702638
Position 11457: 0.14650551756983166
Position 35788: 0.13588735857319578
Position 10686: 0.1267076708757593
Position 9836: 0.12461640870105024
Position 33912: 0.1244340020928668
Position 26991: 0.1125478772897652
Position 8588: 0.09887247018748595
Position 35312: 0.08415578584849148
Position 29396: 0.07995471050170719
Position 570: 0.07095859289750675
Position 12233: 0.07040098626959201
Position 32951: 0.06668446856252012
Position 8432: 0.06454597736543977
Position 28542: 0.04715014061411128
Position 206: 0.043677060977496636
Position 35307: 0.04177662560246449
Position 9179: 0.039922294501684163
Position 16360: 0.0364036678476497
Position 5254: 0.03530006074362044
Position 25681: 0.031090629975700255
Position 25533: 0.030824169772587433
Position 11477: 0.03055140233631428
Position 3950: 0.027609367798626914
Position 4546: 0.026044242229192036
Position 31643: 0.023628354878562498
Position 29854: 0.023434843636353554
Position 26645: 0.02235727117087644
Position 3628: 0.021869965702328905
Position 5499: 0.019001178418420542
Position 33485: 0.018828921593128087
Position 8630: 0.017004174318594883
Position 7408: 0.01668330034936611
Position 379: 0.016681703823538882
Position 2843: 0.016496661906319196
Position 1006: 0.016486507314742407
Position 17568: 0.015444331003902991
Position 35422: 0.014111814990577488
Position 2151: 0.010154387821417565
Position 6878: 0.009807012734524433
Position 736: 0.009025061234392536
Position 32527: 0.009014582236200086
Position 9489: 0.008995604355988047
Position 31600: 0.008960401679154158
Position 34097: 0.00895709470987504
Position 25275: 0.008864998530449244
Position 33635: 0.008811860721073058
Position 139: 0.00872734085642275
Position 31649: 0.006785206013136011
Position 26195: 0.006089211748895415
Position 4677: 0.00553439103137584
Position 11413: 0.00496671187245398
Position 2020: 0.0048964460673173
Position 34995: 0.004668248159004745
Position 34398: 0.00417707617187708
Position 3014: 0.0038371866878139796
Position 29093: 0.003565953726448038
Position 2860: 0.0033100883148381673
Position 33230: 0.003014092670650342
Position 34126: 0.002763157574652239
Position 33602: 0.0025641295847932516
Position 34077: 0.0022907978145165577
Position 1636: 0.002175988727500844
Position 34707: 0.0020431057076480863
Position 4685: 0.0019678549868686925
Position 35820: 0.0018669133258848972
Position 28449: 0.0018181561353665947
Position 33275: 0.0017000720021796607
Position 144: 0.0016109972003019246
Position 1182: 0.001487618053775046
