Gene = CTC-534A2.2
index = 418
Annotated 5SS: [342]
Annotated 3SS: [4702]
SMsplice 5SS: [342]
SMsplice 3SS: [3142]
top_k =  1000
Partition function (log Z): -10.766102863797888

Sorted 5' Splice Sites (High to Low Probability):
Position 342: 0.7622922976524465
Position 163: 0.21804290465661266
Position 3224: 0.08647641924790245
Position 899: 0.07662103683244399
Position 5780: 0.02445521606140107
Position 1442: 0.017995082531831307
Position 546: 0.016604577859212856
Position 189: 0.015305990336531551
Position 656: 0.01096875942392024
Position 3506: 0.0037581826894952067
Position 148: 0.0033542487810258536
Position 633: 0.003092653410136018
Position 4857: 0.002925729526074362
Position 2807: 0.0026952827933052976
Position 4552: 0.002277131417134713
Position 182: 0.0021204018158192694
Position 4532: 0.0017312840629868744
Position 3107: 0.0010960940044833938
Position 702: 0.0010821836837439321
Position 266: 0.0010766859590960593
Position 836: 0.0008870217478008656
Position 222: 0.0008007220518624766
Position 2234: 0.000800351105705312
Position 273: 0.0004087419208752295
Position 3103: 0.0003096274393406357
Position 1315: 0.00028888996458021384
Position 302: 0.00024226932849472706
Position 1649: 0.00023467279815586324
Position 76: 0.0001978561139805673
Position 136: 0.00015595075900414948
Position 5421: 0.00014194985477155155
Position 3193: 0.000138903296060278
Position 5568: 0.000102504450724644
Position 413: 0.00010176677434980887
Position 1131: 9.835319204096567e-05
Position 4835: 9.522639983202262e-05
Position 2732: 8.370549106556951e-05
Position 1758: 7.004360339801873e-05
Position 726: 6.846756297313363e-05
Position 2801: 6.0363682934065125e-05
Position 132: 4.06356604002679e-05
Position 509: 1.8256758146561863e-05
Position 908: 1.5348649609685298e-05
Position 3001: 1.2839584183927075e-05
Position 1682: 1.1496353205506844e-05
Position 748: 1.0554225026684362e-05
Position 246: 8.324681355964205e-06
Position 2630: 7.929300379940657e-06
Position 775: 7.3394431908563645e-06
Position 2352: 6.3768229451059174e-06
Position 1747: 5.696852810691615e-06
Position 1451: 5.076985944771132e-06
Position 1821: 4.847314160769943e-06
Position 2309: 4.742369608003406e-06
Position 1080: 4.098276657000069e-06
Position 52: 3.5786796782199337e-06
Position 54: 2.6715265468604424e-06
Position 10: 2.6219562166194276e-06
Position 26: 2.4521687748066642e-06
Position 277: 1.7451835515079277e-06
Position 375: 9.061573296352577e-07
Position 284: 6.860967565352246e-07
Position 290: 6.333947061135887e-07
Position 671: 6.208744217817029e-07
Position 3205: 5.975699519576049e-07
Position 621: 5.449550188078901e-07
Position 29: 5.202296231643067e-07
Position 205: 5.1865406672472e-07
Position 117: 4.788240747631003e-07
Position 607: 4.595214708139475e-07
Position 735: 2.8531937858859826e-07
Position 678: 2.5908134473422025e-07
Position 440: 1.0271371387416575e-07
Position 15: 7.792722109700096e-08
Position 44: 3.9405393003022376e-08
Position 851: 7.026432195974102e-09
Position 229: 6.2621782498663465e-09
Position 193: 4.216826564568493e-09
Position 903: 1.7326427683431354e-09
Position 255: 9.13221813899802e-10
Position 91: 7.995105792745771e-10
Position 882: 6.052833806166822e-10
Position 459: 2.773127872409346e-10
Position 840: 1.0494179324935959e-10
Position 567: 6.819622325860456e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3142: 0.22290461838145118
Position 3317: 0.13274404923713487
Position 6104: 0.12116182879571488
Position 578: 0.07670558044468512
Position 3284: 0.06804273994414535
Position 3715: 0.0632022122457995
Position 5319: 0.061319663888977825
Position 4702: 0.045901746679008516
Position 508: 0.04029132318283646
Position 4763: 0.03824509261708524
Position 528: 0.03627991947166275
Position 5679: 0.03580992134569199
Position 269: 0.024468005890155676
Position 246: 0.0227580565719242
Position 4654: 0.02086814626817388
Position 5568: 0.02069162511721585
Position 4392: 0.01836846135480514
Position 440: 0.0171039260448468
Position 1547: 0.015444475875783554
Position 474: 0.010432634696103548
Position 960: 0.01027418043457653
Position 1014: 0.010170019507765568
Position 5652: 0.008549859593009423
Position 1568: 0.00798259314199625
Position 795: 0.007572461596475598
Position 1295: 0.007295372934387554
Position 6017: 0.006466115811788576
Position 2604: 0.006457303556512318
Position 4052: 0.005763415563607821
Position 5903: 0.0052692054800753466
Position 4048: 0.005170140541705561
Position 4892: 0.004028943640877948
Position 5734: 0.003899504650719942
