Gene = ATP5F1
index = 111
Annotated 5SS: [  646   938  5421  7314  7820 10701]
Annotated 3SS: [  900  5274  7149  7693 10520 11980]
SMsplice 5SS: [  646  5421  7314 10701]
SMsplice 3SS: [ 5306  7149 10520 11980]
top_k =  1000
Partition function (log Z): -3.4097942811955075

Sorted 5' Splice Sites (High to Low Probability):
Position 7314: 0.9659545338350417
Position 5421: 0.9470251552274321
Position 10701: 0.8010588222300933
Position 646: 0.6814652895541704
Position 7820: 0.422358998530104
Position 938: 0.4061833570759607
Position 9241: 0.16118648418191983
Position 6074: 0.11772947712856618
Position 126: 0.10769741170159272
Position 6086: 0.04988210595970915
Position 11750: 0.04928744123431531
Position 10181: 0.04907576114830816
Position 12055: 0.042366137046736425
Position 12061: 0.02890011800283338
Position 51: 0.02813785210527276
Position 9597: 0.02659618309257112
Position 14: 0.02574667456937866
Position 2621: 0.0246355287342504
Position 84: 0.024531282731769032
Position 10774: 0.022292365973361438
Position 6108: 0.015957130350987277
Position 308: 0.0138604350147064
Position 6877: 0.013845307529888794
Position 3205: 0.012054184380185943
Position 1144: 0.010950690700113447
Position 756: 0.0106785124193989
Position 1855: 0.010564455250746193
Position 11732: 0.01047302509913211
Position 807: 0.008966547629893433
Position 3974: 0.007002592011313622
Position 6411: 0.005943626088047767
Position 13664: 0.005848184494929034
Position 2601: 0.005837452630060203
Position 839: 0.0056126307757997885
Position 7364: 0.005465443851677058
Position 1783: 0.005334295824513131
Position 10716: 0.005021997035956329
Position 13482: 0.0049184994027281145
Position 5871: 0.004084385021753099
Position 1911: 0.003977925306748408
Position 5812: 0.003947748300887059
Position 3169: 0.0034378059528019996
Position 2094: 0.0033765521706665986
Position 11889: 0.0032980903226556627
Position 1935: 0.0030902061945170967
Position 519: 0.002973237276303342
Position 1023: 0.0029027445663922205
Position 4000: 0.002756875977619701
Position 10185: 0.002655282841846766
Position 653: 0.0025763422175296394
Position 5445: 0.002505884448402778
Position 3577: 0.00244981378343555
Position 10737: 0.0019640631731162516
Position 2066: 0.0019338857994145359
Position 1149: 0.001894134730479275
Position 2625: 0.0017287162104123244
Position 6051: 0.0017176155270426
Position 5617: 0.00166533343489938
Position 6069: 0.0016618901763218981
Position 4384: 0.0016289286270634786
Position 2762: 0.0015723355531758634
Position 11088: 0.0015622495972918702
Position 10481: 0.0015069364352857666
Position 12751: 0.001311925777197071
Position 12334: 0.0012866841016162599
Position 10904: 0.0012858177103909558
Position 12050: 0.0011407386845804935
Position 11205: 0.001138673331414367
Position 4045: 0.0011141566314431441
Position 13467: 0.0010316332946083068
Position 3126: 0.0009782734994758862
Position 11536: 0.0009398121145346133
Position 7248: 0.0009305925544009999
Position 7444: 0.0009060682470808322
Position 10720: 0.0008929302496034586
Position 11132: 0.0008431966339320628
Position 215: 0.000752832415467526
Position 10674: 0.0006980718655829133
Position 6636: 0.0006723874312289393
Position 12092: 0.000659908963640528
Position 10751: 0.0005762896393535872
Position 311: 0.000533548707185878
Position 9502: 0.0005219566907324836
Position 10826: 0.0004995655407187308
Position 5482: 0.00047208360947493074
Position 6028: 0.00037352717099042545
Position 6531: 0.00036614614192344384
Position 10630: 0.0003490488898569609
Position 13422: 0.0003183438459759011
Position 621: 0.0003143707813718431
Position 12815: 0.0002853999940565871
Position 10584: 0.00023205176596616294
Position 7246: 0.0002279701860392228
Position 8128: 0.00022253126548227886
Position 7239: 0.00022054932284149218
Position 9781: 0.00019891785020272501
Position 13444: 0.00017454424403033985
Position 5709: 0.00017006682302525683
Position 6560: 0.00013486412582254038
Position 480: 0.00012882576791771138
Position 7181: 0.00011152727467859221
Position 2252: 0.00011088388339832197
Position 1300: 0.00010415196022090736
Position 6832: 9.813166880159024e-05
Position 6182: 9.583952746003774e-05
Position 1844: 9.305040709358353e-05
Position 12199: 8.87672827528409e-05
Position 241: 8.664742179964993e-05
Position 5992: 8.011726093517091e-05
Position 5643: 7.972399210841305e-05
Position 8624: 7.777614757503154e-05
Position 944: 7.332836956282942e-05
Position 931: 5.898823423888268e-05
Position 5836: 5.496946608692242e-05
Position 6155: 5.044814037267908e-05
Position 5357: 4.446624308278274e-05
Position 765: 3.772392039880623e-05
Position 7206: 3.2256590717074984e-05
Position 2521: 3.1016629643682844e-05
Position 1658: 2.849058589539814e-05
Position 7254: 2.5579078995971216e-05
Position 3565: 2.4796323480461846e-05
Position 706: 2.37445109094977e-05
Position 618: 1.3106337516760804e-05
Position 220: 1.271965613680293e-05
Position 1387: 1.2318569733736554e-05
Position 1089: 1.173296703467121e-05
Position 492: 9.779823034420985e-06
Position 784: 9.688460874420076e-06
Position 779: 9.062681371074758e-06
Position 680: 8.618532332596353e-06
Position 55: 8.505301561165684e-06
Position 535: 7.1230619021997224e-06
Position 1259: 5.984721536956134e-06
Position 1507: 4.1028617730743384e-06
Position 403: 3.916738032785147e-06
Position 12185: 2.8903677766192432e-06
Position 1434: 2.7173957636515106e-06
Position 1235: 2.3508493812235857e-06
Position 1319: 2.2109507121961237e-06
Position 760: 2.1653521563787937e-06
Position 3306: 1.4217837968177635e-06
Position 1925: 1.2614773299817054e-06
Position 2859: 1.1724727016948533e-06
Position 753: 1.042983318445762e-06
Position 3217: 1.0268281644260431e-06
Position 820: 6.388147292514594e-07
Position 430: 5.522529618363858e-07
Position 564: 4.776102156459166e-07
Position 942: 3.5805086278612224e-07
Position 611: 6.467090718063841e-08
Position 149: 3.3276431525955925e-08
Position 7276: 2.998744928920535e-08
Position 3715: 7.39723879231465e-09
Position 599: 6.306353968608585e-11
Position 1173: 2.7543374175025293e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 7149: 0.8972241057958312
Position 11980: 0.8432954391152612
Position 5306: 0.8365946568265828
Position 10520: 0.43116042242062896
Position 10619: 0.3842700186759457
Position 7693: 0.23151524980565238
Position 900: 0.16698960563830112
Position 13564: 0.14562432921659368
Position 549: 0.13713593768141805
Position 9105: 0.10400315767931323
Position 5907: 0.0997922519907671
Position 5274: 0.08907083483055189
Position 7712: 0.08257153144992012
Position 7107: 0.07089177444573874
Position 7554: 0.06389000617969419
Position 11659: 0.05756152635633306
Position 9079: 0.05243721353200161
Position 5929: 0.04304145804727858
Position 5960: 0.03675027567187844
Position 7747: 0.03616478857775386
Position 10062: 0.033499367804453534
Position 2402: 0.029890141617449822
Position 11949: 0.02046408606351732
Position 11460: 0.018511280873166305
Position 9475: 0.01339728741199904
Position 9929: 0.012522056512821737
Position 10570: 0.011463789577596285
Position 10383: 0.010513564175130278
Position 1761: 0.0102490259637797
Position 1071: 0.009779278596085387
Position 1733: 0.009466244688247112
Position 3037: 0.008864702653404988
