Gene = PPOX
index = 1058
Annotated 5SS: [ 202  525  825 1077 1718 2167 2774 3311 3615 4110 4360 4540]
Annotated 3SS: [ 429  689  960 1584 2021 2582 3249 3495 3998 4209 4496 4623]
SMsplice 5SS: [ 202  525  825 1077 2167 2774 4360]
SMsplice 3SS: [ 429  689  944 2002 2582 4209 4496]
top_k =  1000
Partition function (log Z): 5.140777512349351

Sorted 5' Splice Sites (High to Low Probability):
Position 525: 0.9989268054324966
Position 4360: 0.8991151840933496
Position 825: 0.8898561422247011
Position 2167: 0.8117669420401893
Position 1077: 0.768526286468974
Position 202: 0.5079184477460182
Position 2774: 0.36963425237886577
Position 263: 0.31527961462846327
Position 4110: 0.3145335527576985
Position 1542: 0.25363164870542465
Position 2711: 0.24873362070158855
Position 338: 0.15030287727642522
Position 3615: 0.1279605192526518
Position 3311: 0.08276303390567458
Position 4052: 0.0780346438810725
Position 4540: 0.05766277854114781
Position 2661: 0.05591168843235157
Position 1718: 0.040166285371982836
Position 2703: 0.025802414353008434
Position 2532: 0.025405363898942983
Position 1298: 0.018309569152482403
Position 3128: 0.017904114238046755
Position 2735: 0.014382315792271224
Position 90: 0.008994698218021263
Position 854: 0.006810265682355854
Position 164: 0.00599305122969962
Position 25: 0.004529273995144132
Position 3774: 0.003908991546161828
Position 3175: 0.003338635901154906
Position 2093: 0.0027931356712469005
Position 4168: 0.002284237716202108
Position 4104: 0.0017459852446343302
Position 1029: 0.0016569573359775565
Position 3351: 0.0016428827006376887
Position 259: 0.0015758210903453783
Position 899: 0.0015208116063627943
Position 3379: 0.001420806450379902
Position 3250: 0.0013164800355107476
Position 4431: 0.0011510793362089638
Position 1433: 0.0010540025803404632
Position 50: 0.0010101527039455857
Position 2490: 0.0009756355882491614
Position 3452: 0.0009345092442559881
Position 2793: 0.0009198791548216973
Position 754: 0.00088693117309527
Position 1250: 0.0006895766996222332
Position 2380: 0.0006725890937500671
Position 709: 0.0006388299716970236
