Gene = SPRR2G
index = 1323
Annotated 5SS: [18]
Annotated 3SS: [737]
SMsplice 5SS: [ 18 574]
SMsplice 3SS: [511 737]
top_k =  1000
Partition function (log Z): -6.9327963443538865

Sorted 5' Splice Sites (High to Low Probability):
Position 18: 0.6843276507502001
Position 574: 0.5726825039982826
Position 149: 0.257041661737818
Position 388: 0.029930875298013644
Position 186: 0.024498677417177404
Position 606: 0.020665700213513504
Position 642: 0.007205470363988489
Position 76: 0.005353392929160481
Position 430: 0.004077403647727386
Position 581: 0.0038556046486444644
Position 235: 0.003446205668665296
Position 163: 0.0028066306302833768
Position 959: 0.0021571888782122716
Position 315: 0.001381032091682517
Position 590: 0.0010385725951377292
Position 170: 0.0007126832469716176
Position 627: 0.0006994370577340721
Position 140: 0.0006661481534273279
Position 723: 0.0005221263869492211
Position 977: 0.0002551858616419461
Position 322: 0.0002479554810362408
Position 851: 0.0002329988810089072
Position 595: 0.000200992273784475
Position 597: 0.0001454535199411849
Position 22: 0.00012257373821634033
Position 646: 0.0001215937383135575
Position 534: 9.799172383788003e-05
Position 59: 9.152446126340131e-05
Position 824: 8.805810411972076e-05
Position 807: 6.74489825772374e-05
Position 615: 5.3247870782855294e-05
Position 57: 5.0502149840098485e-05
Position 259: 4.212011909194866e-05
Position 65: 4.1260889681050194e-05
Position 254: 2.6227691097344894e-05
Position 670: 2.6201144399732445e-05
Position 1066: 7.697561432471342e-06
Position 328: 5.385976580743785e-06
Position 809: 3.6760483760518657e-06
Position 476: 3.306525181281316e-06
Position 838: 2.3444871177835164e-06
Position 425: 1.1022459266626736e-06
Position 300: 8.341937754181446e-07
Position 277: 1.435538937635884e-07
Position 203: 1.2488339420340948e-07
Position 90: 1.0095209756712448e-07
Position 456: 1.6568025737285887e-08
Position 718: 2.9300986607511775e-09
Position 727: 2.650573610912781e-09
Position 880: 3.0909137218314477e-10
Position 480: 7.919161708445868e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 737: 0.8233500180349544
Position 511: 0.3813141719732305
Position 470: 0.16708133629437127
Position 527: 0.06126237770469542
Position 121: 0.049666370955895205
Position 474: 0.040260323726612514
Position 695: 0.029111061995279866
Position 956: 0.016424552253591174
Position 1206: 0.0074589422211613675
Position 1041: 0.0066444396418887134
Position 230: 0.0049234628066413275
Position 914: 0.004439349950086011
Position 953: 0.004104526215714086
Position 1264: 0.0037401087997345987
Position 440: 0.003703491909788058
Position 1063: 0.003322790532183155
Position 487: 0.0029153311514688997
Position 395: 0.002810070588377142
Position 173: 0.0027283602021944226
Position 773: 0.0021723785105766252
Position 676: 0.001151806655717508
Position 362: 0.0009489219443381105
Position 81: 0.0009209421786426852
Position 824: 0.0006882872955365988
Position 776: 0.0004756423382105512
Position 1157: 0.00041032422740250416
Position 159: 0.0003782880905116633
Position 851: 0.00030543499199193184
Position 653: 0.0002479642765771996
Position 1117: 0.0002452005516567867
Position 770: 0.00022256080943400722
Position 890: 0.00015503522341458583
Position 1283: 0.00015274968526556146
Position 959: 0.00012925761809461577
Position 713: 0.00012806336070344106
Position 971: 0.00011883850036277002
Position 128: 0.00011840105533774816
Position 537: 9.233229342311965e-05
Position 1124: 8.425369639177142e-05
Position 999: 6.831229960218743e-05
Position 148: 4.3566075206063886e-05
Position 753: 3.9736215125408115e-05
Position 779: 3.6846898131054045e-05
Position 300: 3.649571286083875e-05
Position 408: 3.396617073861134e-05
Position 831: 3.2594387872197556e-05
Position 1069: 3.0460615478262302e-05
Position 328: 2.5126540084424343e-05
Position 235: 2.3668871686924422e-05
Position 370: 2.347575569937088e-05
Position 185: 2.301480905474607e-05
Position 989: 1.9018413833547352e-05
Position 1108: 1.7540435975338515e-05
Position 456: 1.7191288094616067e-05
Position 797: 1.6492314282009736e-05
Position 973: 1.389722312898779e-05
Position 131: 1.3384965991667554e-05
Position 550: 1.3274369207444835e-05
Position 747: 1.0638646066610807e-05
Position 1016: 1.049168212867952e-05
Position 1165: 8.55996341930919e-06
Position 1232: 5.343674421507039e-06
Position 248: 5.158220945381634e-06
Position 758: 5.058918777132249e-06
Position 413: 4.746704606189177e-06
Position 233: 3.7547614069945293e-06
Position 374: 3.628467017129252e-06
Position 1226: 3.4480739894890053e-06
Position 420: 3.309727353733177e-06
Position 788: 2.9342015888161044e-06
Position 203: 8.045340413868247e-07
Position 239: 2.4853431700136246e-07
Position 415: 1.9560679317197705e-07
Position 241: 1.9236802682608956e-07
Position 572: 1.717245663048397e-07
Position 139: 1.2042489578156697e-07
Position 193: 1.025835407410562e-07
Position 558: 9.839338737800171e-08
Position 554: 7.295065056794604e-08
Position 543: 6.018647288395524e-08
Position 545: 5.788043604218395e-08
Position 633: 7.704170124666212e-09
Position 565: 1.1969568129681151e-09
Position 595: 5.554904511193607e-10
