Gene = GOLIM4
index = 609
Annotated 5SS: [  877 47685 49026 51148 52597 54584 55190 59140 63456 66196 66753 68248
 71048 71450 85233]
Annotated 3SS: [47609 48975 51093 52445 54500 55105 58980 63122 65938 66672 68137 70879
 71380 85151 85556]
SMsplice 5SS: [   73 12198 22741 22976 47685 51148 52597 59140 66756 68248 70742 71048
 71450 85233]
SMsplice 3SS: [12079 22665 22854 47609 51093 52445 58980 66672 68137 70647 70879 71380
 85151 85556]
top_k =  1000
Partition function (log Z): -42.464175967027586

Sorted 5' Splice Sites (High to Low Probability):
Position 73: 0.9340810752106016
Position 877: 0.8366492224050699
Position 12198: 0.22706500186548553
Position 2646: 0.11631046781591199
Position 17417: 0.028852951140095312
Position 1264: 0.023877099715453456
Position 1004: 0.022631520551217726
Position 7008: 0.019940359288744873
Position 10965: 0.019845858289637672
Position 4579: 0.017704761257870707
Position 1081: 0.010163319465399704
Position 1932: 0.009784432940670846
Position 1729: 0.005323592793354811
Position 4741: 0.003061905003423944
Position 1835: 0.002819695743547746
Position 120: 0.0027594236846360384
Position 4326: 0.0026587213641516196
Position 414: 0.0022787868574098216
Position 5264: 0.0022026182794023293
Position 62: 0.0021609307966065105
Position 2364: 0.002087146562977586
Position 1638: 0.0018219904945711253
Position 10106: 0.0016089358476002354
Position 1131: 0.0014607736287584993
Position 89: 0.001140231038600681
Position 953: 0.0010953151735455685
Position 1205: 0.0010010998351233354
Position 1594: 0.0007853430185287966
Position 6049: 0.0007177374571768999
Position 2323: 0.0006132047070466089
Position 1874: 0.0005568096308800298
Position 3762: 0.0005241185044483379
Position 3334: 0.00037169279959558166
Position 66: 0.00034421876648791906
Position 4358: 0.00031626994370145394
Position 5698: 0.0003112162923341058
Position 2921: 0.00028650095084662314
Position 2914: 0.0002741936801670445
Position 4746: 0.00023746808833133707
Position 5495: 0.00023517896449648385
Position 2244: 0.00019150535429223977
Position 255: 7.11716746422152e-05
Position 222: 6.46098149795371e-05
Position 471: 5.8482400468738276e-05
Position 836: 5.717732075957846e-05
Position 351: 4.779272530133677e-05
Position 18: 4.298360638675646e-05
Position 266: 2.7933818041535764e-05
Position 77: 1.805994783181585e-05
Position 1139: 1.2640502432690907e-05
Position 216: 1.0431068786766124e-05
Position 1698: 9.711567371411786e-06
Position 1086: 7.425246659061665e-06
Position 1547: 7.322547466991711e-06
Position 4216: 5.465555877069014e-06
Position 825: 5.369252625345852e-06
Position 676: 4.940650095038749e-06
Position 496: 4.5319573438766155e-06
Position 135: 4.169727957568847e-06
Position 1287: 3.981991983744505e-06
Position 230: 3.662448268257355e-06
Position 274: 3.262157506872651e-06
Position 567: 2.614131767264879e-06
Position 1760: 2.416654937789344e-06
Position 124: 1.5439751222929852e-06
Position 758: 1.4148152102778062e-06
Position 1683: 1.3581515096722589e-06
Position 904: 1.2210263792416682e-06
Position 41: 8.893747272053285e-07
Position 1253: 8.806328451452422e-07
Position 997: 7.354662909650472e-07
Position 2176: 7.208660959354016e-07
Position 1383: 3.564785474994943e-07
Position 565: 3.1398985635657655e-07
Position 869: 2.956436538840165e-07
Position 854: 2.585973303111401e-07
Position 1035: 2.4807742881272416e-07
Position 2472: 2.091794417962205e-07
Position 1996: 1.943946123273506e-07
Position 301: 1.454754257131616e-07
Position 2029: 1.3717486302444854e-07
Position 969: 8.027028567611466e-08
Position 704: 7.920419777396386e-08
Position 1428: 3.741043074317299e-08
Position 1482: 3.482726280567682e-08
Position 592: 3.08706794629535e-08
Position 944: 1.81659930163222e-08
Position 140: 1.0306323956917615e-08
Position 1150: 2.3811347455349385e-09
Position 1248: 9.190825413925772e-10
Position 756: 2.924833807339686e-10
Position 269: 7.930191728341681e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 12079: 0.23575442987871573
Position 719: 0.22982160459859552
Position 734: 0.2138223896545096
Position 681: 0.19669820054831874
Position 18371: 0.144072169022823
Position 7121: 0.12560712677720304
Position 716: 0.11247320729431508
Position 10912: 0.1005389989640668
Position 2514: 0.09935447427471353
Position 17275: 0.07167673014785361
Position 10052: 0.06257862503465818
Position 14314: 0.05118046471739983
Position 992: 0.04367104186296927
Position 16850: 0.03780035322007938
Position 1078: 0.03230284385185896
Position 15254: 0.0312074665266156
Position 13650: 0.025977545294560173
Position 2883: 0.022751168535419166
Position 15657: 0.02202225862334352
Position 9084: 0.02015715639280026
Position 10746: 0.01982479701624337
Position 722: 0.019704466363833235
Position 6872: 0.01890652206972515
Position 1546: 0.018809993154130487
Position 4708: 0.018298028818786557
Position 12430: 0.015591350651806588
Position 10876: 0.014498806226213279
Position 10511: 0.013517077834245437
Position 10879: 0.012287052388186004
Position 1347: 0.011822649268899603
Position 4925: 0.011323269314652384
Position 14258: 0.01102282473864281
Position 800: 0.01088447346031405
Position 2561: 0.010349605144512004
Position 1831: 0.009402265230032738
Position 2710: 0.008715121783915479
Position 3239: 0.00828350375383144
Position 4449: 0.008188328353800402
Position 1459: 0.007875379857043665
Position 2363: 0.007868770995231356
Position 4766: 0.007789625332194317
Position 10319: 0.0071693294889899435
Position 14841: 0.006324079247028356
Position 7851: 0.0063237835220710005
Position 5588: 0.006225021871396965
Position 5733: 0.00619003355499954
Position 5077: 0.005504859235318294
Position 9931: 0.005474945442441061
Position 5766: 0.004535666358616286
Position 4068: 0.004432258949973456
Position 2961: 0.0042229139122276355
Position 2270: 0.00373753985605405
Position 2073: 0.0036604107673133632
Position 4409: 0.0036535069849742254
Position 9505: 0.0036240134616384273
Position 5895: 0.0034675273050728947
Position 13140: 0.0034487711997364307
Position 4357: 0.003433573127896145
Position 2042: 0.003381860835860359
Position 1604: 0.002480819583970327
Position 8490: 0.0024736739167357624
Position 5626: 0.002472270410702056
Position 1291: 0.0023882313848287108
Position 5380: 0.0023327198193764283
Position 4481: 0.002310073299075951
Position 9480: 0.0022514921439973266
Position 10434: 0.002203611684242469
Position 2164: 0.0021928757051702494
Position 3856: 0.002172520496363255
Position 2744: 0.002143880375054417
Position 4394: 0.0020829724598141214
Position 1769: 0.0020807500049288435
Position 6955: 0.002027805787222955
Position 2588: 0.0020021260285623017
Position 5941: 0.0019023296426661234
Position 11695: 0.0018487105678112068
Position 5014: 0.0016543707647927992
Position 1995: 0.001585480402234241
Position 5653: 0.001584456704599529
Position 642: 0.0015563385068988282
Position 5185: 0.0015402175285544083
Position 1175: 0.0014564690031905955
Position 1263: 0.0014308097389032493
Position 4803: 0.0013859123260945836
Position 2386: 0.001383876960721095
Position 4639: 0.0013798258894968521
Position 10612: 0.0013030292896271418
Position 254: 0.001297998201685313
Position 4186: 0.001250439340788096
Position 1228: 0.0012178238487508385
Position 7877: 0.0011735496837248771
Position 2964: 0.0011338644642160478
Position 10404: 0.001013719697795863
Position 3679: 0.0010045489221973418
Position 938: 0.0009667162860790104
Position 1585: 0.0009656463640945706
Position 3262: 0.0009121579430823103
Position 4683: 0.0007669778564576807
Position 153: 0.0007651741101947885
Position 8005: 0.0007581427784025669
Position 2848: 0.0007379264191399313
Position 9042: 0.0006462163838550202
Position 1807: 0.0005521550025052991
Position 5814: 0.0005051922234013852
Position 7528: 0.0004995394319019464
Position 7645: 0.0004535399669395824
Position 7496: 0.0004470641670772612
Position 4553: 0.00040958957615971404
Position 2741: 0.0003920288763073233
Position 1568: 0.0003479462754087575
Position 7775: 0.0003383166113501834
Position 794: 0.00031618986373697954
Position 6258: 0.00030026170806125087
Position 1659: 0.000280876939230959
Position 7350: 0.00026867833003743933
Position 1146: 0.000259614560794558
Position 2517: 0.0002460717514930771
Position 4213: 0.00023002526770430856
Position 1085: 0.00021713579833611082
Position 5544: 0.000193992280147953
Position 6408: 0.00018992933086354414
Position 2428: 0.00018620948202446427
Position 4971: 0.00018206347309681728
Position 1715: 0.00016549008773964326
Position 5413: 0.00015972989322497226
Position 4954: 0.00014941847153573536
Position 1896: 0.00014391261922466994
Position 5207: 0.0001195917913337073
Position 3566: 0.00011438013725552354
Position 5310: 0.00010876892100294447
Position 2093: 0.00010851930259728475
Position 1878: 9.6323079918466e-05
Position 1608: 9.502041864854202e-05
Position 390: 7.69320564102719e-05
Position 3158: 7.68623618894874e-05
Position 944: 7.161819438191155e-05
Position 3988: 6.682709748472117e-05
Position 869: 6.586496918920284e-05
Position 1565: 6.548210906632197e-05
Position 192: 6.306862742611321e-05
Position 624: 5.5560858868883304e-05
Position 2679: 5.482157415069701e-05
Position 1001: 5.3662722580953455e-05
Position 2167: 5.165488810998705e-05
Position 3100: 4.79149795254053e-05
