Gene = GSTK1
index = 626
Annotated 5SS: [ 143  725 1234 1650 1854 4291 4742]
Annotated 3SS: [ 642 1104 1548 1817 4173 4647 5344]
SMsplice 5SS: [ 143  725 1650 1854 4291 4742]
SMsplice 3SS: [ 642 1548 1817 4173 4647 5344]
top_k =  1000
Partition function (log Z): 4.021752402511973

Sorted 5' Splice Sites (High to Low Probability):
Position 1650: 0.9979994718245274
Position 1854: 0.9310223362259658
Position 143: 0.9050669178052761
Position 725: 0.8233684261689017
Position 4742: 0.6687907921052637
Position 4291: 0.3791320675111282
Position 4746: 0.2051944038812185
Position 4243: 0.18452154390602254
Position 1234: 0.13338952205147164
Position 4058: 0.09392038979732507
Position 4307: 0.06884091894527648
Position 1918: 0.05558385829739999
Position 943: 0.052685932819461476
Position 3659: 0.05172233947393932
Position 2352: 0.02565191322181921
Position 1436: 0.022369991753125124
Position 199: 0.0219992034951302
Position 738: 0.021099090700557196
Position 530: 0.01940641123744218
Position 3770: 0.013489488697995078
Position 1259: 0.012012180882397293
Position 224: 0.01041640406580217
Position 289: 0.009521661833030989
Position 181: 0.008925873764134612
Position 2105: 0.0075655349119216125
Position 2109: 0.006028397988606745
Position 495: 0.005980284982046734
Position 4054: 0.005894098370083969
Position 4774: 0.005245959526057234
Position 2047: 0.004193487574692259
Position 4190: 0.004050492933382405
Position 684: 0.003799386680777828
Position 492: 0.003622046833227615
Position 654: 0.0035213878505245336
Position 4569: 0.0027427942237395644
Position 4583: 0.002582618729648435
Position 4481: 0.0017827959265252112
Position 366: 0.0017822188279142776
Position 1955: 0.0017693639826802559
Position 1120: 0.0017036094887459636
Position 3178: 0.0015783338310261749
Position 750: 0.0014445867942395475
Position 231: 0.0013712996395440497
Position 255: 0.0012006951336169228
Position 1043: 0.0011049862930514655
Position 1934: 0.001035058729639889
Position 110: 0.001009207822210279
Position 5501: 0.0009534753856254123
Position 1382: 0.0007722758427809201
Position 864: 0.0007706773362614384
Position 5177: 0.0007657012183903173
Position 3859: 0.0007584826075516349
Position 2327: 0.0006791155572771811
Position 535: 0.0006219801879540565
Position 786: 0.0005777688608482917
Position 2912: 0.0005558543344800253
Position 158: 0.0005167550351827735
Position 537: 0.0004694117411535202
Position 937: 0.00039182370366273606
Position 722: 0.00036437447056798404
Position 2936: 0.0003200878770055704
Position 1066: 0.0002950178928179411
Position 4809: 0.00027585024029300957
Position 1333: 0.00025833394526744583
Position 1643: 0.0002234721979475747
Position 1420: 0.00017438781123060528
Position 1243: 0.00017326181052816696
Position 1037: 0.00016674181518028757
Position 1214: 0.00016066920656980635
Position 4050: 0.00015831126955505981
Position 2291: 0.00015422595161784672
Position 172: 0.0001528454773153275
Position 3763: 0.000149045201785124
Position 1250: 0.00013557042742805568
Position 4867: 0.0001290522064390833
Position 356: 0.00012675038893791816
Position 1656: 0.000122844460385098
Position 4375: 0.00012280259803240616
Position 4355: 9.891992438390813e-05
Position 3587: 9.871151109930593e-05
Position 3345: 8.183706051174324e-05
Position 1218: 8.165077460446536e-05
Position 21: 8.059142928513171e-05
Position 3907: 7.834984649744238e-05
Position 2344: 7.514898874468903e-05
Position 4361: 6.271651904591736e-05
Position 1470: 6.026184970177477e-05
Position 1654: 4.411402774290001e-05
Position 3320: 4.082210567589915e-05
Position 5161: 3.1121553771497085e-05
Position 861: 2.6937001472067957e-05
Position 830: 2.1056515219251685e-05
Position 2168: 1.8568498814652204e-05
