Gene = ENHO
index = 498
Annotated 5SS: [265]
Annotated 3SS: [1184]
SMsplice 5SS: [265]
SMsplice 3SS: [1128]
top_k =  1000
Partition function (log Z): -10.00836006487327

Sorted 5' Splice Sites (High to Low Probability):
Position 265: 0.9604034216030362
Position 15: 0.05209056340340712
Position 996: 0.01861783902023048
Position 1065: 0.014603640965281188
Position 577: 0.009383191570791573
Position 1040: 0.009212643174313436
Position 1199: 0.009116005013143174
Position 36: 0.007447261186915319
Position 102: 0.006960714615155835
Position 1024: 0.006221429513336424
Position 505: 0.003768036229486391
Position 78: 0.0020876147747913637
Position 759: 0.0009944753337338586
Position 619: 0.0006899567651823788
Position 1395: 0.0004874658308040272
Position 1326: 0.0004135625861141334
Position 767: 0.0003266750060260052
Position 1334: 0.00032388693165951127
Position 1090: 0.0003178853593676655
Position 976: 0.00027531456025232037
Position 902: 0.00019899645970952097
Position 157: 0.0001679391990313189
Position 581: 0.00013418691539217887
Position 930: 0.00011737435073504645
Position 1035: 0.00011721984421228465
Position 1770: 4.762303623961146e-05
Position 1316: 4.382527793336637e-05
Position 1052: 4.0108914463820405e-05
Position 1400: 2.899456670036709e-05
Position 1611: 2.81898611120208e-05
Position 423: 2.2877477959392812e-05
Position 1320: 1.8995140973784438e-05
Position 1274: 1.7298297992121792e-05
Position 1837: 1.0638740145648472e-05
Position 1648: 9.247838316901655e-06
Position 1427: 6.568415631339508e-06
Position 1014: 6.3274179819841215e-06
Position 782: 6.592455890163707e-07
Position 737: 4.122993018940954e-08
Position 728: 2.0574746346680992e-08
Position 144: 1.886064845720135e-08
Position 583: 1.0446807209868525e-08
Position 203: 1.0937797730548358e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1128: 0.4105264077722203
Position 1184: 0.22038936363090686
Position 1488: 0.09338267669023506
Position 188: 0.06011076229933421
Position 929: 0.05513801660479186
Position 1865: 0.0530817148224891
Position 1964: 0.04474299194663532
Position 1219: 0.04014112100038345
Position 876: 0.037455185900730485
Position 1355: 0.015042717328487344
Position 1366: 0.011387803879765157
Position 1522: 0.011206282629116757
Position 1537: 0.010700172467349691
Position 965: 0.010381465357704341
Position 1540: 0.004451141787973505
Position 995: 0.002388278610539756
Position 695: 0.002356539781141079
Position 909: 0.00225442060248663
Position 1519: 0.0018549062655061677
Position 1500: 0.0017761562406698288
Position 715: 0.001519943560418755
Position 1064: 0.0012869694685336203
Position 1076: 0.0010993634594295748
Position 1625: 0.00103357394078843
Position 743: 0.0010121705796403116
Position 1570: 0.0008959789069596845
Position 1308: 0.0008651577663439325
Position 1190: 0.000770850997846396
Position 728: 0.0007280788536839105
Position 653: 0.0006538002233746511
Position 1737: 0.000532568654437099
Position 1198: 0.000491163709423339
Position 357: 0.0004658489396287976
Position 878: 0.00043717510512776656
Position 915: 0.0004354674817773358
Position 1828: 0.00035619517741223075
Position 436: 0.00030763357833379874
Position 936: 0.00028203864288552425
Position 1925: 0.0002669514712090951
Position 1669: 0.000252046905856776
Position 1332: 0.00022838121582721682
Position 1304: 0.00022497020167142311
Position 1258: 0.00022350518555597768
Position 1638: 0.00013423035841463252
Position 619: 0.00013032799880478726
Position 1237: 0.00012714853454158056
Position 1591: 0.0001075671989091204
Position 1646: 0.00010726580878282179
Position 758: 7.057421784151308e-05
Position 574: 6.413830231777666e-05
Position 1937: 6.394377569923395e-05
Position 1889: 6.143855126188799e-05
Position 395: 6.053187809232404e-05
Position 373: 5.136368835128744e-05
Position 939: 4.643400077124537e-05
Position 1578: 4.0321932120336465e-05
Position 671: 4.001939550271332e-05
Position 588: 3.125047258886849e-05
Position 1272: 2.975464146897884e-05
Position 1241: 2.548989945420482e-05
Position 253: 2.5132577793705567e-05
Position 1603: 2.3777827545744356e-05
Position 613: 1.997223991415316e-05
Position 1627: 1.9233495944759297e-05
Position 409: 1.8237612217091945e-05
Position 816: 1.774140003286391e-05
Position 888: 1.6416359279698003e-05
Position 1003: 1.620427451541877e-05
Position 353: 1.605091358362529e-05
Position 1835: 1.5892970934248077e-05
Position 655: 1.566065563899614e-05
Position 657: 1.3674362379538488e-05
Position 1694: 1.1950551715773274e-05
Position 355: 1.1750141653549187e-05
Position 329: 1.0706287661581998e-05
Position 508: 1.0356126421721741e-05
Position 1880: 1.0008509572944274e-05
Position 1557: 9.637894311993988e-06
Position 897: 9.514205545844804e-06
Position 1794: 7.966041784422047e-06
Position 1246: 7.52370834501196e-06
Position 661: 7.096369796689289e-06
Position 1704: 6.85289670396584e-06
Position 317: 6.140470208351322e-06
Position 1085: 6.06603583315706e-06
Position 438: 6.054589690967998e-06
Position 1545: 6.0429409989402126e-06
Position 416: 5.35388059174736e-06
Position 596: 4.516408299943507e-06
Position 1800: 4.247467349492335e-06
Position 494: 4.194937010067877e-06
Position 673: 4.043743752881565e-06
Position 1202: 3.946632897847645e-06
Position 697: 3.869203942517484e-06
Position 1080: 3.865132740250296e-06
Position 1755: 3.836815251221165e-06
Position 538: 3.7981528204775236e-06
Position 562: 3.663928866219414e-06
Position 406: 3.181566742924804e-06
Position 818: 3.1350632365716294e-06
Position 795: 2.969361016325217e-06
Position 1928: 2.499546240976848e-06
Position 782: 2.487959518165422e-06
Position 1100: 2.442797127209311e-06
Position 197: 2.3514353442496307e-06
Position 484: 2.259578582757126e-06
Position 681: 2.1024467475663455e-06
Position 630: 1.9855726837756685e-06
Position 375: 1.9700386764963167e-06
Position 203: 1.8008720412311977e-06
Position 381: 1.6604544489826755e-06
Position 335: 1.424400182660995e-06
Position 323: 1.3596225530303395e-06
Position 264: 1.3546010398758767e-06
Position 127: 7.417365226361553e-07
Position 107: 3.8590348984345295e-07
Position 448: 3.5365550659186846e-07
Position 466: 2.443175276144073e-07
Position 462: 2.320529736951744e-07
Position 486: 1.855662427199432e-07
Position 945: 1.7018402095462787e-07
Position 369: 1.0518761819919459e-07
Position 798: 1.0294461571274168e-07
Position 806: 9.57212470391523e-08
Position 95: 9.28272771357088e-08
Position 121: 8.262050804434998e-08
Position 460: 4.4503394943173336e-08
