Gene = ITGB3BP
index = 721
Annotated 5SS: [   87 14688 33133 44452 68326 68836 69298 76410]
Annotated 3SS: [14644 32996 44381 68246 68741 69240 76358 82111]
SMsplice 5SS: [  106   342 20506 33133 69298]
SMsplice 3SS: [  215 20389 32996 69166 82111]
top_k =  1000
Partition function (log Z): -39.58078912077115

Sorted 5' Splice Sites (High to Low Probability):
Position 106: 0.8419997011763058
Position 342: 0.5394628740645683
Position 262: 0.2108052726750622
Position 19342: 0.11145706616150443
Position 87: 0.1005981051208189
Position 14688: 0.06827665687971039
Position 3463: 0.06525880703660468
Position 3070: 0.062362169973074026
Position 9778: 0.05382797686122943
Position 91: 0.049671084443118074
Position 11200: 0.03989414692142945
Position 327: 0.03667379219336969
Position 9640: 0.03117738328295102
Position 11149: 0.01726268232359718
Position 15872: 0.01523722755604226
Position 4125: 0.009681855670372401
Position 8395: 0.008399238208110327
Position 39: 0.007211588204421321
Position 320: 0.006761765176608656
Position 373: 0.005412888427156083
Position 334: 0.0029952399591795472
Position 488: 0.002741390826348797
Position 2508: 0.002187811796959149
Position 4000: 0.0019829324050853175
Position 453: 0.0017279172697783724
Position 1348: 0.001397067349794531
Position 1000: 0.001315094748584962
Position 9236: 0.0011070707385485519
Position 9563: 0.0010412003081164255
Position 2884: 0.0008291146554592849
Position 233: 0.0006369674182077223
Position 423: 0.0005813435331069952
Position 3505: 0.00048447310868485557
Position 459: 0.00042791188660166383
Position 4076: 0.0003706337535468698
Position 3501: 0.0002906480207378632
Position 6405: 0.0002478221685502614
Position 1748: 0.00022944196295145538
Position 7285: 0.0002210437935196314
Position 62: 0.00020170777692206507
Position 3727: 0.00014593024670480107
Position 4533: 0.00013296335029198755
Position 4418: 0.0001301222856849729
Position 1328: 9.468880302406913e-05
Position 249: 9.429078035489192e-05
Position 529: 6.700731817157927e-05
Position 2481: 5.953325089270193e-05
Position 2064: 5.905362774471678e-05
Position 840: 4.105076874773433e-05
Position 1181: 4.097244340055016e-05
Position 2290: 2.61265374376068e-05
Position 492: 2.4702451630431134e-05
Position 768: 1.7368284385023594e-05
Position 585: 1.6329856011772556e-05
Position 467: 1.0711640740988361e-05
Position 293: 8.88587275643869e-06
Position 276: 7.120760645675203e-06
Position 396: 6.388215371341639e-06
Position 150: 5.813543280922742e-06
Position 3703: 4.355221498716961e-06
Position 2912: 2.819120351987975e-06
Position 6277: 1.7639116936342861e-06
Position 5534: 1.7366472644775906e-06
Position 114: 1.5132892258285034e-06
Position 2231: 1.3781219464188192e-06
Position 1369: 1.260849867671335e-06
Position 189: 1.2534049468841521e-06
Position 31: 1.1530161080850065e-06
Position 1004: 1.0976985533508017e-06
Position 1969: 9.534535766918602e-07
Position 538: 9.31700359241544e-07
Position 1365: 7.717060260633977e-07
Position 158: 7.272941177927027e-07
Position 416: 6.034245538830806e-07
Position 419: 4.6207704606789334e-07
Position 59: 4.049384685242351e-07
Position 589: 3.64841570389818e-07
Position 446: 1.2239035691062685e-07
Position 830: 5.80531629922401e-08
Position 1162: 4.34930183846001e-08
Position 347: 3.980239565680536e-08
Position 854: 1.4626683414882811e-08
Position 956: 5.942554513480005e-09
Position 427: 5.78028140685638e-09
Position 651: 5.187869504706494e-09
Position 666: 3.945316552093345e-09
Position 199: 3.84996978916968e-09
Position 21: 3.05880917946883e-09
Position 43: 1.0180630005247531e-10
Position 170: 5.495220712188328e-12
Position 208: 1.0994265501589775e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 215: 0.9590073948047606
Position 19173: 0.2282604290612437
Position 15855: 0.12892723477546153
Position 14644: 0.08847105754981628
Position 13033: 0.08643293645077152
Position 9606: 0.0787319768048537
Position 13052: 0.0755599346590361
Position 22844: 0.06591274905960652
Position 11043: 0.053698281674933304
Position 3335: 0.05202579307711615
Position 13029: 0.04942115874201628
Position 8277: 0.04615023508733344
Position 21866: 0.04554431710189814
Position 11301: 0.04188911631894708
Position 2830: 0.041312107491023514
Position 9418: 0.037319164335865435
Position 3875: 0.02170907665451649
Position 2939: 0.021188756771724795
Position 15738: 0.014837062315810832
Position 6227: 0.01383120203684256
Position 3384: 0.01359042349365795
Position 2137: 0.013547773665319045
Position 14800: 0.012603598530911043
Position 2853: 0.012574021532763621
Position 7140: 0.008590465305587078
Position 11046: 0.006059354422245951
Position 13891: 0.005332958610202238
Position 13624: 0.004769624404249764
Position 1086: 0.003991497530805309
Position 1440: 0.003905063098153126
Position 12794: 0.003666365428552514
Position 10530: 0.0035489888555433483
Position 10674: 0.003312784295386493
Position 829: 0.0031069244388588165
Position 13994: 0.0028972492523866144
Position 11847: 0.002808561228910722
Position 1235: 0.0022893011790070224
Position 8273: 0.002286776230279598
Position 8822: 0.002153106234287331
Position 11612: 0.001921344023368716
Position 1196: 0.0017249210661733174
Position 7392: 0.0016824664394448155
Position 12648: 0.00156268661297113
Position 5448: 0.0015454238001607109
Position 2637: 0.0015442370276920973
Position 2971: 0.001466444239541299
Position 259: 0.0014113231183108604
Position 9107: 0.001322269034883703
Position 6532: 0.0012964472089802197
Position 189: 0.0012937627337743318
Position 3127: 0.0012763847931072765
Position 5640: 0.0011315882979560496
Position 11758: 0.0010627820097619163
Position 1436: 0.0010554434527842386
Position 5574: 0.0010393328229472518
Position 931: 0.0008716820936158006
Position 7328: 0.0008545795660261879
Position 12470: 0.0008497828572574068
Position 11442: 0.0008460354079505275
Position 3783: 0.000735301036156952
