Gene = CENPH
index = 343
Annotated 5SS: [  221  2303  5148  6244  7562 13022 13423 18812]
Annotated 3SS: [ 2246  5098  6168  7504 12957 13370 18647 20158]
SMsplice 5SS: [  168  7589 12860 13022 18812]
SMsplice 3SS: [ 7504 12753 12957 18647 20158]
top_k =  1000
Partition function (log Z): -7.833435361719136

Sorted 5' Splice Sites (High to Low Probability):
Position 7589: 0.9539366184058761
Position 18812: 0.8213088352110672
Position 13022: 0.7447650417413187
Position 12860: 0.5118418217362721
Position 5148: 0.5039378917574945
Position 6244: 0.49370476681367365
Position 168: 0.33312791035577133
Position 2303: 0.3070496441519446
Position 221: 0.30535551609338785
Position 10147: 0.16748659709319572
Position 5623: 0.14383849618300512
Position 564: 0.1437988567091965
Position 729: 0.11891229631688063
Position 715: 0.10423667934918437
Position 13082: 0.08994550278057842
Position 6203: 0.08850436163571633
Position 16109: 0.05611800937978557
Position 8905: 0.03947018387000926
Position 413: 0.032975791726299046
Position 2568: 0.03165946654412195
Position 327: 0.03164390810070155
Position 13319: 0.030346319447043444
Position 9994: 0.020359541847484112
Position 6782: 0.020063841858824427
Position 254: 0.018357352201117408
Position 7562: 0.017613067239327238
Position 20386: 0.0165224154022936
Position 5451: 0.014110442908919009
Position 13423: 0.013823603584533897
Position 9906: 0.013132811943264993
Position 300: 0.011095832017420922
Position 11908: 0.010963615717327142
Position 6766: 0.0109556912479597
Position 20248: 0.010649402430021845
Position 2655: 0.00848889291356103
Position 422: 0.007566873611628033
Position 600: 0.006982837857232854
Position 19483: 0.0066890191763642505
Position 1906: 0.00498161453593211
Position 7761: 0.004696115749799905
Position 19568: 0.0042515634066290905
Position 6866: 0.003774674632526222
Position 19555: 0.003569683264677633
Position 6293: 0.0029963530248953473
Position 10188: 0.0028591265745539518
Position 10436: 0.0028431091734951366
Position 6956: 0.002792898113805262
Position 18723: 0.002428602410041828
Position 322: 0.00231336605842583
Position 2186: 0.002238922748717053
Position 11598: 0.0021955166228628384
Position 10384: 0.0021351772238944835
Position 1161: 0.002014832435465336
Position 977: 0.0019419588239831035
Position 10026: 0.0018899587602514215
Position 18669: 0.001836114179462102
Position 2174: 0.0016150577635181901
Position 1750: 0.0014522167330695687
Position 1782: 0.0014451724093439838
Position 2465: 0.0013190841557594948
Position 5099: 0.0012490046419922922
Position 5469: 0.0012125429356321198
Position 317: 0.001159322065487549
Position 1027: 0.0010801472606675193
Position 9754: 0.001025346989457823
Position 14682: 0.000747179459533156
Position 447: 0.000737880795955779
Position 3050: 0.0007223093400774911
Position 1284: 0.0006687600850579367
Position 2679: 0.0006679699007897613
Position 479: 0.0006213088344592114
Position 9431: 0.0005345420492489906
Position 2914: 0.000494182356084159
Position 9770: 0.0004870155595449752
Position 64: 0.00046364443354932815
Position 4826: 0.0004248438934360452
