Gene = FANCC
index = 537
Annotated 5SS: [   177  68576  70271  77054 145666 146624 167780 182357 191174 192617
 200388 203074 206240 210637]
Annotated 3SS: [ 68332  70185  76958 145554 146558 167614 182199 191120 192516 200311
 202991 206064 210432 215851]
SMsplice 5SS: [   177   7461  33911  36267  36516  52107  68576  70271  77054  80248
 102569 103004 105251 111750 127545 129723 145666 146526 147504 167780
 171080 178467 182357 200388 203074 203257 206240 206498 210637]
SMsplice 3SS: [  7346  33750  36158  36417  51947  68332  70185  76958  80132 102477
 102780 105058 111619 127351 129584 145554 146433 147362 167614 170893
 178331 182225 200311 202991 203147 206064 206356 210432 215851]
top_k =  1000
Partition function (log Z): -95.8046205023092

Sorted 5' Splice Sites (High to Low Probability):
Position 177: 0.9313917401757135
Position 7461: 0.8501217286094188
Position 1052: 0.49177200663838566
Position 15023: 0.3656531890537376
Position 3382: 0.32038281177317474
Position 15080: 0.30705883792804994
Position 15283: 0.24078174661724588
Position 22645: 0.11758058903839838
Position 14448: 0.09748973604573466
Position 20348: 0.08603905309662281
Position 1003: 0.06939736536393504
Position 3737: 0.04264364630500962
Position 7158: 0.038827705364960746
Position 298: 0.0333685414148311
Position 7126: 0.02824678561191327
Position 319: 0.01801056559644121
Position 3311: 0.015166354045755382
Position 911: 0.01447947366668506
Position 1282: 0.013529541012214753
Position 574: 0.011828534278003568
Position 7180: 0.011078460444400277
Position 2582: 0.010423613044399113
Position 6089: 0.010234839700434744
Position 4315: 0.009592793276643367
Position 871: 0.009431596686012005
Position 6206: 0.008703468333271172
Position 2643: 0.00659164946198979
Position 4452: 0.004738251176655471
Position 395: 0.003325414964432394
Position 2665: 0.002466646176683358
Position 790: 0.0013460982082974407
Position 855: 0.0013216598522802054
Position 4268: 0.0011513373262018768
Position 226: 0.000987362136889907
Position 2302: 0.0007206880316894877
Position 907: 0.0007077101517567682
Position 717: 0.0006522964900809528
Position 1047: 0.0005499813518465835
Position 239: 0.0005193341964474887
Position 2967: 0.0004893560211939653
Position 1951: 0.0003371802939146365
