Gene = STK31
index = 1348
Annotated 5SS: [   169   1979   2120   7413  17149  19083  25730  26912  42666  44308
  52757  59008  59590  60958  62112  71354  73497  75437  76467  76758
  77963  80780 105046]
Annotated 3SS: [  1931   2066   7313  17073  18923  25370  26736  42549  44147  52633
  58827  59472  60837  61979  71251  73415  75310  76340  76670  77812
  80656 104976 121968]
SMsplice 5SS: [    70   7413  17149  18811  19083  21604  26912  42666  44308  45030
  52757  62112  75398  76467  76758  80780  90875 100131]
SMsplice 3SS: [  7313  17073  18544  18923  21440  26768  42549  44147  44888  52633
  61979  75310  76340  76670  80656  90795 100043 121968]
top_k =  1000
Partition function (log Z): -50.78931525144255

Sorted 5' Splice Sites (High to Low Probability):
Position 21604: 0.9731381217715298
Position 26912: 0.9465097804311626
Position 7413: 0.700812085366899
Position 70: 0.6709592087312651
Position 17163: 0.5575438995942844
Position 2120: 0.41393928357293236
Position 18811: 0.38916522741165177
Position 576: 0.1676142257715936
Position 169: 0.15306245587059555
Position 18452: 0.11882878855364831
Position 6209: 0.11701025576206843
Position 1979: 0.11622895339388561
Position 5672: 0.07266129321630221
Position 28095: 0.06669389659762058
Position 4279: 0.05137461485723028
Position 188: 0.04653152199316814
Position 3561: 0.024205527916650996
Position 17109: 0.01746899585715745
Position 10703: 0.016345480518488192
Position 117: 0.014972137255740973
Position 8361: 0.009922804012830648
Position 7736: 0.009389250900958608
Position 572: 0.008916658077845871
Position 13270: 0.006835950123133729
Position 2797: 0.006780120712679821
Position 12783: 0.006757974153950195
Position 11164: 0.0061519752108188785
Position 2671: 0.005158269529288534
Position 12314: 0.005133488130452113
Position 3200: 0.004755932898786094
Position 5535: 0.004001727657877392
Position 2607: 0.00322708923671774
Position 3807: 0.0032162426507100026
Position 2802: 0.0031832564330515722
Position 10698: 0.0031692727810366866
Position 1651: 0.0025669932654938375
Position 8421: 0.0024308878332868615
Position 1147: 0.0022846481490370694
Position 9091: 0.002283818093583943
Position 8397: 0.0021763591325045365
Position 121: 0.0018402667250941157
Position 164: 0.0017147341356873234
Position 8066: 0.0011876679763878413
Position 7610: 0.00110038190387143
Position 8435: 0.001085134457143768
Position 9394: 0.0010397511155000288
Position 1920: 0.0006464246210477765
Position 1169: 0.00037740714341443935
Position 3105: 0.00035887755946817086
Position 84: 0.00034911256073477426
Position 5268: 0.000298915334839068
Position 18618: 0.0002299081201250715
Position 678: 0.00022825554084808942
Position 4334: 0.00022743124534491672
Position 871: 0.000222809981154807
Position 3837: 0.00017436439886161037
Position 125: 0.00015638073886610238
Position 4894: 0.0001365376048758306
Position 18494: 0.00012895224208841674
Position 3552: 0.00011876798210614218
Position 3212: 0.00011571792349931976
Position 2007: 0.00010433127340051891
Position 1057: 8.123373958632554e-05
Position 1041: 7.416093463128302e-05
Position 3664: 4.861795459407728e-05
Position 162: 4.8520819612705595e-05
Position 2810: 4.3030970050126034e-05
Position 3646: 3.895924151594062e-05
Position 112: 3.5125745144772924e-05
Position 132: 3.387275191423346e-05
Position 608: 3.3858194091619526e-05
Position 403: 3.3181596026731116e-05
Position 1089: 2.537088118669516e-05
Position 86: 2.206884579224485e-05
Position 173: 2.134132491927129e-05
Position 860: 1.9569207968809564e-05
Position 3641: 1.919881838911259e-05
Position 657: 1.4391542210439865e-05
Position 1212: 1.3755721383809177e-05
Position 4510: 1.3634806142685483e-05
Position 542: 1.3456054641941484e-05
Position 761: 1.3224050939599688e-05
Position 1555: 1.316122771892917e-05
Position 243: 1.1977864019424237e-05
Position 644: 1.1417826069648489e-05
Position 497: 1.0690098724130997e-05
Position 3695: 9.91803664272694e-06
Position 3565: 7.792376324884157e-06
Position 2135: 7.668835498999141e-06
Position 41: 7.456753834681948e-06
Position 1849: 3.678480376726343e-06
Position 1639: 3.0607066603036696e-06
Position 192: 1.592779572712996e-06
Position 176: 1.3684350597938828e-06
Position 275: 7.125015805459701e-07
Position 200: 2.9678431426905633e-07
Position 314: 2.943501824420244e-07
Position 482: 1.3383110513665433e-07
Position 39: 1.2934417565828256e-07
Position 55: 4.959018285724587e-08
Position 337: 3.368876950429262e-08
Position 456: 2.7302367323068146e-08
Position 185: 2.2998929666778073e-08
Position 357: 2.079201373475175e-08
Position 445: 1.8743030215192304e-08
Position 495: 1.2863896316488526e-08
Position 197: 1.1493049328973693e-08
Position 224: 7.029551883329179e-09
Position 24: 5.5959887861305384e-09
Position 480: 1.979118278391554e-09
Position 179: 1.5317238034426557e-09
