Gene = RGS7BP
index = 1136
Annotated 5SS: [  491  1579 69606 88559 92137]
Annotated 3SS: [  1411  69474  88410  92065 102861]
SMsplice 5SS: [  224   491  9370 29564 36763 41507 56471 69606 88559 92137]
SMsplice 3SS: [   391   9250  29426  36643  41389  56359  69474  88410  92065 104199]
top_k =  1000
Partition function (log Z): -42.550937961875384

Sorted 5' Splice Sites (High to Low Probability):
Position 491: 0.9900141524403534
Position 9370: 0.9657088513446858
Position 10385: 0.47911114157295076
Position 1579: 0.4759286385593239
Position 224: 0.38634636813758083
Position 11473: 0.3246507283575447
Position 20557: 0.30193397960228496
Position 206: 0.23816342677129346
Position 12915: 0.1636538659957475
Position 12322: 0.13058323987205422
Position 6325: 0.13014856522837312
Position 6318: 0.10618097438381223
Position 10024: 0.08885439412890579
Position 5045: 0.08283295996373011
Position 6298: 0.08271975706855014
Position 817: 0.06787488292916237
Position 4748: 0.06746505994903017
Position 968: 0.055366869046152914
Position 729: 0.05347649722688313
Position 5748: 0.05091177411308557
Position 8814: 0.04749983130124351
Position 7996: 0.0461637018390119
Position 175: 0.037066236802208274
Position 67: 0.03284319927669353
Position 320: 0.03181319419319549
Position 18920: 0.03042913658334811
Position 2935: 0.02478883484757241
Position 12000: 0.023427242078120514
Position 4646: 0.020754870867442786
Position 12413: 0.019644999646538555
Position 20528: 0.01830995606406219
Position 14493: 0.018169806159523228
Position 6273: 0.015860428369479877
Position 3210: 0.015339786935571472
Position 7409: 0.0142014193338575
Position 19490: 0.01417241044297221
Position 1481: 0.014092871726185697
Position 1601: 0.013235056454148299
Position 1320: 0.01161974567026717
Position 14509: 0.011329456844870005
Position 13311: 0.010565165679093443
Position 2097: 0.00867232119284783
Position 4723: 0.007881837170095968
Position 21956: 0.007776250362891366
Position 13511: 0.007460680146015454
Position 495: 0.00635617763523711
Position 675: 0.004094136095005936
Position 5056: 0.0037208956779284466
Position 6262: 0.003452639665420307
Position 312: 0.0031980229387014005
Position 21900: 0.003133060962408529
Position 12350: 0.0030456015000042474
Position 3761: 0.0025894781445255934
Position 4506: 0.00209701395085226
Position 4739: 0.0018818210031804736
Position 742: 0.001820240634469151
Position 1164: 0.00164527135695114
Position 12005: 0.001539111037007754
Position 1381: 0.0014630930371237131
Position 2449: 0.0014588994169718846
Position 733: 0.0014344586264490651
Position 4316: 0.0011991189828411432
Position 948: 0.001041848911461872
Position 760: 0.000893276675961623
Position 1174: 0.000869023515447688
Position 3194: 0.0006425010223662588
Position 552: 0.0005093921266575253
Position 975: 0.0005057810681151796
Position 661: 0.0003832444733274321
Position 318: 0.0002496519830355385
Position 895: 0.00021781794331779053
Position 778: 0.0002169779470558344
Position 1114: 0.00018821487638037194
Position 5260: 0.00015243652300623957
Position 672: 0.00013577113236677439
Position 538: 0.00010138898019564688
Position 30: 8.474565137181926e-05
Position 696: 4.854021287122492e-05
Position 1257: 4.178724085443173e-05
Position 2238: 3.7736508907185834e-05
Position 1284: 3.428005079716531e-05
Position 1178: 2.4020635562623072e-05
Position 330: 2.343621898320134e-05
Position 1048: 2.104961604192191e-05
Position 710: 1.7451507866022663e-05
Position 1644: 9.027057000588362e-06
Position 2525: 8.82584202901156e-06
Position 912: 8.158077084794154e-06
Position 927: 6.855069444118621e-06
Position 919: 6.734912225649512e-06
Position 2347: 6.392076446715107e-06
Position 2305: 6.3144988888326694e-06
Position 935: 6.153016533566095e-06
Position 117: 4.328149523688688e-06
Position 2518: 3.854986879126659e-06
Position 736: 4.768262395812935e-07
