Gene = CCDC163P
index = 293
Annotated 5SS: [ 443  630 2676 3419]
Annotated 3SS: [ 530 2590 3350 4807]
SMsplice 5SS: [ 138  443  630  979 2676 3419 3678 4557]
SMsplice 3SS: [ 361  530  755 2590 3350 3568 4428 4807]
top_k =  1000
Partition function (log Z): 7.914811946692479

Sorted 5' Splice Sites (High to Low Probability):
Position 443: 0.990241191992159
Position 4557: 0.9822548089781159
Position 630: 0.9249320991809186
Position 3419: 0.904294369467005
Position 2676: 0.7924882946218479
Position 138: 0.5677704424461999
Position 979: 0.5563687134274968
Position 3678: 0.32991471225822605
Position 44: 0.2067941958222075
Position 3819: 0.18382153424943823
Position 935: 0.16716133773607436
Position 3811: 0.11132951944969373
Position 1532: 0.08194369932893668
Position 1171: 0.07034584222835352
Position 3858: 0.03791942051734335
Position 3404: 0.03632685263390103
Position 93: 0.032674201742928226
Position 3074: 0.02257574615817717
Position 2687: 0.02149786163357545
Position 1894: 0.021031712209372947
Position 4086: 0.020665718104082097
Position 1434: 0.017857945080604672
Position 82: 0.017767272176355972
Position 2927: 0.01656036677248315
Position 4194: 0.014533312308132117
Position 3636: 0.013635658878184223
Position 3199: 0.011291646336833668
Position 294: 0.009248874845415965
Position 266: 0.008896117775602912
Position 4068: 0.007465744769750997
Position 4118: 0.006730166794928713
Position 450: 0.006034202174822087
Position 2144: 0.005919348304711452
Position 3976: 0.005614805327353656
Position 3933: 0.005298494754892721
Position 206: 0.005261427210189359
Position 1019: 0.005073996536800593
Position 4923: 0.005069231663076222
Position 1212: 0.004667537771929882
Position 1750: 0.004151792585630597
Position 127: 0.0037442212402455178
Position 2452: 0.003292422382618983
Position 998: 0.002625319465531713
Position 940: 0.0021967649393153156
Position 4161: 0.0020365148560803
Position 4275: 0.0020300846938028933
Position 2680: 0.0019068102407643862
Position 3712: 0.001763462590732368
Position 65: 0.0017618904136525227
Position 3825: 0.0015530192030377814
Position 1582: 0.0013427794693718776
Position 3913: 0.0011175014875259067
Position 634: 0.0011151628094068801
Position 4644: 0.0008891484984229577
Position 3429: 0.0007947959371674954
Position 2671: 0.0007298333259343525
Position 4220: 0.0006841703688166796
Position 1666: 0.0006573581672833899
Position 3076: 0.0006546390070161752
Position 3629: 0.0005247169054109102
Position 1091: 0.00039774570709708213
Position 269: 0.000310718396226247
Position 2394: 0.0002916651003305219
Position 2388: 0.00027515082485999015
Position 691: 0.0002561912933000395
Position 604: 0.00025311174223778977
Position 4232: 0.00023911769650581218
Position 3197: 0.00022521730340473904
Position 3638: 0.00022276207381244665
Position 460: 0.00022013868517828665
Position 539: 0.0002193124207234774
Position 214: 0.0001929704834235864
Position 4701: 0.00016930429496308063
Position 3916: 0.00014335028667072382
Position 4607: 0.00013943015644247083
Position 431: 0.0001230405412910557
Position 3878: 0.00012174805460126538
Position 3922: 0.00012106840494697667
Position 3971: 0.00010748789164674652
Position 4226: 0.000105441000596128
Position 4167: 0.00010537127050621754
Position 3747: 0.00010533739973483513
Position 54: 0.00010044097744373373
Position 200: 9.61125956384974e-05
Position 4267: 9.211517067628407e-05
Position 3168: 8.905447404033612e-05
Position 4524: 8.221819637339846e-05
Position 3967: 7.899587344373745e-05
Position 51: 7.857776156874138e-05
Position 4943: 7.844799823421719e-05
Position 2690: 6.785366212407707e-05
Position 968: 3.713103630496382e-05
Position 4530: 3.216391594300432e-05
Position 7: 2.955790869406653e-05
Position 1039: 1.8050523006032873e-05
Position 428: 1.7536560783318483e-05
Position 617: 1.6368901737804404e-05
Position 385: 1.5509287981933263e-05
Position 454: 1.4363117935591097e-05
Position 909: 1.2651492057797063e-05
Position 401: 1.2044349136588398e-05
Position 157: 9.629189463394679e-06
Position 1242: 8.94942934013706e-06
Position 234: 8.201037972967212e-06
Position 1270: 5.848560654970124e-06
Position 186: 4.763808487291457e-06
Position 1013: 3.933656308858331e-06
Position 473: 3.571672511508817e-06
Position 28: 3.3149282621049826e-06
Position 1244: 2.9724677816835842e-06
Position 232: 2.624933412559811e-06
Position 1899: 2.4299096697536946e-06
Position 1692: 2.3457063630609967e-06
Position 1770: 2.0953202444873555e-06
Position 837: 1.8347509021384193e-06
Position 685: 1.6339732851320788e-06
Position 672: 1.440250901167381e-06
Position 639: 1.4168897221165044e-06
Position 592: 1.4027115055193765e-06
Position 742: 1.311133689734368e-06
Position 1002: 1.3012012968841749e-06
Position 575: 1.1521732959321138e-06
Position 467: 1.050100070366424e-06
Position 31: 9.073478007377113e-07
Position 1008: 8.000695055152293e-07
Position 1060: 4.876481080341508e-07
Position 552: 3.8641345987445916e-07
Position 63: 3.562039016477618e-07
Position 498: 1.4021161288617485e-07
Position 583: 2.8109811124970914e-08
Position 510: 2.5764312309102795e-08
Position 598: 2.2258698415327184e-08
Position 725: 3.6206190442060973e-09
Position 527: 1.5312701769375815e-09
Position 533: 4.866483146624933e-10
Position 170: 3.194260580556102e-10
Position 844: 2.922939487467263e-10
Position 518: 1.4145214151779382e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4807: 0.985260668268836
Position 3350: 0.924391815541216
Position 4428: 0.9233904656250538
Position 361: 0.7682401368740586
Position 2590: 0.6712538689025331
Position 3568: 0.634097860066549
Position 530: 0.5941854199807871
Position 755: 0.3443761543188803
Position 787: 0.33853127161479635
Position 561: 0.19628704428883667
Position 2615: 0.12593550670324138
Position 533: 0.11962689813218598
Position 1332: 0.0814465910624645
Position 837: 0.06470178546340578
Position 307: 0.06430473465799777
Position 4500: 0.06166327276645162
Position 4002: 0.052648591510370976
Position 3496: 0.051312292489973925
Position 1097: 0.04713228230649193
Position 2779: 0.023984581249740382
Position 1708: 0.017434171663597894
Position 157: 0.015982950078563055
Position 595: 0.012041189226738129
Position 3709: 0.009710163335055538
Position 3265: 0.008820616285626892
Position 2968: 0.008648110614881898
Position 3123: 0.008174090204962563
Position 2320: 0.007850016198670056
Position 2230: 0.006955537035594883
Position 1624: 0.006767624978442015
Position 2595: 0.005919448160470431
Position 1090: 0.005066165875027349
Position 2803: 0.004715573382944655
Position 1988: 0.004585325414413329
Position 598: 0.004044961692066859
Position 1364: 0.0039518597240176204
Position 4643: 0.003926966598527296
Position 2828: 0.0037908390978994965
Position 1301: 0.003146235378164161
Position 186: 0.0029799822895694534
Position 1427: 0.002468909537411199
Position 2497: 0.002455041218455868
Position 5018: 0.0024472816869940605
Position 685: 0.0024240740337941385
Position 1385: 0.0024008122226011033
Position 5021: 0.002204225384579242
Position 3031: 0.0021217580851782525
Position 4728: 0.002013096379625595
Position 3278: 0.0017320174596672365
Position 3275: 0.0016488935899861073
Position 1270: 0.0016349214663897646
Position 3355: 0.0014931506136744545
Position 1352: 0.00145976755500969
Position 1273: 0.0013868399518556901
Position 2051: 0.0012449479631129196
Position 4456: 0.0012210133414906627
Position 1063: 0.0011613517348371951
Position 972: 0.0011344612164396763
Position 1023: 0.0010854897007037466
Position 1418: 0.0010556277591902124
Position 3059: 0.0010053523989361054
Position 629: 0.0008833113741054748
Position 841: 0.0008641007944188382
Position 4705: 0.0008297376185162829
Position 3570: 0.0007257203009899621
Position 5045: 0.0007149705815197732
Position 3217: 0.0007055422851098331
Position 4050: 0.0006596152453342476
Position 4980: 0.0006309184834448415
Position 3963: 0.000617307113716259
Position 1712: 0.000597066744849555
Position 4815: 0.0005963939424565628
Position 1734: 0.0005752188197817369
Position 3073: 0.0005670833368087791
Position 3945: 0.0005208950853196079
Position 232: 0.0004497672336610251
Position 192: 0.00040298970480045425
Position 1433: 0.00037891403414491893
Position 2785: 0.00034215399575519183
Position 1203: 0.0003149055758963103
Position 871: 0.0002838165008642565
Position 1469: 0.0002656557237894054
Position 1479: 0.0002589856149887494
Position 4854: 0.0002192047305383717
Position 310: 0.00020159159061900554
Position 3857: 0.0001947732303505969
Position 1131: 0.00018876503579872458
Position 4844: 0.00018475543383435236
Position 1763: 0.0001734618130038148
Position 2527: 0.00017086310627376796
Position 3289: 0.00016587244670442764
Position 2980: 0.00015243835548579645
Position 394: 0.0001424478952930092
Position 1118: 0.00013765041262511548
Position 4839: 0.00013622776923312744
Position 3810: 0.00013532670792640303
Position 4866: 0.00012612425621581053
Position 1397: 0.00012070539390374243
Position 1342: 0.00011945748947476693
Position 3293: 0.00011754837679845278
Position 1452: 0.00011729629877681553
Position 1946: 0.0001156523426614199
Position 3605: 0.00010551977862382299
Position 4732: 0.00010406373059198987
Position 1060: 0.00010076370017824688
Position 2946: 9.73817637129789e-05
Position 3379: 9.650360047201974e-05
Position 4512: 9.336186835610252e-05
Position 1517: 8.636602033512062e-05
Position 3249: 8.263063192126769e-05
Position 316: 8.179223712899494e-05
Position 1802: 7.924145182093008e-05
Position 1128: 7.55143376895221e-05
Position 1109: 7.329341971910331e-05
Position 1049: 6.833374377501464e-05
Position 978: 6.809005857673603e-05
Position 657: 6.24374450585304e-05
Position 381: 5.524631510036147e-05
Position 2429: 5.426545935940062e-05
Position 1639: 5.3778128440705296e-05
Position 3221: 4.948678389850883e-05
Position 337: 4.867095901995206e-05
Position 3627: 4.8472997212431276e-05
Position 1369: 4.748871531371466e-05
Position 214: 3.632204384344111e-05
Position 1036: 3.612946496780899e-05
Position 166: 3.553530409141446e-05
Position 329: 3.2608641130913404e-05
Position 893: 3.146161428715699e-05
Position 1876: 2.3580031517573153e-05
Position 1818: 2.3190783178265648e-05
Position 1113: 2.1744769285472727e-05
Position 4621: 2.15378966230681e-05
Position 3916: 2.0905455420770588e-05
Position 1409: 2.0341882003154544e-05
Position 563: 2.018966740703681e-05
Position 915: 1.6640082610954274e-05
