Gene = NHP2
index = 940
Annotated 5SS: [ 310  477 3080]
Annotated 3SS: [ 406 2973 4128]
SMsplice 5SS: [ 310  477 3080]
SMsplice 3SS: [ 406 2973 4128]
top_k =  1000
Partition function (log Z): 0.8939403265122228

Sorted 5' Splice Sites (High to Low Probability):
Position 310: 0.9875180307429459
Position 477: 0.9742045153212726
Position 3080: 0.9279283513024577
Position 3678: 0.1856875791075019
Position 2839: 0.11399810015249763
Position 693: 0.0980579658718482
Position 2824: 0.05396555288605951
Position 3730: 0.038984335804566915
Position 4051: 0.023716512850505852
Position 3784: 0.020598498363129568
Position 1397: 0.020067971737793486
Position 629: 0.019228069498549317
Position 643: 0.014452841229199985
Position 2051: 0.013634385389070951
Position 3386: 0.013343393416611104
Position 340: 0.011642230272087523
Position 667: 0.009059533856201663
Position 1933: 0.008896212036202434
Position 3011: 0.008052814388168397
Position 1647: 0.007827523349132701
Position 3779: 0.007766453405140991
Position 1448: 0.007314205684245779
Position 3747: 0.007075485655800841
Position 2576: 0.006626812749833593
Position 4228: 0.004436764705367143
Position 2567: 0.004263956862387998
Position 604: 0.003570427257960852
Position 3556: 0.0031698756996054586
Position 1562: 0.0031339050175791874
Position 679: 0.0030915538035020135
Position 445: 0.003009837171920947
Position 712: 0.0028730210842958966
Position 1590: 0.002453549806452668
Position 2282: 0.0017214930956893665
Position 2232: 0.0015502264423024855
Position 907: 0.0013659535091876615
Position 652: 0.0011318536843319283
Position 1814: 0.0010984330529236596
Position 1452: 0.001031596220349984
Position 4264: 0.0008060776894487476
Position 3692: 0.0008002718767069854
Position 3511: 0.0007602349904101044
Position 2248: 0.0007379270715768304
Position 1179: 0.0006723528924933516
Position 3770: 0.0006355049248538805
Position 436: 0.0005501312821005271
Position 1532: 0.00042424448294569906
Position 49: 0.0003962532732910768
Position 558: 0.00029266153284757606
Position 3925: 0.0002863264166059406
Position 1690: 0.0002507766677848043
Position 1840: 0.0002460555350761732
Position 539: 0.00020519925017392898
Position 1820: 0.0002039575057062524
Position 84: 0.00016144601035111188
Position 3036: 0.00015766255712698667
Position 108: 0.00012707511992832287
Position 3429: 0.00011160924281843849
Position 1594: 0.00011080627611145206
Position 3348: 0.00010684402084555186
Position 516: 9.711127175928433e-05
Position 1867: 9.707046514118034e-05
Position 1055: 9.515086182888153e-05
Position 1472: 9.428291330303013e-05
Position 2616: 9.421686607360959e-05
Position 861: 6.821225734014273e-05
Position 2064: 6.409269104176748e-05
Position 1680: 6.301664691730374e-05
Position 132: 5.7312901041348226e-05
Position 409: 5.0786184831920844e-05
Position 1950: 4.3783177800468546e-05
Position 3120: 3.5242089088543074e-05
Position 234: 3.502303407343978e-05
Position 3361: 2.3229512704866373e-05
Position 2353: 5.637292019384867e-06
Position 618: 3.4797206957664646e-06
Position 921: 2.468606479397557e-06
Position 46: 1.3544348418303504e-06
Position 702: 9.383589287327226e-07
Position 357: 7.194728822528875e-07
Position 1078: 6.504667951900378e-07
Position 550: 6.145279051880566e-07
Position 348: 3.507591413056867e-07
Position 1344: 3.289053802581994e-07
Position 913: 3.2161963105166957e-07
Position 457: 2.925207884724593e-07
Position 17: 2.5524536982272066e-07
Position 890: 2.46735004108433e-07
Position 843: 2.0458535557825514e-07
Position 202: 1.466951551768942e-07
Position 1215: 1.3200802544183603e-07
Position 327: 7.657369843532018e-08
Position 918: 5.555721304601176e-08
Position 1295: 4.524666336910078e-08
Position 1200: 4.2702619990618594e-08
Position 99: 4.196106740715842e-08
Position 1264: 3.571175634545961e-08
Position 873: 3.287076450836057e-08
Position 200: 1.0896863199682574e-08
Position 44: 9.260738135027436e-09
Position 600: 4.414600675488886e-09
Position 815: 2.5062122288072163e-09
Position 365: 2.0256742927391726e-09
Position 691: 8.090843576977345e-10
Position 609: 8.796523317123438e-11
Position 397: 1.8282639037504838e-13
Position 400: 5.666475334205339e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 406: 0.9971845632504261
Position 2973: 0.9320876847059951
Position 4128: 0.8882460484187683
Position 3638: 0.11006921235702262
Position 2658: 0.09286961465864317
Position 3615: 0.07945309761275016
Position 573: 0.06590303344530579
Position 585: 0.059062821207978414
Position 3257: 0.054883402332120794
Position 3635: 0.052697359493454034
Position 2748: 0.05040497352725612
Position 1388: 0.02229965931535259
Position 3833: 0.022182595450068173
Position 2444: 0.02022234316975791
Position 2685: 0.012167298481321127
Position 2896: 0.011993747620212582
Position 3655: 0.010971503126259677
Position 3318: 0.010050680005531287
Position 1949: 0.009487773196008761
Position 1044: 0.007213734756804566
Position 1780: 0.007186727281395346
Position 3928: 0.007147647122308287
Position 4084: 0.005809886278915699
Position 4108: 0.005079059264043593
Position 1437: 0.004982715327130608
Position 4357: 0.0047982442580588956
Position 3958: 0.004489706807598564
Position 1270: 0.0042488301510927055
Position 588: 0.003900086244780516
Position 3909: 0.0037634032966197078
Position 3220: 0.0034718065501369976
Position 1192: 0.0033642891634677596
Position 885: 0.0033146025654003423
Position 1232: 0.0031412987923374646
Position 2104: 0.0029487809720922923
Position 4383: 0.0029399888751276324
Position 4255: 0.002648066374302106
Position 1915: 0.002396735091628827
Position 2598: 0.0021467767962855024
Position 542: 0.0020627311703175395
Position 4007: 0.0019354132735036496
Position 2990: 0.0018771455472875822
Position 1799: 0.001853514091146579
Position 2546: 0.0016718275231554494
Position 3424: 0.0016613144579130466
Position 2468: 0.0014774583639044405
Position 4449: 0.0013910395732968457
Position 3495: 0.0013508128548299198
Position 539: 0.0013169218923701253
Position 3542: 0.0012533262520014643
Position 4387: 0.0010562856674182048
Position 770: 0.0010355379182064375
Position 3993: 0.0009174309445235723
Position 2194: 0.0008929255088721198
Position 3273: 0.0008549406350158741
Position 3504: 0.0007753995824721663
Position 3585: 0.000738706162068659
Position 3204: 0.000710506176952618
Position 1965: 0.0006467765900717001
Position 2709: 0.0005866632775456076
Position 1671: 0.00048479352508424547
Position 3234: 0.0004820072349559703
Position 4434: 0.00047000603943150567
Position 3682: 0.0004343705374004208
Position 2223: 0.0004186399166069298
Position 3029: 0.0004185599460116037
Position 1508: 0.0004127405829604067
Position 4147: 0.0003701799648593147
Position 1683: 0.00036219807830684575
Position 1803: 0.00033283483806355383
Position 2696: 0.00032620461492182616
Position 1712: 0.00032105308941775794
Position 735: 0.00031001781405718976
Position 597: 0.000291236812096335
Position 1344: 0.00028634911439384106
Position 3641: 0.00028462598502561207
Position 2752: 0.00027951363660680303
Position 1440: 0.00027281730012087066
Position 131: 0.00025191236474605874
Position 2562: 0.0002436396235791997
Position 3010: 0.0002415868762111623
Position 4409: 0.0002415076566711761
Position 851: 0.00023792689952425536
Position 4291: 0.00022712614210375448
Position 3474: 0.00021998482574116395
Position 4141: 0.00021788382095904444
Position 1882: 0.00021748745944012455
Position 3450: 0.00020859965776401384
Position 3840: 0.00020558003155264932
Position 1839: 0.00019371471959766292
Position 1415: 0.00019204804445351024
Position 1393: 0.00017813885228929903
Position 802: 0.0001652603825064463
Position 4041: 0.00016470005697708393
Position 3774: 0.0001415984637712625
Position 2750: 0.0001393109608765883
Position 3898: 0.0001388893088629559
Position 2931: 0.00013672392434943136
Position 557: 0.00013452271219634276
Position 3498: 0.00012532781205070538
Position 3477: 0.00012171378884797303
Position 3076: 0.00012104049446854304
Position 609: 0.0001192041194068095
Position 3335: 0.00010254869292595196
Position 3793: 0.000102464134283091
Position 1215: 9.907426645731648e-05
Position 3554: 9.82353674863807e-05
Position 3783: 9.276554111868553e-05
Position 4309: 9.064603108613848e-05
Position 3112: 8.413944410789087e-05
Position 1993: 8.303855286197692e-05
Position 600: 7.490755044795518e-05
Position 4023: 6.761799763433578e-05
Position 4267: 6.455815709722005e-05
Position 3456: 6.354761266338775e-05
Position 1274: 5.806736671211729e-05
Position 3145: 5.669393669634519e-05
Position 2993: 5.4582772960615626e-05
Position 4366: 5.13403453470482e-05
Position 191: 5.045441202306805e-05
Position 224: 4.946002867040834e-05
Position 4306: 4.942785626093684e-05
Position 185: 4.815731522124472e-05
Position 168: 4.290030090244056e-05
Position 257: 4.146882345795063e-05
Position 164: 4.1246294489102054e-05
Position 4182: 3.921640777040191e-05
Position 1834: 3.916069249158977e-05
Position 3142: 3.683809649901167e-05
Position 1163: 3.557609121275838e-05
Position 4062: 3.3040940286892804e-05
Position 1140: 3.298864782127227e-05
Position 2072: 3.152648075446891e-05
Position 2410: 2.820228909596317e-05
Position 3285: 2.5811499425725375e-05
Position 660: 2.4281606529200284e-05
Position 1293: 2.22040176634432e-05
Position 932: 2.146678856484726e-05
Position 906: 2.118664142580837e-05
Position 1542: 1.8683704310613226e-05
Position 2902: 1.8229609481441673e-05
Position 417: 1.804652110258809e-05
Position 242: 1.672452771054217e-05
Position 138: 9.495400357274083e-06
Position 980: 7.550532183404812e-06
Position 1050: 6.065902238875208e-06
Position 963: 4.798766351895995e-06
Position 1480: 3.894919069715063e-06
Position 550: 3.7122965253866545e-06
Position 815: 3.708511942745382e-06
Position 1116: 3.2025909883546577e-06
Position 1635: 2.994990216120515e-06
Position 1451: 2.8389003063841257e-06
Position 1809: 2.003289878662336e-06
Position 212: 1.8612030256326755e-06
Position 2120: 8.915841746543994e-07
Position 197: 8.138719360558827e-07
Position 287: 6.863350752412172e-07
Position 1730: 6.189921678760554e-07
Position 377: 5.730698679184123e-07
Position 1099: 4.3229171763041067e-07
Position 1410: 4.1881462136238135e-07
Position 2107: 3.774920287112581e-07
Position 466: 3.710190894481944e-07
Position 3692: 3.64940225053194e-07
Position 1897: 3.1703023673160526e-07
Position 420: 2.8012431655379875e-07
Position 227: 2.744342809001417e-07
Position 414: 2.7336571352425964e-07
Position 1545: 2.553467565997139e-07
Position 821: 1.7010456194919282e-07
Position 423: 1.2121730156092653e-07
Position 469: 7.329127933174352e-08
Position 1046: 5.0889299571674804e-08
Position 475: 4.879957280586566e-08
Position 442: 4.6547830642791486e-08
Position 444: 2.3053575772665935e-08
Position 373: 2.0468312119893032e-08
