Gene = TPK1
index = 1472
Annotated 5SS: [    87    494  70174 153145 187247 212888 244631 287563]
Annotated 3SS: [   434  70101 153074 187173 212791 244483 287450 382389]
SMsplice 5SS: [    87  11663  18921  51704  70174  96781  97218  99900 113919 133078
 150695 153145 171519 184115 184373 187247 187567 197185 202994 212888
 229125 244631 287563 296794 304353 304990 320007 320222]
SMsplice 3SS: [ 11559  18819  51573  70101  96655  97106  99799 113774 132917 150572
 153074 171371 183950 184224 187173 187427 197091 202845 212791 229002
 244483 287450 296715 304227 304883 319951 320123 382389]
top_k =  1000
Partition function (log Z): -170.5302249410741

Sorted 5' Splice Sites (High to Low Probability):
Position 87: 0.8690193816213981
Position 11663: 0.591346304746126
Position 1142: 0.476726238093317
Position 14979: 0.4268227253366037
Position 8139: 0.22063933303818828
Position 19845: 0.19256322190441694
Position 14975: 0.12434494666928166
Position 350: 0.10857080431591079
Position 8134: 0.08568242646913628
Position 1502: 0.05530065196275685
Position 6782: 0.04745452748951772
Position 6480: 0.009132746202452345
Position 1937: 0.007659996446467669
Position 751: 0.006962912914336667
Position 7789: 0.004713417198633743
Position 494: 0.0032612089861945707
Position 168: 0.0028286455372751465
Position 6572: 0.0023817996523740567
Position 161: 0.0023472924474665
Position 1547: 0.0022030572630991952
Position 150: 0.0020910878457593577
Position 370: 0.0018339739012902393
Position 556: 0.0017688432468383633
Position 91: 0.0014756473265643943
Position 6043: 0.0014077643085994268
Position 1447: 0.000980245165460806
Position 5195: 0.0007987135532129624
Position 841: 0.0007979516092537298
Position 253: 0.0006608044511941433
Position 1167: 0.0006400114841972163
Position 1093: 0.0005337929930270091
Position 702: 0.0005040008911365984
Position 5506: 0.000482831536317615
Position 3285: 0.0004793580662776754
Position 858: 0.0004637870549697827
Position 374: 0.0003802179312381607
Position 7651: 0.00031960529015913846
Position 290: 0.0002927661428600358
Position 514: 0.0002734352552285763
Position 1237: 0.00026267153499302695
Position 258: 0.00021403140939630822
