Gene = BTLA
index = 148
Annotated 5SS: [  291 20107 28350 29804]
Annotated 3SS: [19791 28205 29756 33177]
SMsplice 5SS: [  291 20107 29804]
SMsplice 3SS: [19791 29756 33177]
top_k =  1000
Partition function (log Z): -16.808413344118073

Sorted 5' Splice Sites (High to Low Probability):
Position 20107: 0.981980510527034
Position 291: 0.9756101504400732
Position 29804: 0.8494273273791351
Position 10099: 0.18972801933176356
Position 2314: 0.1007139431683531
Position 2086: 0.08581125311382154
Position 17706: 0.054775721116451605
Position 9522: 0.05005268421569576
Position 16101: 0.044525762230828235
Position 1638: 0.04205184420057941
Position 16715: 0.03843868348456361
Position 113: 0.015853221825526894
Position 117: 0.004492387164829302
Position 539: 0.0010403994391955597
Position 308: 0.0009371960995198525
Position 691: 0.0005910097230769246
Position 396: 0.00031617368529585077
Position 1885: 0.00023152397486813834
Position 392: 0.00016953785628798937
Position 2344: 0.00010163582709020733
Position 791: 9.043497773115696e-05
Position 4179: 5.186755875523631e-05
Position 369: 3.853765984350684e-05
Position 4721: 3.761721620806397e-05
Position 3186: 3.686779118795888e-05
Position 194: 3.6229718470034966e-05
Position 2239: 3.391448651314506e-05
Position 2603: 3.01870804035941e-05
Position 573: 2.841555648718511e-05
Position 2297: 2.7901840523023184e-05
Position 1106: 2.6818301577445375e-05
Position 2081: 2.470720532356487e-05
Position 9729: 2.461069357456586e-05
Position 7874: 2.169891464228274e-05
Position 2351: 1.8419903552637046e-05
Position 2338: 1.3107887784519688e-05
Position 1456: 1.0997208005580494e-05
Position 9444: 1.03340319029576e-05
Position 10141: 8.60533669700857e-06
Position 1847: 8.315879047014842e-06
Position 5343: 5.0310530161748105e-06
Position 3167: 4.88376703020902e-06
Position 471: 4.398039723266588e-06
Position 248: 4.241593860306907e-06
Position 3472: 4.1800134331398686e-06
Position 3411: 3.2285391373907745e-06
Position 3575: 2.9794386238020896e-06
Position 1669: 2.32612644860644e-06
Position 7149: 2.2516221545259074e-06
Position 1206: 2.0824938846444534e-06
Position 6289: 1.774444166374489e-06
Position 2131: 1.7396217538410843e-06
Position 5059: 1.2176363356334047e-06
