Gene = AUNIP
index = 119
Annotated 5SS: [  133 22000]
Annotated 3SS: [21857 23565]
SMsplice 5SS: [  133 22000]
SMsplice 3SS: [21857 23565]
top_k =  1000
Partition function (log Z): -13.57973462950657

Sorted 5' Splice Sites (High to Low Probability):
Position 22000: 0.8187763850057845
Position 133: 0.6636755992126437
Position 13895: 0.5540878947738206
Position 170: 0.32201164545332905
Position 11219: 0.03563102453186799
Position 9110: 0.0337387624854565
Position 4112: 0.017638395241061013
Position 7813: 0.014064989260340563
Position 185: 0.012276173149265887
Position 9048: 0.009719002379846284
Position 3623: 0.008724524753957234
Position 2020: 0.008479582129911093
Position 8690: 0.008336276719972785
Position 4611: 0.006977888223216933
Position 601: 0.0015942945664818948
Position 13907: 0.000982791488020648
Position 9168: 0.00029037176824886187
Position 6131: 0.0002749129395840437
Position 2380: 0.0001734394199233718
Position 371: 0.00013352257676897838
Position 8216: 0.00011983738323995514
Position 9348: 0.00010574804931175655
Position 14283: 9.068620979098191e-05
Position 400: 8.755188854080041e-05
Position 908: 8.363380301776508e-05
Position 1145: 7.404744444798982e-05
Position 297: 6.333877508160343e-05
Position 9466: 5.3714866257080995e-05
Position 9454: 5.325483810847716e-05
Position 127: 4.251179379487683e-05
Position 11949: 3.979411908249263e-05
Position 9321: 3.81513680548189e-05
Position 800: 3.337635435019145e-05
Position 5050: 3.0865540167064144e-05
Position 3880: 2.8759660125372046e-05
Position 3823: 2.495810645688762e-05
Position 548: 2.0029035606359828e-05
Position 5669: 1.7573886101321905e-05
Position 5520: 1.3178398231974466e-05
Position 2565: 1.1351519254800197e-05
Position 4212: 1.052936442129599e-05
Position 5420: 9.393795629219322e-06
Position 5459: 9.031324516528906e-06
Position 5630: 8.599396060818756e-06
Position 5770: 6.958876153339927e-06
Position 4960: 6.874302108301612e-06
Position 5161: 5.697592911174009e-06
Position 6271: 5.04578798465467e-06
Position 5634: 4.620254771134286e-06
Position 5119: 4.417548731436498e-06
Position 3327: 3.127583107780573e-06
Position 4615: 3.0310601883291677e-06
Position 4845: 2.6965358430347064e-06
Position 5479: 2.598075883437738e-06
Position 394: 9.93768697741688e-07
Position 745: 9.250979358936927e-07
Position 9091: 8.068142396826782e-07
Position 848: 7.853739284486949e-07
Position 286: 6.733617779360665e-07
Position 1507: 3.02217694605412e-08
Position 3383: 1.6535293358824395e-08
Position 487: 2.724562352328649e-09
Position 93: 1.7420466999113841e-09
Position 358: 1.5977332790461253e-09
Position 619: 7.497752943259797e-10
Position 1020: 5.774673604374328e-10
Position 40: 4.857959879447619e-10
Position 232: 4.675727411949627e-10
Position 653: 4.340270950480123e-10
Position 750: 4.062592146763554e-10
Position 834: 3.192667977006523e-10
Position 925: 2.6037328156078433e-10
Position 940: 2.395652637045177e-10
Position 892: 2.375054717040077e-10
Position 671: 2.1568960828300275e-10
Position 91: 1.4326948525769206e-10
Position 199: 1.345223766653568e-10
