Gene = YAE1D1
index = 1582
Annotated 5SS: [ 172 4252]
Annotated 3SS: [4129 5900]
SMsplice 5SS: [ 656 4252]
SMsplice 3SS: [4129 6043]
top_k =  1000
Partition function (log Z): -5.41872352506484

Sorted 5' Splice Sites (High to Low Probability):
Position 4252: 0.9773450359124191
Position 656: 0.8492915386378576
Position 4474: 0.3296991362892695
Position 172: 0.23101821498059624
Position 1035: 0.18869566797073595
Position 1474: 0.1359484099295429
Position 3913: 0.06961985021716745
Position 543: 0.02463122593055936
Position 3173: 0.02151866156030202
Position 178: 0.018889499581982508
Position 3729: 0.01817663165226606
Position 513: 0.016951140438018278
Position 1518: 0.014789750884005463
Position 181: 0.013723692838469664
Position 5039: 0.012625784366558517
Position 5609: 0.011089032112936482
Position 4526: 0.010699683469594577
Position 1513: 0.007191530131385023
Position 1602: 0.006945295832798021
Position 4610: 0.006745028085916417
Position 4012: 0.0066400345803090035
Position 3870: 0.006615336517778298
Position 3415: 0.005665643178717897
Position 5994: 0.003771159920776884
Position 4566: 0.0035918882731734592
Position 4206: 0.003550369985852408
Position 1050: 0.0034710872750773206
Position 197: 0.003450962905406133
Position 40: 0.0033337973021759022
Position 149: 0.003250492796449949
Position 887: 0.002467720209119681
Position 2465: 0.002268501726551785
Position 295: 0.0020859477160663094
Position 2470: 0.0019351468040500785
Position 3184: 0.001867097430481894
Position 3142: 0.0018446643137660583
Position 778: 0.0017082167976144034
Position 672: 0.0013470060020845766
Position 3320: 0.0009568932476410909
Position 991: 0.0007745866202999471
Position 2235: 0.0007683461901350607
Position 240: 0.0007418831817657496
Position 3748: 0.0006857197066487196
Position 5182: 0.0006064653527503602
Position 1529: 0.00038082779966803354
Position 2148: 0.00031507057634111316
Position 5564: 0.0002842770075429049
Position 557: 0.00021968119080897542
Position 4590: 0.00019124246939427412
Position 5594: 0.00018813299293756394
Position 204: 0.00017975227825612887
Position 48: 0.00013534081964111362
Position 1339: 0.00013199365844317976
Position 4194: 7.900390290759601e-05
Position 343: 6.368879207501872e-05
Position 224: 6.254258389499279e-05
Position 797: 6.251276981784138e-05
Position 5195: 6.218482014467643e-05
Position 52: 6.0970261258907216e-05
Position 936: 6.0030304370526375e-05
Position 4606: 5.606333949996322e-05
Position 792: 4.839821721623835e-05
Position 440: 4.7608431804902e-05
Position 698: 3.7876851034466004e-05
Position 879: 3.5561945993005244e-05
Position 120: 3.40230169729707e-05
Position 648: 2.1879746905135612e-05
Position 433: 2.1142713508838508e-05
Position 419: 2.05363429748776e-05
Position 45: 1.9051457528085894e-05
Position 13: 1.6803367664762125e-05
Position 2703: 1.5908048518146624e-05
Position 2733: 1.582626288602032e-05
Position 207: 1.4808704692819358e-05
Position 28: 1.39683069150955e-05
Position 530: 1.1970396153635675e-05
Position 328: 1.183996810012651e-05
Position 2328: 1.1837159120062746e-05
Position 166: 8.986274831831844e-06
Position 1545: 8.072389584640767e-06
Position 1721: 4.960413733224048e-06
Position 97: 4.942268377631385e-06
Position 4798: 4.542992758449207e-06
Position 183: 4.528390033369291e-06
Position 1315: 4.0277447075301495e-06
Position 1179: 3.5370790169617226e-06
Position 227: 3.008025757462021e-06
Position 444: 2.4914895014996204e-06
Position 417: 1.5584494275002494e-06
Position 384: 1.3712863786408995e-06
Position 99: 1.1210382357046444e-06
Position 3241: 8.731627491560991e-07
Position 4484: 7.600749401843112e-07
Position 247: 5.99352897533641e-07
Position 520: 5.974981139592352e-07
Position 565: 5.403979254169939e-07
Position 570: 4.496415333638828e-07
Position 676: 4.3120751533270966e-07
Position 637: 3.9812595063886566e-07
Position 650: 1.399577266849289e-07
Position 610: 6.817009547773216e-08
Position 5215: 3.951911743183656e-08
Position 4550: 2.2029174059777683e-08
Position 691: 4.513438735593484e-09
Position 511: 1.306483719871138e-09
Position 341: 1.6615487321398044e-10
Position 306: 9.54618418201329e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 4129: 0.9241307394353644
Position 6043: 0.501072652866144
Position 287: 0.1758255700899179
Position 4421: 0.1625259930288353
Position 5900: 0.14333557208293743
Position 5363: 0.08315831769593168
Position 4926: 0.08236471372618275
Position 879: 0.07421039365571108
Position 3757: 0.07377123396379083
Position 1361: 0.07056791516542875
Position 4405: 0.06276219414768579
Position 761: 0.05976175485620784
Position 4643: 0.05737611763679648
Position 4367: 0.05730103061814968
Position 1427: 0.05225095768079765
Position 4324: 0.050678219308070996
Position 1291: 0.02710165324709346
Position 4180: 0.02672267395908918
Position 3130: 0.02440739484275241
Position 3614: 0.022104269889426032
Position 5142: 0.02138536863604307
Position 315: 0.020687569418209498
Position 4072: 0.018597755620064667
Position 6085: 0.01857524182961172
Position 882: 0.015523092456734788
Position 4377: 0.014831531099217721
Position 5717: 0.01313491325756019
Position 4468: 0.0130119157491145
Position 5977: 0.012786997114236582
Position 4987: 0.012730798060542
Position 4133: 0.010892500330317651
Position 4667: 0.010354202101782072
Position 5335: 0.010273808033561224
Position 768: 0.007637427855018162
Position 5042: 0.005802086621995328
Position 4102: 0.005250142768713565
Position 2209: 0.0042361884696093316
Position 339: 0.0040852303344032755
Position 4525: 0.0036494970831059885
Position 1263: 0.003537681617648594
Position 1305: 0.0029294471212020813
Position 4964: 0.002901248641751389
Position 1517: 0.002819383913317231
Position 844: 0.00281757783040761
Position 1314: 0.0028095828450701073
Position 5672: 0.0027762407072754853
Position 4721: 0.0025885908228285713
Position 5698: 0.0022621390018772915
Position 3699: 0.002124006278796382
Position 5591: 0.0020806069706166353
Position 5859: 0.0020491864679534635
Position 5409: 0.001844529216560662
Position 3171: 0.00181236331711416
Position 6429: 0.0017667846014967638
Position 6209: 0.001761873060453754
Position 6091: 0.0016614207747995
Position 3846: 0.001491988935161741
Position 2870: 0.0014803016536455913
Position 3057: 0.0014595238117627936
Position 507: 0.0013202407264388146
Position 743: 0.0013105139926170427
Position 6199: 0.0011731524387242004
Position 4806: 0.0011477104967541432
Position 6264: 0.0010522564526385093
Position 6366: 0.0010224023294638114
Position 3653: 0.0010143776741150766
Position 3597: 0.0009725329259465314
Position 3014: 0.0009179359580181265
Position 4096: 0.0008664395373595482
Position 695: 0.0008465619068962627
Position 3201: 0.000836461593007352
Position 4384: 0.0007994005780989989
Position 3141: 0.0007941492701194843
Position 1023: 0.0007392896865915367
Position 2086: 0.000696471358815071
Position 6232: 0.0006216287642279027
Position 4767: 0.000621521451119169
Position 1366: 0.000613668722657977
Position 3348: 0.0005999080024914667
Position 792: 0.0005536748887302684
Position 4780: 0.0005218457151557384
Position 4553: 0.0005098109647617836
Position 5675: 0.0004953940147421087
