Gene = TRH
index = 1482
Annotated 5SS: [ 519 1723]
Annotated 3SS: [1503 2393]
SMsplice 5SS: [ 519 1723]
SMsplice 3SS: [1503 2393]
top_k =  1000
Partition function (log Z): -3.1448376713707002

Sorted 5' Splice Sites (High to Low Probability):
Position 519: 0.9900913782005427
Position 1723: 0.8966838350082554
Position 2557: 0.5806715077251751
Position 1324: 0.10421808432656643
Position 1711: 0.07353614486607363
Position 2099: 0.04318190761181396
Position 1317: 0.04141641622880672
Position 1412: 0.034125285121069084
Position 2263: 0.014625603731974798
Position 2567: 0.011198624601983755
Position 2235: 0.008918133668402458
Position 747: 0.00872925793300398
Position 1656: 0.007485006075643754
Position 2888: 0.005047062386327075
Position 2245: 0.0044134022600755655
Position 1419: 0.0036632338180628736
Position 3283: 0.0032038039941458627
Position 3252: 0.002751725092672406
Position 770: 0.002179008570627437
Position 2165: 0.0020738882751424217
Position 2871: 0.0020617887757244627
Position 2239: 0.001753606393262298
Position 184: 0.0014191411869967077
Position 111: 0.0013883658359416101
Position 819: 0.0012956851045654442
Position 896: 0.0012262775362799326
Position 22: 0.0010771090090751405
Position 1893: 0.0010100840997889948
Position 1949: 0.0009805265000808266
Position 250: 0.0009676761094970403
Position 1471: 0.0006872187996476582
Position 3289: 0.000612828549091278
Position 93: 0.0005720213244012617
Position 3091: 0.0005200291527372746
Position 3222: 0.0004497481780356058
Position 3417: 0.0004063439304400661
Position 66: 0.0003494471665014727
Position 2301: 0.00030642174291141487
Position 2229: 0.00029426803991764355
Position 3515: 0.0002134307298538837
Position 756: 0.00020345708189956055
Position 552: 0.0001864174490331963
Position 3294: 0.00017510384988888563
Position 2430: 0.00016741782988893375
Position 799: 0.0001565661176583
Position 2934: 0.0001539211713923577
Position 20: 0.00011146935683555585
Position 634: 0.00010899623968182064
Position 3466: 0.00010640077789381712
Position 48: 9.920511172771135e-05
Position 554: 8.96401578452225e-05
Position 72: 8.936026083740994e-05
Position 1404: 8.045449586514674e-05
Position 1384: 7.875759261363581e-05
Position 1114: 7.868307713205638e-05
Position 2772: 7.320424112526654e-05
Position 2832: 7.04749149520239e-05
Position 297: 6.959301483481805e-05
Position 1062: 6.810368854549157e-05
Position 2929: 6.665065500913856e-05
Position 187: 6.182509064788491e-05
Position 2504: 5.446509462576092e-05
Position 602: 4.450352493356826e-05
Position 890: 4.307389172934146e-05
Position 910: 3.8621475568993604e-05
Position 850: 2.903035418495767e-05
Position 2227: 2.6469298953191612e-05
Position 2094: 2.6195858464051418e-05
Position 317: 2.465468372718926e-05
Position 228: 2.0803431261465592e-05
Position 3413: 1.6684913067276028e-05
Position 2998: 1.439193277301063e-05
Position 667: 1.3215165499924862e-05
Position 1295: 1.3086154556319496e-05
Position 830: 1.14040739574354e-05
Position 1564: 9.292272116472422e-06
Position 430: 8.415476412487593e-06
Position 3552: 8.126846769450217e-06
Position 9: 6.977425807220944e-06
Position 56: 6.937601311797419e-06
Position 2327: 6.6975593118069365e-06
Position 2283: 6.37521555208792e-06
Position 26: 5.975501936066534e-06
Position 24: 5.777930191531129e-06
Position 1611: 5.682473833860953e-06
Position 2358: 3.357573670011746e-06
Position 1963: 3.248968484070269e-06
Position 475: 3.14010213463851e-06
Position 1987: 3.062938689582758e-06
Position 54: 3.0137355671282196e-06
Position 1416: 2.9402777329334986e-06
Position 1194: 2.5018159940117133e-06
Position 1043: 2.3453126664625467e-06
Position 1381: 2.055293659498522e-06
Position 1094: 1.9126360169309476e-06
Position 1214: 1.8888316234231765e-06
Position 101: 1.71026853421729e-06
Position 1153: 1.1736996588531603e-06
Position 1220: 1.162972354020833e-06
Position 1739: 1.1040401574500875e-06
Position 2069: 1.103105612334597e-06
Position 1965: 1.0013444141148333e-06
Position 1809: 8.517059573693825e-07
Position 259: 8.164430535076943e-07
Position 103: 5.118546203636262e-07
Position 35: 3.596636085496475e-07
Position 2471: 3.388276479540911e-07
Position 2793: 2.088211909732093e-07
Position 2963: 1.8389490866410578e-07
Position 37: 1.5335430702178432e-07
Position 11: 1.3849949635466545e-07
Position 2941: 9.631101377131068e-08
Position 133: 7.088854755086944e-08
Position 2908: 5.059052944170188e-08
Position 160: 4.880764666965611e-08
