Gene = PRPF3
index = 1073
Annotated 5SS: [  117  3621  4415  7001 11314 11746 13788 16878 19029 22004 22813 23099
 24688 25043 27770]
Annotated 3SS: [ 3427  4283  6853 11229 11524 13480 16710 18948 21859 22712 22984 24568
 24958 27707 31383]
SMsplice 5SS: [  117  3621  4415  6187  7001 11314 11746 16878 19029 22592 22813 23037
 24688 25043 27770]
SMsplice 3SS: [ 3427  4283  6090  6853 11229 11524 16710 18948 22492 22712 22926 24568
 24958 27707 31383]
top_k =  1000
Partition function (log Z): 19.534796448554406

Sorted 5' Splice Sites (High to Low Probability):
Position 22813: 0.9949074053877746
Position 4415: 0.9838524722483722
Position 27770: 0.9427134338083946
Position 11314: 0.9388413091881891
Position 24688: 0.9123251623255643
Position 11746: 0.8898308311690449
Position 3621: 0.8818190553109219
Position 117: 0.8224707841891212
Position 7001: 0.8172859039903817
Position 16878: 0.8139255163496574
Position 19029: 0.7318665807145287
Position 25043: 0.6498672958297658
Position 22592: 0.5658773028227135
Position 6187: 0.5393766071394654
Position 23037: 0.5114724680583448
Position 23099: 0.3934683453876674
Position 22004: 0.3808384663002501
Position 13788: 0.3683829532793428
Position 22620: 0.21400927714029758
Position 25053: 0.1447176201597266
Position 14904: 0.13946556307905855
Position 11705: 0.10023744670436154
Position 30568: 0.08353346754539277
Position 7942: 0.08022450884650185
Position 6529: 0.0734100417983386
Position 23079: 0.07109341565017537
Position 6950: 0.06774501273657944
Position 4020: 0.0652056716290275
Position 30597: 0.06263773332510145
Position 25086: 0.056107695635543464
Position 5624: 0.054499195734356104
Position 663: 0.04803592435522442
Position 3989: 0.036995943366285394
Position 758: 0.03427490047341083
Position 23820: 0.032802671570335395
Position 145: 0.028814073184827767
Position 27849: 0.023680589970080382
Position 23389: 0.021206959989656875
Position 3973: 0.020166160274422706
Position 14888: 0.01915109090963926
Position 25240: 0.01740381472555932
Position 11397: 0.017282492985229193
Position 7851: 0.01716782435623478
Position 352: 0.015042263096689767
Position 17737: 0.013799848371999419
Position 28590: 0.013692918638707587
Position 258: 0.013414926362453955
Position 4057: 0.013204277479136849
Position 24282: 0.011770102372744787
Position 22637: 0.011670720387160168
Position 357: 0.01068551707498888
Position 19350: 0.010491997698054551
Position 24672: 0.010224359906351874
Position 19385: 0.010028833452682143
Position 31451: 0.009859144479236717
Position 329: 0.009814415134001579
Position 54: 0.009246581166324487
Position 4533: 0.009035900960860918
Position 1054: 0.008688631058391506
Position 24648: 0.00845469464792714
Position 62: 0.008191206119129588
Position 15953: 0.008051536394186208
Position 17380: 0.007343714225925497
Position 1190: 0.0072537092024791226
Position 1959: 0.00647857303697085
Position 246: 0.006415097400986174
Position 21967: 0.006243468148993929
Position 30659: 0.006017736711153481
Position 1368: 0.005800170192447035
Position 7035: 0.005749560932442017
Position 30782: 0.005297297925591497
Position 6779: 0.0052271744245792374
Position 9043: 0.004912853384872545
Position 25008: 0.004872133396450198
Position 25666: 0.004639988997958395
Position 69: 0.004548723129792891
Position 27774: 0.004140036801845807
Position 15074: 0.003974967295479154
Position 16097: 0.003850661289535803
Position 7055: 0.0038241872587159715
Position 16842: 0.0036431257353673253
Position 11445: 0.003429615767806459
Position 241: 0.0034000420933803944
Position 12274: 0.0033884481358613886
Position 26721: 0.0030706966540298268
