Gene = ESM1
index = 511
Annotated 5SS: [ 447 3667]
Annotated 3SS: [3516 6227]
SMsplice 5SS: [ 447 3667]
SMsplice 3SS: [3516 6227]
top_k =  1000
Partition function (log Z): -6.488794800997668

Sorted 5' Splice Sites (High to Low Probability):
Position 3667: 0.9529995953085048
Position 447: 0.49737864130928305
Position 249: 0.41063078475487397
Position 3010: 0.332886461343187
Position 5505: 0.2003206418900754
Position 756: 0.12040266359203157
Position 2660: 0.06839790674546735
Position 512: 0.0520888612453774
Position 2158: 0.03891236464259488
Position 3038: 0.02472699444972887
Position 5806: 0.024110277581768445
Position 2812: 0.02064452834067941
Position 813: 0.01939961682244196
Position 313: 0.018805572428917144
Position 6017: 0.01809376844548031
Position 2609: 0.016758978671455902
Position 581: 0.016665909181972142
Position 6521: 0.01589160827915734
Position 6666: 0.014769670374472339
Position 2664: 0.01313968034332035
Position 3421: 0.013023724486172318
Position 2525: 0.012872435761048453
Position 3738: 0.011283917850050236
Position 953: 0.007930817339431564
Position 3799: 0.007413030141794786
Position 4478: 0.004437225924268598
Position 1375: 0.0043022520738547655
Position 6478: 0.004207661880946133
Position 391: 0.0035711956100574153
Position 5800: 0.003007823335541766
Position 1189: 0.0028922497009616945
Position 1370: 0.0027941297999424346
Position 2529: 0.0025912563645597653
Position 536: 0.0024361725165661595
Position 435: 0.002071319585020795
Position 2444: 0.002068234886596114
Position 2292: 0.0018215985329919282
Position 5536: 0.0018078894784187912
Position 5914: 0.0017655492835994355
Position 5517: 0.001568544670750876
Position 4198: 0.0015571273342599356
Position 6027: 0.0014575043437151099
Position 311: 0.0013863441628047858
Position 3683: 0.0013142914791444116
Position 2777: 0.0012543859767801234
Position 3864: 0.0011425188325335526
Position 6316: 0.0010820484654299539
Position 1192: 0.001078649829509017
Position 3261: 0.0010082396557145163
Position 3630: 0.000984998251508054
Position 5714: 0.0009408650086292202
Position 4160: 0.0008911777733720585
Position 1131: 0.0008312368959149702
Position 1163: 0.0008230959390296035
Position 779: 0.0008060389894236329
Position 5477: 0.0007983837015363378
Position 1167: 0.0006759043135347087
Position 5056: 0.0006672880293354408
Position 423: 0.000622391507341242
Position 5116: 0.0005584044278258398
Position 2264: 0.0005469903606281184
Position 4061: 0.0005176076626822564
Position 5779: 0.00047814876176765396
Position 194: 0.00047688603918729115
Position 2143: 0.0004232176056672784
Position 5131: 0.00036138924253118317
Position 1119: 0.00034187223147119866
Position 6260: 0.00031926928125576885
Position 4586: 0.00023645534108835892
Position 5079: 0.00021937395219059983
Position 517: 0.00021861235157547015
Position 2187: 0.00019947113160560825
Position 554: 0.0001963057460499801
Position 1115: 0.00018970532842742398
Position 6302: 0.00015949009474720355
Position 373: 0.00014889203942603364
Position 2055: 0.00014267838700537767
Position 4147: 0.00011667943730653679
Position 6695: 0.0001162022322325285
Position 3265: 0.00010111388622018034
Position 4251: 8.356892595477081e-05
Position 4288: 7.867749490884784e-05
Position 6428: 5.461120776210756e-05
Position 2269: 5.072597482110706e-05
Position 56: 4.714166561605089e-05
Position 221: 4.495667955221438e-05
Position 593: 4.017087252286795e-05
Position 393: 1.6342673350669595e-05
Position 1039: 7.067684564080438e-06
Position 1813: 6.370995795395739e-06
Position 37: 5.033246958315761e-06
Position 1224: 4.550099075745301e-06
Position 4383: 4.01975509194895e-06
Position 454: 3.7389190433656366e-06
Position 375: 3.0873447398134386e-06
Position 4449: 2.974107202360152e-06
Position 1875: 2.7138351486561695e-06
Position 1869: 2.6979842556862716e-06
Position 1863: 2.4604025707051265e-06
Position 240: 2.294137692378799e-06
Position 253: 2.23170020419742e-06
Position 1443: 2.141414713888106e-06
Position 297: 1.8397321216723124e-06
Position 4162: 1.7554707780136212e-06
Position 1751: 1.6491855445070734e-06
Position 4528: 1.587900321976146e-06
Position 430: 1.5287205328961668e-06
Position 350: 1.4618564246944311e-06
Position 763: 1.4266448229011511e-06
Position 5231: 1.3401878343527187e-06
Position 1142: 9.411579234730663e-07
Position 284: 7.803262602091994e-07
Position 3806: 7.326022627292183e-07
Position 882: 6.128793101887347e-07
Position 617: 6.071338960814605e-07
Position 840: 5.094497087468e-07
Position 4056: 3.4854086803973955e-07
Position 179: 2.672012676872703e-07
Position 78: 2.3684217803355654e-07
Position 54: 9.913983167373811e-08
Position 860: 6.793019552939684e-08
Position 4314: 3.3578218672144984e-08
Position 1070: 3.297221404177856e-08
Position 657: 2.0632496038491637e-08
Position 35: 2.061618678864063e-08
Position 586: 1.1625455638587557e-08
Position 155: 4.4299611373259395e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3516: 0.9547767612429503
Position 6227: 0.7748262687364704
Position 2759: 0.28368466470956055
Position 5447: 0.11450769265946438
Position 682: 0.10730612241623703
Position 2379: 0.06372988526707735
Position 2865: 0.057960899790344925
Position 3791: 0.034980745277010165
Position 4277: 0.03410805111610232
Position 323: 0.028880892511048487
Position 6606: 0.027724330085784184
Position 1998: 0.026189725708756988
Position 5602: 0.02610049023742583
Position 5416: 0.025705131144347537
Position 5712: 0.02288051899292007
Position 3406: 0.02013203374634519
Position 6792: 0.02011699149656373
Position 5477: 0.01878474134924394
Position 6191: 0.01777429853149604
Position 5773: 0.017686676521542037
Position 5054: 0.017588298549957342
Position 2339: 0.01726094917835915
Position 5333: 0.017045441181764796
Position 6848: 0.013537740731013291
Position 2922: 0.01128791302366689
Position 2659: 0.010177021943841992
Position 2046: 0.010036776364898605
Position 5373: 0.009668810119021196
Position 4959: 0.00939001404464389
Position 5320: 0.009369694418334438
Position 5282: 0.0086488772248754
Position 2529: 0.008321523379286119
Position 2418: 0.0074612546977560965
Position 2880: 0.007232798809816251
Position 1038: 0.007187485406745183
Position 2113: 0.007046072718753473
Position 7756: 0.006433735510067736
Position 5800: 0.006013029415142516
Position 6626: 0.005941277173118261
Position 4019: 0.005488904183896962
Position 350: 0.005414423495957065
Position 1263: 0.005256865703906201
Position 6576: 0.005142772411587688
Position 2443: 0.004815279514930952
Position 3914: 0.004635295671556799
Position 2888: 0.004620279289907115
Position 3221: 0.004529256906319294
Position 4348: 0.0043917828178510095
Position 7676: 0.0042798864745097346
Position 580: 0.004076945743802546
Position 3186: 0.003961711036327213
Position 2608: 0.0033710488727608317
Position 2403: 0.003215275394209498
Position 5072: 0.0025138917491502335
Position 5676: 0.002353648862094864
Position 2964: 0.002333847117618245
Position 3995: 0.002195948278325795
Position 5252: 0.0020780274983932534
Position 1302: 0.0020529802253774483
Position 4050: 0.002026045419907362
Position 7101: 0.0018960338024770766
Position 7583: 0.0018853687794725498
Position 5856: 0.0018603834950138643
Position 847: 0.0018145835507372163
Position 640: 0.001736897983760663
Position 2184: 0.0017324614715316202
Position 3486: 0.0017097921675434027
Position 7284: 0.0016613447743527797
Position 6553: 0.0015885402437040943
Position 5957: 0.0015753784222301446
Position 2901: 0.0015533286768614608
Position 534: 0.0014485107694992801
Position 5364: 0.0013384434088489568
Position 596: 0.001314058542538634
Position 2485: 0.00119823519446684
Position 5212: 0.0011943230998931887
Position 3630: 0.0011764041884838323
Position 5230: 0.0010633922496827357
Position 2389: 0.000861613123527792
Position 7411: 0.000828291093302953
Position 880: 0.00082455750504207
Position 7488: 0.0008091384408812508
Position 5194: 0.0007995272406862089
Position 2815: 0.000776023496589186
Position 356: 0.0007241387804398833
Position 2831: 0.0006851927307805031
Position 5867: 0.0006748964559418196
Position 5615: 0.0006540295203314868
