Gene = ANKUB1
index = 85
Annotated 5SS: [  547  2043 12585 22264 25667]
Annotated 3SS: [ 1898 12367 22148 24727 31209]
SMsplice 5SS: [  547  1612  2043 12503 22264 30224]
SMsplice 3SS: [ 1525  1926 12367 22148 30162 30863]
top_k =  1000
Partition function (log Z): -9.058153700060856

Sorted 5' Splice Sites (High to Low Probability):
Position 2043: 0.9817123438537868
Position 547: 0.9725463790684656
Position 12503: 0.9048457529321007
Position 22264: 0.8821032678775832
Position 1612: 0.586744920892909
Position 446: 0.4085468987867005
Position 27254: 0.3926620328321431
Position 19418: 0.3906078892966609
Position 22476: 0.3143158097421331
Position 30224: 0.24666008151445862
Position 924: 0.1357116193270907
Position 12923: 0.13233314994107542
Position 9737: 0.1266309726701852
Position 25667: 0.09048715974245788
Position 7335: 0.0881075922848268
Position 5667: 0.08403032158113585
Position 12479: 0.07613275217116011
Position 9372: 0.06150634957135072
Position 13161: 0.04816343372814832
Position 7752: 0.04767541058568073
Position 9320: 0.047068262228043514
Position 21947: 0.03822008488897746
Position 3531: 0.03414750503182222
Position 211: 0.02852088960237749
Position 5870: 0.02447000294417718
Position 10136: 0.019252835143710394
Position 2214: 0.014503606360978276
Position 2383: 0.013487395894369179
Position 12585: 0.011960193931449713
Position 4896: 0.011888277423625271
Position 9573: 0.010507575347413676
Position 5853: 0.010149553321203505
Position 1857: 0.008754880235432983
Position 9295: 0.008406347769109193
Position 4285: 0.007624773287292465
Position 984: 0.007151097123651063
Position 112: 0.006976977036820514
Position 3756: 0.006565474880350901
Position 8276: 0.005598156474613245
Position 8437: 0.005228182364648805
Position 11749: 0.005020073943142826
Position 5876: 0.004435762079206616
Position 7997: 0.003669499331362951
Position 64: 0.0034112880421482373
Position 3597: 0.003272894108086145
Position 1650: 0.0030636285549363236
Position 8947: 0.002897501832814839
Position 15249: 0.0028347373637285568
Position 82: 0.0028180302497924944
Position 11098: 0.0024961440140328344
Position 4245: 0.002492426012319156
Position 4239: 0.0021838319820547385
Position 3800: 0.0021124350988964836
Position 5126: 0.0018525281913508887
Position 9399: 0.0018413119030820054
Position 9403: 0.0018262840746678353
Position 1082: 0.0015407513669954476
Position 256: 0.0013885753098789213
Position 726: 0.0013350957327281285
Position 14887: 0.00116655984879103
Position 805: 0.0009556068194386193
Position 526: 0.0008825588587582857
Position 292: 0.0007266808295508828
Position 422: 0.0006517464745973019
Position 1684: 0.0005641663709657736
Position 638: 0.0005445315551462811
Position 622: 0.0005186382374570205
Position 195: 0.0005000417883029103
Position 577: 0.0004969569351098897
Position 1821: 0.000495298851948151
Position 1033: 0.0004899035065104754
Position 1322: 0.0004469256318052185
Position 1601: 0.0004318450224821855
Position 134: 0.00040500790186814
Position 263: 0.0003948059651091182
Position 1655: 0.0003373345853851875
Position 1435: 0.00031274901200125353
Position 1852: 0.0003059839126027771
Position 56: 0.0002830941203549682
Position 265: 0.00025731801916530994
Position 86: 0.00022495286796165995
Position 378: 0.00022428068621721338
Position 2204: 0.00021832578064090834
Position 41: 0.0001918822194703003
Position 181: 0.00018841533757536758
Position 2051: 0.00018467382877394576
Position 613: 0.00017100224285280166
Position 3607: 0.00016338384639065298
Position 551: 0.0001552676248847755
Position 1087: 0.00014019434658241804
Position 2484: 0.0001286948704706742
Position 17606: 0.00011722155944271825
Position 803: 0.00011655066355110767
Position 15972: 0.00010217393885005767
Position 1958: 9.57538866414541e-05
Position 1701: 8.776986816282558e-05
Position 3490: 8.342379097243543e-05
Position 12779: 8.255657386536758e-05
Position 5164: 5.893631850640704e-05
Position 123: 5.309667462934982e-05
Position 4: 4.037660823512489e-05
Position 340: 3.925567434813888e-05
Position 189: 3.3396315652273535e-05
Position 717: 3.11891611342966e-05
Position 2501: 3.063893734434079e-05
Position 1836: 2.563617103103584e-05
Position 3526: 2.5306962230928513e-05
Position 3850: 2.3453884358300265e-05
Position 10: 2.2822481361868682e-05
Position 781: 2.1944040160947676e-05
Position 1943: 1.9342932863313532e-05
Position 2117: 1.8318923128310815e-05
Position 110: 1.766324974023239e-05
Position 2394: 1.4536363218656093e-05
Position 809: 9.646297864638891e-06
Position 3818: 8.705392400937805e-06
Position 1569: 7.5818077588081e-06
Position 1237: 6.320029765441314e-06
Position 12544: 5.356731883788309e-06
Position 7641: 5.1136238620417375e-06
Position 887: 4.985934757422673e-06
Position 13129: 4.7305002240413715e-06
Position 7370: 3.9815327135679046e-06
Position 3971: 3.936890637709024e-06
Position 3161: 3.718854208938317e-06
Position 2569: 3.0030800440496058e-06
Position 2096: 2.8804676792609683e-06
Position 2355: 2.840561335204411e-06
Position 4006: 2.8090360765629226e-06
Position 2436: 2.659347501810697e-06
Position 368: 2.3314796632307674e-06
Position 4014: 2.319145526037525e-06
Position 176: 2.187896195138608e-06
Position 284: 2.0471109426714696e-06
Position 4780: 1.5497462073811523e-06
Position 436: 1.2456322302009103e-06
Position 154: 1.0695516634036142e-06
Position 2001: 1.0452644101154985e-06
Position 2183: 1.0194519955325677e-06
Position 2037: 1.0018354954082614e-06
Position 2503: 9.384278166841189e-07
Position 2017: 9.05075700229942e-07
Position 271: 8.292632726745093e-07
Position 2718: 7.840417150702745e-07
Position 2848: 7.43831841236635e-07
Position 269: 6.399699743828781e-07
