Gene = C1QTNF3-AMACR
index = 151
Annotated 5SS: [   111  88882  91225  95775 100620 103942 118773 125888]
Annotated 3SS: [ 88769  91069  95644 100519 103785 118628 125700 135025]
SMsplice 5SS: [   111  72647  88882  91124  95775 100620 116225 118773 119955 125888
 130581]
SMsplice 3SS: [ 72417  88769  91069  95644 100519 116122 118628 119793 125700 130407
 135025]
top_k =  1000
Partition function (log Z): -63.793734135404684

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.5508262221326483
Position 189: 0.27595475852564105
Position 4038: 0.18346638395120776
Position 145: 0.17015472206470114
Position 15581: 0.12721496034724816
Position 10334: 0.10907277760272195
Position 2399: 0.09822681958628919
Position 4031: 0.0525696386114498
Position 3186: 0.04655442814423411
Position 16629: 0.039459457539098075
Position 20521: 0.03914246194323581
Position 22332: 0.03680851823723508
Position 8426: 0.022716269441113095
Position 2820: 0.0163368938893826
Position 5007: 0.01423572741070065
Position 1377: 0.01399766883019968
Position 11386: 0.01005017443021899
Position 16712: 0.010034423363887426
Position 3795: 0.0018735592389702031
Position 2796: 0.0018073354573739195
Position 530: 0.001659623226740421
Position 1251: 0.0011686633537180448
Position 380: 0.0003942879545195577
Position 4207: 0.00037920194420823457
Position 10350: 0.0003164891974669445
Position 2575: 0.000281756974237318
Position 499: 0.00026431827285974417
Position 372: 0.00010768604957488672
Position 400: 8.504370806514569e-05
Position 1558: 7.346370126965506e-05
Position 404: 4.947847100827053e-05
Position 1179: 4.825013762538784e-05
Position 245: 4.5238475001335516e-05
Position 769: 2.882887575242611e-05
Position 831: 2.5048227981146356e-05
Position 672: 1.9176308169411522e-05
Position 567: 1.6681121564807413e-05
Position 1183: 1.5664214948619035e-05
Position 1391: 1.5060482851179927e-05
Position 991: 1.4490881071261356e-05
Position 988: 1.15606524972837e-05
Position 862: 7.811164844409365e-06
Position 592: 7.791454159287064e-06
Position 4: 6.9998916862030315e-06
Position 274: 6.1695710817298965e-06
Position 1780: 3.097197844098057e-06
Position 1336: 3.000135330221723e-06
Position 1847: 1.9340978208015955e-06
Position 4042: 1.7155332202035333e-06
Position 55: 5.432518253795936e-07
Position 981: 4.558288347953192e-07
Position 3089: 4.083878188804795e-07
Position 577: 3.598056439281479e-07
Position 983: 3.37238502770718e-07
Position 174: 2.829426136302986e-07
Position 496: 2.610940938275764e-07
Position 378: 2.513685592886852e-07
Position 1139: 2.2238627818090138e-07
Position 384: 2.1430376282320003e-07
Position 1110: 1.58405549806606e-07
Position 182: 1.5401636833538199e-07
Position 476: 1.5073494291915635e-07
Position 454: 1.428491686172418e-07
Position 35: 1.2413453376376722e-07
Position 43: 1.167000815289529e-07
Position 764: 1.1582592702183012e-07
Position 762: 1.13391353893639e-07
Position 579: 1.0003747571342614e-07
Position 1332: 7.422355677794147e-08
Position 1506: 6.826719805110089e-08
Position 1867: 6.106603318353097e-08
Position 1285: 5.7693858361511116e-08
Position 2037: 5.216495119189586e-08
Position 1900: 3.793776057374595e-08
Position 1057: 3.636535877786086e-08
Position 2169: 2.8337631903892982e-08
Position 1535: 2.3137898374766448e-08
Position 1813: 2.197978109752426e-08
Position 1679: 1.5135819858407395e-08
Position 1511: 1.4151465681789354e-08
Position 938: 3.806998932223641e-09
Position 600: 2.1334317826429335e-11
Position 558: 1.2393543460917552e-11
Position 386: 8.899243189830788e-12
Position 1635: 8.678338537963167e-12
Position 1468: 7.261958779306782e-12
Position 235: 5.390555619184214e-12
Position 1395: 4.1121929401298016e-12
Position 700: 3.987553883114875e-12
Position 1345: 3.835148143397006e-12
Position 849: 3.70778891255383e-12
Position 1585: 2.6822103870273753e-12
Position 205: 2.4427503900821203e-12
Position 7: 1.5293056150862716e-12
Position 430: 3.0574816613022554e-15
Position 468: 2.6066127233061033e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 21953: 0.8756467401428356
Position 15349: 0.14067690482241826
Position 3949: 0.1177726359418583
Position 3872: 0.09964911755185832
Position 2268: 0.09498834303688912
Position 16517: 0.05419396305868631
Position 10164: 0.046332519883676884
Position 20273: 0.043520274604281435
Position 22466: 0.03680851823723508
Position 10237: 0.029601415087571373
Position 10207: 0.027036032788920028
Position 14225: 0.025118111697245597
Position 3045: 0.020502233003974548
Position 8343: 0.01963230884957887
Position 11305: 0.013654701205560634
Position 11564: 0.013257989608141422
Position 3906: 0.01257789186820396
Position 2701: 0.011473024517981987
Position 1206: 0.009878275807192458
Position 11866: 0.009501211169373731
Position 2996: 0.009166773307601217
Position 3093: 0.007693554279944744
Position 9558: 0.006732944748884501
Position 4924: 0.006037798903879391
Position 3179: 0.005894037401490984
Position 10271: 0.005450372820659463
Position 1156: 0.005271702622093721
Position 10534: 0.005020836650760431
Position 3822: 0.004213993750468032
Position 8199: 0.004171045575431288
Position 1846: 0.0041614798571489135
Position 11385: 0.0036874784243702717
Position 4880: 0.0035366567408402715
Position 2249: 0.003446658603093125
Position 11567: 0.0033425623894833326
Position 10192: 0.0028192702101030994
Position 13735: 0.0025810143562821066
Position 2523: 0.0024352407857187912
Position 3592: 0.0023442098807390497
Position 4959: 0.002151421456256867
Position 2735: 0.0020920773915317384
Position 10467: 0.002048776678767728
Position 3010: 0.0019125298103984624
Position 11285: 0.0018719820644111304
Position 4790: 0.0016709665470755206
Position 10598: 0.0016397011235372984
Position 8804: 0.0014828145551266532
Position 3096: 0.0012801494216529395
Position 4801: 0.0012633091420874432
Position 2680: 0.0012096165737757805
Position 3702: 0.0011986085899785741
Position 4133: 0.001134091653948572
Position 13145: 0.0009125608016213095
Position 16057: 0.0007228649055777841
Position 15103: 0.0006497148114938783
Position 11036: 0.0005863531647778604
Position 1232: 0.0005676811497310427
Position 2529: 0.0005290469292412039
Position 2219: 0.0005272181024700487
Position 2037: 0.0004193618828750164
Position 9293: 0.0003834909346530818
Position 9032: 0.00038282847533491643
Position 6579: 0.0003791257801237571
Position 3794: 0.0003601913615040386
Position 2769: 0.00035575624420518004
Position 2349: 0.0003474786821157915
Position 878: 0.00034548640597607935
Position 2105: 0.0003377158234750872
Position 2197: 0.0003275204762987822
Position 3135: 0.00030466451254294494
Position 5298: 0.0003029997198149162
Position 4509: 0.00029059320550279454
Position 3539: 0.00024147517835561985
Position 4996: 0.00024056376300207806
Position 5715: 0.00023596450563305443
Position 9084: 0.00022578398315325845
Position 2295: 0.0002150175625929503
Position 1615: 0.00019885688055557235
Position 2305: 0.00017651456771050023
Position 1870: 0.00017003829569432866
Position 733: 0.00016995240098883644
Position 491: 0.00014767730312293588
