Gene = CALD1
index = 274
Annotated 5SS: [   100  64322  88155 149251 154428 156116 161588 168120 170865 178463
 178641 180462 180979 185737]
Annotated 3SS: [ 64233  88042 149103 153337 156037 161441 167857 170723 178418 178558
 180323 180882 185655 188689]
SMsplice 5SS: [   100   4867  38988  42412  64322  67214  74015  88155 112024 123378
 149251 161588 170865 178463 178641 180462 185737]
SMsplice 3SS: [  4679  38830  42334  64233  66986  73891  88042 111926 123253 149103
 161441 170723 178418 178558 180323 185655 188689]
top_k =  1000
Partition function (log Z): -85.64928290514578

Sorted 5' Splice Sites (High to Low Probability):
Position 100: 0.9863548533336034
Position 4867: 0.7148179893758252
Position 3890: 0.1319354118484027
Position 1468: 0.1222706703909183
Position 8191: 0.08541799282798793
Position 3839: 0.06413220154830883
Position 3119: 0.058601587552321394
Position 7062: 0.04940188276268766
Position 5419: 0.04238529236358912
Position 3140: 0.038922782493349455
Position 4067: 0.038463681500112826
Position 7962: 0.03353636115373129
Position 1228: 0.030455160965469286
Position 4198: 0.02201209415307093
Position 4338: 0.017438316728411594
Position 1318: 0.017433281384906515
Position 4796: 0.01276901053540213
Position 184: 0.00927435675570594
Position 7662: 0.007026372868060069
Position 3382: 0.006922983110365056
Position 643: 0.006676370066892893
Position 4387: 0.005095585239278077
Position 8825: 0.004279640991038169
Position 4938: 0.004226623640436461
Position 2045: 0.003309728750854909
Position 3414: 0.0031546189373911015
Position 7834: 0.002359990333981525
Position 2644: 0.001925954737909065
Position 10098: 0.001797741072888145
Position 2251: 0.0017364776159332275
Position 780: 0.0014560646013027196
Position 3602: 0.001410834918912345
Position 3532: 0.0013384432835075405
Position 2390: 0.0011756976528963616
Position 5508: 0.0011360931565421804
Position 1474: 0.0011117828800333756
Position 732: 0.0009606757340209047
Position 5127: 0.0007672319583840639
Position 2628: 0.0007464745426944806
Position 3781: 0.0006721343141564483
Position 4092: 0.0006717795613175876
Position 2661: 0.0005769090502427012
Position 2112: 0.000526964050910317
Position 503: 0.0004989267478516891
Position 3336: 0.0004743774673645027
Position 3886: 0.000456738075916136
Position 2983: 0.00042398534512024487
Position 8896: 0.0003390859167195895
Position 678: 0.0003219790541372377
Position 4260: 0.000305363232614611
Position 3205: 0.0002913599606617182
Position 2070: 0.0002274655019216493
Position 7302: 0.00017521745968876372
Position 7579: 0.00014202898493688486
Position 776: 0.00010301973910533666
Position 1328: 4.226888808505577e-05
Position 683: 3.256657611157805e-05
Position 986: 3.1323530609693605e-05
Position 4923: 2.8809913248950382e-05
Position 2092: 2.2750413529458886e-05
Position 2150: 2.036991909402099e-05
Position 2332: 2.0257568609196297e-05
Position 1833: 1.7727472005481532e-05
Position 5131: 1.3409949916556967e-05
Position 1029: 9.555380709925991e-06
Position 2114: 8.853847571100393e-06
Position 1804: 6.8997309576212925e-06
Position 1138: 6.65703563171118e-06
Position 1964: 5.859761472430106e-06
Position 1844: 5.720405331483131e-06
Position 2372: 4.36990139086882e-06
Position 538: 4.028367550206294e-06
Position 325: 3.753678153926432e-06
Position 1248: 3.518161078478376e-06
Position 965: 3.1130387107614412e-06
Position 982: 2.9123671468237572e-06
Position 863: 2.3959428112127503e-06
Position 1086: 2.2308006274140485e-06
Position 431: 2.0278140640782943e-06
Position 2175: 1.9674357505354357e-06
Position 1936: 1.7456381335452012e-06
Position 1198: 1.4664013872451465e-06
Position 2075: 1.3506555023521669e-06
Position 3089: 1.3006321639553252e-06
Position 1706: 1.1603969651847233e-06
Position 1504: 1.1267248989105924e-06
Position 1321: 1.080139358856057e-06
Position 85: 1.0593109039990737e-06
Position 204: 9.565121014904662e-07
Position 953: 8.599963953504224e-07
Position 853: 8.045718834011244e-07
Position 1348: 6.2503715828988e-07
Position 989: 3.575858198067324e-07
Position 1071: 3.5120255990085897e-07
Position 1162: 3.176140787454796e-07
Position 1160: 2.423992309338643e-07
Position 604: 1.9352787515730236e-07
Position 465: 1.7633988211469395e-07
Position 1061: 1.3672419083900567e-07
Position 1369: 3.6398937314153254e-08
Position 296: 2.7369305022686672e-08
Position 71: 1.495278800880263e-08
Position 52: 1.3225909132818728e-08
Position 955: 1.1547373198851895e-08
Position 30: 1.1421605196912122e-09
Position 165: 1.1398393682305454e-09
Position 385: 5.167773491993479e-10
Position 301: 6.192845940130145e-11
Position 429: 2.939100631835026e-11
Position 736: 2.492693315750511e-11
Position 782: 3.241706034409744e-14
Position 593: 2.5227377309314102e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 4679: 0.6201209140576482
Position 21994: 0.2240461949111458
Position 3668: 0.1312164073960992
Position 4699: 0.11027580512082359
Position 8068: 0.10534408768906128
Position 1411: 0.10372831585343835
Position 5259: 0.10297361571693867
Position 13951: 0.08556032236162837
Position 3058: 0.07897698315384455
Position 8954: 0.06679096461985717
Position 8673: 0.0559746215241497
Position 7795: 0.05404078633304282
Position 14358: 0.04838017673621418
Position 3642: 0.04728752053106948
Position 3007: 0.04189653661497667
Position 6881: 0.039713439194174416
Position 16501: 0.0376290955957415
Position 1119: 0.029767187391003074
Position 9883: 0.027544101151943837
Position 7765: 0.026473997477241783
Position 4722: 0.026378996458952184
Position 3590: 0.02475113128170545
Position 7554: 0.024629099167621127
Position 4066: 0.023606656827875164
Position 8998: 0.02009238548344394
Position 12659: 0.019994526717972843
Position 7905: 0.019855750753871446
Position 16134: 0.01813692494662953
Position 10803: 0.017675111020461483
Position 12571: 0.017160280353656687
Position 4251: 0.01242570592650014
Position 11567: 0.012233187676659209
Position 10356: 0.012201652676302596
Position 3692: 0.011993925105161767
Position 1102: 0.011410792343858405
Position 6972: 0.010684808527431842
Position 8097: 0.01000586720298746
Position 8048: 0.009837883591126407
Position 3726: 0.009792289821723364
Position 4032: 0.009568806534347347
Position 5184: 0.008942863670232249
Position 11402: 0.008746185438680738
Position 6923: 0.00789780146108463
Position 10038: 0.007827147495917657
Position 1366: 0.007343113641379851
Position 4129: 0.006833650817912926
Position 1414: 0.0066286468755011535
Position 13895: 0.006400035514151414
Position 3215: 0.006368255188816313
Position 10209: 0.006241735707262009
Position 7490: 0.006185031783058301
Position 3488: 0.0057891820896452464
Position 3175: 0.005521801000024371
Position 1176: 0.00536658235382655
Position 3286: 0.005247254635887869
Position 1979: 0.004436621636140347
Position 8268: 0.004295761449371254
Position 6843: 0.0040579777815420255
Position 6481: 0.0040434605045969714
Position 10187: 0.003754985872918686
Position 578: 0.003556311775995369
Position 3882: 0.0034014458468903217
Position 2479: 0.0032970346885818603
Position 11102: 0.003098525033196361
Position 1369: 0.0029710125206359214
Position 1248: 0.0028241670989270495
Position 1461: 0.002409835737080347
Position 8241: 0.0022706944730535587
Position 1251: 0.0021958489804417224
Position 8025: 0.002086927635477883
Position 8587: 0.001593901730356464
Position 4132: 0.0015918775521513496
Position 593: 0.001441024145655814
Position 6049: 0.0014236137375826263
Position 6216: 0.001156214705324266
Position 3441: 0.0011147894709796543
Position 7627: 0.0010530116457358484
Position 6325: 0.0010484171190778611
Position 5326: 0.0009576637847183605
Position 2132: 0.0009576001246708475
Position 165: 0.0007865868299933359
Position 8100: 0.000762169751745914
Position 6250: 0.0007588715816294072
Position 537: 0.0007155710918407786
Position 373: 0.0007099083348131601
Position 1917: 0.0006716648639407364
Position 2331: 0.0006619011079584547
Position 853: 0.0006150059993200401
Position 4727: 0.000598335849600607
Position 424: 0.0005901404860321695
Position 5329: 0.0005396661131437867
Position 3813: 0.0005215506639238612
Position 10144: 0.0005102942119053301
Position 2175: 0.0005053997310787185
Position 1936: 0.0004565879420870515
Position 7684: 0.00045508635238438475
Position 1875: 0.00044044657912369045
Position 6819: 0.000435403737620931
Position 1832: 0.00043531511214417456
Position 3843: 0.00042513940944083887
Position 2251: 0.00036270955560054616
Position 2572: 0.0003479499142233501
Position 4270: 0.0003246437316760292
Position 1621: 0.00028227296478350517
Position 4217: 0.00027928926462865715
Position 8271: 0.00023754900057863085
Position 492: 0.00022682786333345995
Position 617: 0.00021880782799886414
Position 5007: 0.00021300125373639454
Position 909: 0.0002049105925380502
Position 2915: 0.0002037991024116952
Position 2934: 0.00018866078668561932
Position 1009: 0.0001859100145356469
Position 5654: 0.00018161737060624303
Position 1186: 0.00017628410351603585
Position 1556: 0.00016892889042288331
Position 4183: 0.00016699257718593764
Position 3615: 0.00015997427233524456
Position 390: 0.00015939628406669664
Position 5063: 0.000156811704779022
Position 1129: 0.0001535184985740101
Position 2971: 0.0001515474937803376
Position 1043: 0.00014326630828295105
Position 1736: 0.00013839189717114968
Position 2856: 0.00013037610789721737
Position 395: 9.67909920906376e-05
Position 4507: 9.331408980611989e-05
Position 1430: 8.392930136441224e-05
Position 5822: 8.040466065611004e-05
Position 7162: 7.768167778294476e-05
Position 2889: 6.290843233946652e-05
Position 4451: 6.276120419463791e-05
Position 1190: 6.251111758120805e-05
Position 1071: 6.119182619578285e-05
Position 830: 5.987067351077962e-05
Position 1529: 5.828665631440035e-05
Position 3140: 5.5692050919501005e-05
Position 4113: 5.5363652127658316e-05
Position 7224: 5.190561947126695e-05
Position 308: 4.626362515499041e-05
Position 183: 4.6006515114865855e-05
Position 3544: 4.465279207613921e-05
Position 793: 4.4544255272174634e-05
Position 965: 4.27345251361526e-05
Position 1226: 3.5390191964324406e-05
Position 2727: 3.140709790255827e-05
Position 625: 2.6708319699389424e-05
Position 1706: 2.5826914039606322e-05
Position 2945: 2.331465625057518e-05
Position 1223: 1.8551366098063637e-05
Position 2777: 1.1774985352987347e-05
Position 2589: 1.0969860725786597e-05
Position 2895: 1.0145694107593353e-05
Position 1321: 9.494021619019757e-06
Position 2335: 6.936321977978165e-06
Position 1013: 6.020592743181523e-06
Position 2001: 4.774644014835349e-06
Position 2207: 3.770406812076401e-06
Position 938: 3.5986128502584263e-06
Position 2718: 3.2868866535805776e-06
Position 1266: 2.5748919653207147e-06
Position 2179: 2.4616196085030824e-06
Position 465: 2.2456147423319095e-06
Position 1348: 2.084434555064777e-06
Position 378: 1.914426520033488e-06
Position 1203: 1.4801619787623472e-06
Position 1879: 1.3893593855553622e-06
Position 1086: 1.3767039258016132e-06
Position 2506: 1.3522559195431186e-06
Position 872: 1.2514548045638348e-06
Position 452: 1.2190592480494768e-06
Position 2608: 1.154141475409249e-06
Position 1836: 1.1231133345396379e-06
Position 968: 1.0988784457033942e-06
Position 429: 1.0873884151956919e-06
Position 604: 9.973908952445614e-07
Position 1815: 8.33961800281314e-07
Position 2255: 7.67261160419982e-07
Position 942: 7.479384298629367e-07
Position 350: 6.437084590051605e-07
Position 2966: 5.676570534083797e-07
Position 274: 5.145747202085862e-07
Position 1663: 4.688105957940742e-07
Position 1208: 3.8704620006776856e-07
Position 549: 3.789787563393476e-07
Position 712: 3.097284636967882e-07
Position 1274: 2.591271899091624e-07
Position 2491: 2.5279628296636496e-07
Position 797: 2.4833874448078565e-07
Position 500: 1.8224486589503728e-07
Position 913: 1.5860034838807097e-07
Position 210: 1.0394860667207608e-07
Position 716: 8.984862255976637e-08
Position 556: 8.424628217784012e-08
Position 296: 6.892657103046416e-08
Position 404: 4.973223276618472e-08
Position 435: 4.805167091585463e-08
Position 187: 3.902595266540589e-08
Position 502: 3.84431372424969e-08
Position 282: 3.305160977335772e-08
Position 647: 2.8544266537832397e-08
Position 776: 2.724589588821193e-08
Position 760: 2.6607661871917204e-08
Position 992: 2.326499068646963e-08
Position 719: 2.1771550135609313e-08
Position 2238: 2.049666240978449e-08
Position 439: 1.181954185419539e-08
Position 1630: 9.339270699899427e-09
Position 134: 9.05500538081647e-09
Position 874: 4.2938344655581966e-09
Position 649: 1.868665570549388e-09
Position 672: 1.1404920781773683e-09
Position 762: 1.1371672232065461e-09
Position 1333: 1.1120074866900915e-09
Position 655: 8.887093072798573e-10
Position 634: 7.423413981936038e-10
Position 235: 7.363071583297379e-10
Position 546: 5.752464631925665e-10
Position 727: 3.9853905389530947e-10
Position 193: 9.095446129663055e-12
Position 336: 5.111819244492216e-12
Position 200: 2.5846409856698887e-12
Position 320: 1.9301182461913212e-12
Position 323: 1.7285218113888602e-12
Position 665: 1.6797523683395695e-12
Position 627: 1.2665318204861668e-12
Position 338: 6.619981669543806e-13
Position 657: 6.327272639468813e-13
Position 288: 9.068714147458354e-14
Position 325: 8.087360657707608e-14
Position 138: 2.5531682377852765e-15
Position 136: 7.621106518084763e-16
Position 99: 6.626444668613891e-18
Position 113: 5.256891208493219e-18
Position 110: 3.771337619240262e-18
Position 104: 8.992002313429765e-19
