Gene = MGST3
index = 842
Annotated 5SS: [  433 19104 20227 21175 23491]
Annotated 3SS: [18979 20152 21116 23417 24506]
SMsplice 5SS: [  104  4962 15872 19104 20227 21175]
SMsplice 3SS: [ 4865 15707 18979 20152 21116 24506]
top_k =  1000
Partition function (log Z): -0.15642313288813403

Sorted 5' Splice Sites (High to Low Probability):
Position 19104: 0.9887143966877073
Position 20227: 0.972001596743766
Position 21175: 0.8667721662707508
Position 4962: 0.8516139710080782
Position 104: 0.5810362725346832
Position 433: 0.556494628311175
Position 15872: 0.4305685139596181
Position 15793: 0.3564491129864794
Position 1282: 0.3315169157362316
Position 9757: 0.2994114510020482
Position 16157: 0.2871605754226117
Position 21445: 0.284842192756898
Position 14178: 0.25704613313780866
Position 17440: 0.24402371805911627
Position 3813: 0.15131625287336492
Position 23491: 0.1331145507990932
Position 4576: 0.11613071738274788
Position 1300: 0.09648525946281701
Position 895: 0.08653202544271726
Position 19501: 0.07398688267473146
Position 4620: 0.0700086044429245
Position 2268: 0.059835084498310015
Position 21656: 0.052043011777550476
Position 1549: 0.050158801425755635
Position 1473: 0.049519393001067696
Position 19609: 0.04863877124530568
Position 8207: 0.035580716026600304
Position 1477: 0.029191467386215433
Position 16200: 0.02703165415794777
Position 8389: 0.025325829301208285
Position 9142: 0.02335025301283108
Position 20695: 0.018903137167456095
Position 19791: 0.018030040514525305
Position 9270: 0.017618789851785308
Position 20046: 0.01570839913684578
Position 1414: 0.015658687494393683
Position 4119: 0.015440971203376244
Position 11375: 0.014776584437429865
Position 939: 0.01426311140538458
Position 21532: 0.013893932386304476
Position 20267: 0.013214479310802487
Position 916: 0.012799262967783056
Position 16233: 0.012620451761264391
Position 20766: 0.01260339067376429
Position 7647: 0.009924646902127965
Position 20771: 0.009860316725109779
Position 3565: 0.009842084831869241
Position 1195: 0.008850350096391589
Position 8365: 0.00817695144159933
Position 21867: 0.007586736554649941
Position 424: 0.006262465090001153
Position 4957: 0.006067732621611857
Position 2046: 0.005758403869932808
Position 15813: 0.005512077863947381
Position 10759: 0.005010857009308361
Position 8405: 0.004771885822255794
Position 20681: 0.004420963265391907
Position 21403: 0.0041259730827251815
Position 20084: 0.004077674196614929
Position 20812: 0.00374715024013802
Position 11157: 0.003725563312853366
Position 22278: 0.003615560481472107
Position 5694: 0.0033337930337165992
Position 9780: 0.0026793885857861344
Position 19829: 0.002632227606427787
Position 9935: 0.0024848703784363275
Position 23369: 0.00212900201110504
Position 20550: 0.00208620846650723
Position 20602: 0.0020850995016088785
Position 24194: 0.0018629602200363057
Position 21688: 0.0015159629105173011
Position 20372: 0.001386566868318554
Position 11400: 0.0013522860852479615
Position 21191: 0.0012565718805941225
Position 1016: 0.001232562824733492
Position 21935: 0.0011016373947467118
Position 23208: 0.0010627187488977327
Position 870: 0.00092405049736577
Position 22925: 0.000907430055393599
Position 24560: 0.0008151931204050883
Position 24258: 0.0006748930778268882
Position 317: 0.0006296947312215505
Position 20607: 0.0005568676230208925
Position 572: 0.0005404287246869837
Position 22294: 0.0005084137001451588
Position 3467: 0.00045816638130639887
Position 23151: 0.00044433784109641246
Position 3450: 0.00042238305217261597
Position 702: 0.0004208501612236218
Position 10058: 0.0004135853110322122
Position 21629: 0.0003022625720550023
Position 1556: 0.0003015148148262259
Position 20976: 0.00028942021919363815
Position 45: 0.0002823207087792781
Position 24597: 0.0002537562423565492
Position 20631: 0.000228278566261925
Position 24602: 0.00022693590359279143
Position 2650: 0.00022572375524103575
Position 123: 0.00022059522177692443
Position 852: 0.00021887282599315292
Position 1080: 0.0001727797598346044
Position 1064: 0.00015645615988388943
Position 20330: 0.00013461775863648562
Position 186: 0.00011938831756984935
Position 20830: 0.00011523345124740683
Position 20233: 0.00011347743909404466
Position 21210: 0.00011297038055846222
Position 2238: 0.00011177374651090905
Position 888: 9.083628302582185e-05
Position 3516: 8.90783421105671e-05
