Gene = CMTM7
index = 384
Annotated 5SS: [  395 50343 57882 60803]
Annotated 3SS: [50168 57782 60720 62569]
SMsplice 5SS: [  395 28689 50343 57882 60803]
SMsplice 3SS: [28568 50168 57782 60720 62732]
top_k =  1000
Partition function (log Z): -32.73834865320319

Sorted 5' Splice Sites (High to Low Probability):
Position 395: 0.9371298827892942
Position 5738: 0.4160656274833071
Position 11454: 0.16581006560249373
Position 1361: 0.11401316409611541
Position 7872: 0.11028524502856832
Position 3612: 0.1027724930431699
Position 9737: 0.09969675819878211
Position 8154: 0.08036306849242157
Position 4034: 0.0776798217222862
Position 6339: 0.032226005969153676
Position 6256: 0.029438113245181773
Position 1028: 0.028478264194853775
Position 902: 0.014018839854120503
Position 6760: 0.01252516782201814
Position 2892: 0.010922691566977207
Position 6307: 0.004416867084730492
Position 399: 0.004289455431767085
Position 17001: 0.004102725900792645
Position 14477: 0.003408205249992211
Position 2856: 0.0033372688278872327
Position 7793: 0.0032431682869341616
Position 633: 0.0029769897428317243
Position 6885: 0.0026386983537299677
Position 11490: 0.0019526967528022434
Position 5553: 0.0019434681874527765
Position 6704: 0.0018026638071240715
Position 5338: 0.0015093219399571606
Position 9677: 0.0012853006809562645
Position 6005: 0.001282956206017676
Position 4940: 0.0011693381875602345
Position 423: 0.0010287059448727078
Position 7877: 0.0009122817462577363
Position 4707: 0.0004094627887473043
Position 4952: 0.00039578332733576074
Position 11442: 0.00021645605988801346
Position 6764: 0.0001834472068058892
Position 7425: 0.0001833720434547093
Position 10005: 0.0001761067684595688
Position 3303: 0.0001690186986082048
Position 180: 0.00013520130574764183
Position 6351: 0.000128256645502047
Position 102: 0.00012161085430979171
Position 1760: 0.00011424151346046217
Position 1378: 0.00010512902824853497
Position 2886: 0.0001007859014905477
Position 536: 8.261642384263205e-05
Position 6916: 7.961245537766109e-05
Position 1001: 6.909336511900337e-05
Position 883: 6.488387749050168e-05
Position 1060: 5.665197459890101e-05
Position 6658: 5.647288992838639e-05
Position 452: 3.799364806837775e-05
Position 9113: 3.5904099783583184e-05
Position 982: 2.7204559487278683e-05
Position 2135: 1.7157517770900907e-05
Position 2049: 1.2925126327294023e-05
Position 268: 1.1147015822579953e-05
Position 5849: 1.096900799284687e-05
Position 1068: 9.940790379954468e-06
Position 1440: 9.599106529331535e-06
Position 1309: 8.677423127715254e-06
Position 965: 8.595600662031552e-06
Position 1346: 6.851263878501395e-06
Position 642: 5.711716968662396e-06
Position 2122: 5.5271183260258605e-06
Position 383: 5.088755551234763e-06
Position 2023: 4.026788143808879e-06
Position 6047: 3.8105071025221796e-06
Position 1032: 2.858755287060133e-06
Position 1409: 2.818281653030265e-06
Position 947: 2.639440220568214e-06
Position 1138: 2.004852012271269e-06
Position 1901: 1.978154423448637e-06
Position 876: 1.692389860288083e-06
Position 649: 1.6710718821490516e-06
Position 768: 1.4597598578314627e-06
Position 1520: 1.42615052596754e-06
Position 257: 1.3238172220426552e-06
Position 910: 1.0512312392473981e-06
Position 1246: 1.021454693708985e-06
