Gene = RSG1
index = 1214
Annotated 5SS: [ 532 3551 4270 4653]
Annotated 3SS: [3397 4144 4515 4864]
SMsplice 5SS: [ 151  532 3551 4270 4613]
SMsplice 3SS: [ 381 3397 4144 4515 4864]
top_k =  1000
Partition function (log Z): 4.598670512569929

Sorted 5' Splice Sites (High to Low Probability):
Position 3551: 0.9936935177439956
Position 532: 0.8524606323503161
Position 4613: 0.8320359362381528
Position 4270: 0.8282080251841621
Position 151: 0.6223277317227727
Position 3782: 0.25694452080858426
Position 919: 0.1450523994503793
Position 4653: 0.10275136577437706
Position 4947: 0.0997170234006868
Position 86: 0.0942858677099214
Position 5067: 0.06637319877446268
Position 185: 0.04122748848813893
Position 4116: 0.03079909699992436
Position 1093: 0.027507962028596532
Position 124: 0.026616964994344544
Position 4292: 0.017689947257425592
Position 1068: 0.01651103481008562
Position 2041: 0.012210622404499886
Position 2089: 0.010543820893083838
Position 881: 0.009477148511040999
Position 4752: 0.00866642179086264
Position 4056: 0.008102013152706847
Position 90: 0.006565452092704334
Position 2616: 0.006530688491135341
Position 4693: 0.0063656966418952285
Position 55: 0.006135001647981086
Position 5296: 0.0056394038893719835
Position 3523: 0.005163012821255964
Position 5155: 0.0029613371675758916
Position 3751: 0.002694011485651712
Position 4954: 0.0022984107499872453
Position 347: 0.0022528152653777337
Position 320: 0.002190750071921126
Position 817: 0.0015344113260578527
Position 1021: 0.001171986963787832
Position 4282: 0.001008650528634783
Position 4251: 0.0009522989915704332
Position 1251: 0.0008803443979146066
Position 227: 0.0008150978248305616
Position 3739: 0.0007444884095020171
Position 2208: 0.0006861918875029324
Position 4779: 0.0006804315746674612
Position 1233: 0.0006237457969534903
Position 3025: 0.000572999189538543
Position 4639: 0.0005548946563498207
Position 4677: 0.0004902908134216166
Position 2981: 0.0004131435667147804
Position 974: 0.0003906736566806179
Position 4005: 0.0003157312123694534
Position 4162: 0.0003021224040038955
Position 525: 0.00030124709832598937
Position 2441: 0.0002955570970965199
Position 442: 0.0002115817143394585
Position 4317: 0.0002038494631179963
Position 629: 0.00020055068556407328
Position 21: 0.00016796951411958178
Position 797: 0.00016099938991298885
Position 4218: 0.00014974514439942326
Position 1749: 0.00012540059855246788
Position 3023: 0.00012154369423459483
Position 207: 0.00012003395424765844
Position 2081: 0.0001089948467931894
Position 4420: 0.0001039309470918955
Position 2536: 0.00010094368831487921
Position 2359: 8.037281815422519e-05
Position 831: 7.370816622481518e-05
Position 4956: 7.282574225259043e-05
Position 49: 6.60377461902255e-05
Position 4625: 6.412777861022136e-05
Position 4296: 4.772312307367549e-05
Position 5380: 4.592627551120062e-05
Position 1811: 4.515671927075002e-05
Position 2114: 4.019937764565888e-05
Position 4485: 3.637695543452052e-05
Position 2104: 3.628729399167905e-05
Position 309: 3.3599981402635267e-05
Position 3884: 2.7473100762160652e-05
Position 4082: 2.6043541961322264e-05
Position 4015: 1.706205319101479e-05
Position 3688: 1.5392493662796284e-05
Position 136: 1.2603526091947071e-05
Position 4493: 1.1082524237552899e-05
Position 4236: 1.0831259186971732e-05
Position 205: 1.049772848630233e-05
Position 3715: 9.65106478283954e-06
Position 4206: 7.65811937578844e-06
Position 3532: 7.421416282016087e-06
Position 3555: 6.5643391785536525e-06
Position 3479: 4.689754851918082e-06
Position 3742: 4.660756215934096e-06
Position 3748: 4.0015089131366825e-06
Position 170: 3.963987300010036e-06
Position 3499: 3.763901938122698e-06
Position 3745: 3.374023818203913e-06
Position 488: 2.6036858119560406e-06
Position 447: 2.5445428386371146e-06
Position 527: 1.9843976264534943e-06
Position 410: 1.0046534843375874e-06
Position 536: 6.111947116071535e-07
Position 1117: 4.903591313721427e-07
Position 4630: 3.6927826169935304e-07
Position 1325: 3.364121688885874e-07
Position 1719: 3.2117010025281557e-07
Position 1905: 2.937407861371982e-07
Position 61: 2.079282906550599e-07
Position 3850: 1.0990627851981102e-07
Position 472: 4.557170013694031e-08
Position 5122: 3.123453024188536e-08
Position 352: 1.3388261031816936e-08
Position 450: 1.5065491361615623e-09
Position 734: 2.877596467249864e-10
Position 587: 9.598583969472159e-11
Position 453: 7.049240848972665e-13
Position 596: 8.263384798233747e-18
Position 567: 3.1869998041340733e-18
Position 388: 6.51712019026923e-20
Position 435: 3.9789095955709373e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 3397: 0.957447128890333
Position 4864: 0.9308074550721198
Position 4515: 0.8360381873641312
Position 4144: 0.7882615261300876
Position 381: 0.49015236029971254
Position 3642: 0.24097644639730537
Position 417: 0.15127413422188415
Position 720: 0.150691546890111
Position 5154: 0.13362668983360712
Position 4582: 0.06590189616970157
Position 3987: 0.05931680774489771
Position 3449: 0.039875440209643426
Position 5279: 0.03599798952232454
Position 5097: 0.022278518050876345
Position 4174: 0.021834651340707955
Position 1967: 0.021053866899990694
Position 5444: 0.01838905910651633
Position 4391: 0.01723758267752547
Position 4474: 0.016666076456439204
Position 874: 0.015992299807534034
Position 5351: 0.01382216144921516
Position 248: 0.013664431469897936
Position 992: 0.011044029804482148
Position 3736: 0.010926517667056622
Position 3695: 0.006918423450378272
Position 4420: 0.006604526462927548
Position 4464: 0.006520390360245288
Position 3922: 0.006044648320022396
Position 738: 0.005716056308202597
Position 4152: 0.004737481520642177
Position 2512: 0.004413572523887549
Position 996: 0.00427920251003117
Position 4534: 0.004266672279893409
Position 427: 0.0036294682746681366
Position 5166: 0.0027714831206942774
Position 227: 0.002664996514657091
Position 1944: 0.0023891461661762984
Position 4120: 0.002268579963037339
Position 4830: 0.0021863327227010045
Position 5048: 0.0020950126610145884
Position 4612: 0.002042955940255576
Position 4035: 0.0019223265415365285
Position 4750: 0.0018842956810196192
Position 4922: 0.0017736647631828835
Position 4596: 0.0017671700870889283
Position 3950: 0.0017616309953589506
Position 3738: 0.0013889633015964982
Position 650: 0.0010320886688842577
Position 4874: 0.0010072139111675115
Position 823: 0.0009721945254543108
Position 1152: 0.0009527141424508844
Position 789: 0.0008894315834978258
Position 848: 0.0008422882618007009
Position 4218: 0.0007802695932648886
Position 916: 0.000778564355244374
Position 2929: 0.0007578038641783217
Position 2518: 0.0007319931541130407
Position 2535: 0.0006985534802735186
Position 3474: 0.000682383890909876
Position 4791: 0.000652812010617904
Position 1018: 0.0005793769287597595
Position 1998: 0.0005463304833045775
Position 722: 0.0004772060017179242
Position 3415: 0.0004223313714927898
Position 1003: 0.00041025352842481065
Position 4438: 0.00038932302808213304
Position 5060: 0.00038300153183424944
Position 4634: 0.00038150212810148486
Position 5205: 0.0003814911598088359
Position 744: 0.0003788836008603633
Position 1185: 0.0003676724951410946
Position 4716: 0.00034941833726826534
Position 4911: 0.0003214766721931876
Position 3866: 0.0002767898692027614
Position 4609: 0.0002743649872489959
Position 4185: 0.000265481822205045
Position 918: 0.0002543586192594328
Position 761: 0.0002499610747503491
Position 955: 0.00023780514239979817
Position 3360: 0.0002361205074363866
Position 1780: 0.0002324539830088639
Position 3763: 0.00022201688547590374
Position 4179: 0.00019155854792860655
Position 886: 0.00018725853363855732
Position 1010: 0.00017942477752931905
Position 1869: 0.00017365219339941814
Position 5265: 0.0001734744855187927
Position 2835: 0.00016861031290172664
Position 773: 0.00016026121380607712
Position 2383: 0.00016025740212350417
Position 4046: 0.00016000257296079883
Position 3165: 0.00014930381294648066
Position 2787: 0.00014637534339307837
Position 3926: 0.00014448760126552768
Position 5229: 0.00013535051194801497
Position 791: 0.00011182482690233781
Position 1034: 0.00011100662701372633
Position 758: 0.0001102375520058443
Position 1670: 0.00010555207845340383
Position 5215: 0.00010527692519949328
Position 3962: 0.00010222098009190074
Position 3952: 0.00010136331452452636
Position 3283: 0.00010049386041367966
Position 3713: 9.140122971031333e-05
Position 4844: 9.138808524876379e-05
Position 556: 8.963145449726446e-05
Position 1188: 8.615843737417895e-05
Position 4369: 7.91626904140767e-05
Position 472: 7.878358667466762e-05
Position 797: 7.691864299282628e-05
Position 2303: 7.63387388457585e-05
Position 5422: 7.595460020564077e-05
Position 616: 7.50022452592136e-05
Position 608: 7.251473797776983e-05
Position 5291: 6.952278711490313e-05
Position 2172: 6.810710365232597e-05
Position 1020: 6.243909615896965e-05
Position 4010: 6.157489680361914e-05
Position 3705: 5.8791767972029665e-05
Position 4441: 5.875593176711289e-05
Position 5391: 5.8158516196501757e-05
Position 262: 5.64649202677608e-05
Position 4898: 5.491705151522614e-05
Position 4832: 5.139769937014302e-05
Position 307: 5.089501284315692e-05
Position 3652: 4.969446212552393e-05
Position 2612: 4.568135802296767e-05
Position 3968: 4.5133788470858126e-05
Position 4397: 4.3397130431237254e-05
Position 309: 4.29102429969229e-05
Position 184: 4.2172058393780725e-05
Position 5405: 4.1934141341794085e-05
Position 689: 4.164217273876924e-05
Position 4952: 3.950112555080873e-05
Position 252: 3.862483322478245e-05
Position 2763: 3.55314752609676e-05
Position 4193: 3.507879106736519e-05
