Gene = RFK
index = 1134
Annotated 5SS: [ 416 2088 5952]
Annotated 3SS: [1935 5848 6975]
SMsplice 5SS: [ 416 2088 5952]
SMsplice 3SS: [1935 5848 7997]
top_k =  1000
Partition function (log Z): -3.516288366674964

Sorted 5' Splice Sites (High to Low Probability):
Position 2088: 0.9210503298117081
Position 416: 0.858675375950538
Position 5952: 0.8294853060343942
Position 7074: 0.3070638605373515
Position 6323: 0.30559485008975357
Position 1767: 0.23765275190712612
Position 204: 0.23285123810440025
Position 3290: 0.2244745803689997
Position 6887: 0.1645131059146869
Position 5999: 0.13847367952273965
Position 139: 0.07349750188183776
Position 4434: 0.04984779860661865
Position 706: 0.025187803283699874
Position 8433: 0.020311374908288885
Position 2040: 0.017333228979531736
Position 4296: 0.017152183639363848
Position 1100: 0.014904583227348615
Position 792: 0.014395033900230432
Position 2702: 0.01271248921352399
Position 2122: 0.011947562162914623
Position 150: 0.006618353431814878
Position 6243: 0.006615201989527007
Position 5234: 0.0055392116027739476
Position 6584: 0.004605717528134332
Position 1313: 0.004569583775026269
Position 3314: 0.0043501467134790285
Position 7358: 0.004256075075538905
Position 6724: 0.004172748629711747
Position 2752: 0.0033744989784532716
Position 370: 0.0030856114500984566
Position 1714: 0.0028573321004550394
Position 749: 0.002838182302700989
Position 642: 0.002604232519612601
Position 183: 0.0025116842232882726
Position 6290: 0.002418949961997811
Position 7000: 0.0022202705729645923
Position 1730: 0.0021901680992645945
Position 3300: 0.0019627885882909568
Position 7880: 0.001866581335663582
Position 1266: 0.001745043135196617
Position 3251: 0.0017277618811652228
Position 6927: 0.0009779309442200118
Position 582: 0.0008908179557732713
Position 7428: 0.0008432409759794932
Position 4291: 0.0008218906056941125
Position 5206: 0.0007745061902436021
Position 4128: 0.0007025639343249613
Position 8416: 0.0006733473103651133
Position 1223: 0.0006668017559976458
Position 6855: 0.0006520020772377749
Position 1367: 0.0006418310167769039
Position 7945: 0.0005873775510303529
Position 1433: 0.00047447438203029684
Position 1903: 0.0004463634180534231
Position 842: 0.00043410114170275695
Position 250: 0.00041480368815369315
Position 7116: 0.00041266882620861665
Position 7443: 0.0003932372939114286
Position 1540: 0.0003876948974344249
Position 3040: 0.0003872188219773039
Position 754: 0.00037028102739271903
Position 455: 0.0003076147670054011
Position 367: 0.0002969961709467694
Position 7164: 0.00027301171580180247
Position 2664: 0.0002521577025708494
Position 1396: 0.0002458758719144597
Position 2627: 0.0002428478501396836
Position 257: 0.00021747498070682605
Position 2261: 0.00017963113976598408
Position 1328: 0.00017710561645414274
Position 2179: 0.00013040162613364443
Position 711: 9.392807317737219e-05
Position 159: 7.263380202976379e-05
Position 2109: 5.712125571892698e-05
Position 910: 5.625318303446656e-05
Position 362: 5.100548234118227e-05
Position 1643: 4.4542004847599205e-05
Position 1520: 4.042899951438678e-05
Position 6680: 3.1910633334301796e-05
Position 192: 3.124709072235645e-05
Position 8028: 2.3070913414960904e-05
Position 3026: 1.982839361713763e-05
Position 3951: 1.903886945355737e-05
Position 2037: 1.5420795319177027e-05
Position 819: 1.45164934804377e-05
Position 2361: 1.358786414106985e-05
Position 3100: 1.2263561312531246e-05
Position 92: 1.1098197673739435e-05
Position 6250: 1.0083134700010038e-05
Position 6189: 1.0032022809843806e-05
Position 450: 9.86351067049936e-06
Position 1523: 9.777287428821868e-06
Position 556: 9.765222068538689e-06
Position 270: 9.425820262127575e-06
Position 6335: 9.173098932602485e-06
Position 785: 9.048855174852504e-06
Position 145: 7.89669495864131e-06
Position 2494: 7.533545439065911e-06
Position 811: 7.33524923025302e-06
Position 6271: 6.769364388838294e-06
Position 873: 4.594577326480159e-06
Position 180: 4.3766577158634645e-06
Position 1534: 3.741191377814328e-06
Position 4430: 3.6334545885177472e-06
Position 4418: 1.73159378793393e-06
Position 7381: 1.4690008442135187e-06
Position 173: 1.1021884073448146e-06
Position 2464: 5.2245782562779e-07
Position 3246: 1.6172617778486648e-07
Position 631: 1.5080079250287392e-07
Position 189: 1.499609652670703e-07
Position 795: 1.2768911498781394e-07
Position 715: 1.1317002691809098e-07
Position 3333: 1.1066872722322778e-07
Position 3188: 8.229341591036842e-08
Position 3209: 5.264614232684689e-08
Position 500: 4.4277004311474365e-08
Position 1987: 4.192474467124952e-08
Position 954: 3.6129219426759365e-08
Position 2190: 2.8559228483932516e-08
Position 824: 2.8046944755894427e-08
Position 573: 5.242351944159295e-09
Position 639: 3.544279536831416e-09
Position 238: 3.2660303057385265e-09
Position 436: 3.240059141095453e-09
Position 560: 2.3535274507358932e-09
Position 681: 1.716493178837723e-09
Position 3515: 1.5676214284051472e-09
Position 2150: 9.013142854074876e-11
Position 2081: 8.954314069016128e-11
Position 595: 1.1361896108694834e-11
Position 1844: 1.0895968060114077e-13
Position 1565: 1.0455935655215384e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 5848: 0.9524596837852386
Position 1935: 0.873755521122609
Position 7997: 0.7075779020197558
Position 6975: 0.38399505992522454
Position 288: 0.2266591261234083
Position 3127: 0.2161998321798065
Position 6514: 0.2061704773699024
Position 1608: 0.16313690570987632
Position 6140: 0.1567799084718013
Position 6240: 0.13365183015737792
Position 1628: 0.06890109808293089
Position 2008: 0.056598426445517366
Position 6536: 0.04909664058994114
Position 4196: 0.03753056318274601
Position 4342: 0.02492263314230066
Position 8639: 0.02456245766400981
Position 8162: 0.024533363957865005
Position 7144: 0.016038179823453926
Position 1604: 0.011821573986625561
Position 6221: 0.011465724333717812
Position 2572: 0.01060699967248521
Position 7780: 0.010597647632748775
Position 6723: 0.010339994083223863
Position 3180: 0.009788441936402383
Position 6820: 0.009506374814176401
Position 8361: 0.008965009271015015
Position 5795: 0.008276527094300367
Position 7169: 0.007713771026880907
Position 924: 0.007453396952315207
Position 5160: 0.007138952072053116
Position 5876: 0.00535640676747691
Position 8769: 0.0053183410233063316
Position 8027: 0.00496037141789882
Position 3158: 0.004770139758290384
Position 6069: 0.004073746828944351
Position 1953: 0.003375819105735203
Position 6990: 0.003335063682366771
Position 6206: 0.00318564070570518
Position 1167: 0.00290803368393498
Position 2393: 0.002746036288344455
Position 8183: 0.0026751793902945846
Position 220: 0.002673447850540311
Position 1808: 0.002608809183373107
Position 6117: 0.0025511570176224557
Position 7765: 0.002547403198425764
Position 8525: 0.00250957612799287
Position 2529: 0.0025089496000044657
Position 7813: 0.0024188547250430918
Position 6436: 0.0023602110484800317
Position 6218: 0.0023556674549240174
Position 1971: 0.002267751143932008
Position 1844: 0.00226232115456295
Position 6583: 0.0022414953547122713
Position 1032: 0.002228652281291459
Position 6664: 0.0019269524004957843
Position 4387: 0.0019261789188765909
Position 6510: 0.0018830855635877221
Position 5951: 0.0016835972864538455
Position 6181: 0.0016646199252170982
Position 6082: 0.0016583991026233186
Position 6999: 0.001533573458328113
Position 3844: 0.0014708196393576761
Position 700: 0.0014522083529822745
Position 8950: 0.0014491660844447043
Position 4291: 0.0013325856261785032
Position 5614: 0.0012798450528506303
Position 1884: 0.0012774474639610353
Position 6977: 0.0012429849219399648
Position 1464: 0.0012275017882629926
Position 6790: 0.0011040461097358465
Position 959: 0.001054188310312031
Position 2438: 0.000990371059306965
Position 309: 0.0009752365116100992
Position 4306: 0.0009615320215014514
Position 523: 0.0009535985710798707
Position 1764: 0.0009353258900745399
Position 568: 0.0009235813811134438
Position 991: 0.0009061650046104125
Position 7876: 0.0009043938625975664
Position 4253: 0.0008875893467109577
Position 6741: 0.0008836093301555127
Position 6698: 0.0008136372299264098
Position 297: 0.0008026458668271693
Position 6871: 0.0007825691588025607
Position 8821: 0.0007411135235444585
Position 744: 0.0007341589017539527
Position 8532: 0.0007193529907453617
Position 3001: 0.000636445160935388
Position 6765: 0.0005820477814947073
Position 2049: 0.0005718892167658841
Position 6035: 0.0005708929209589992
Position 8100: 0.000565770640899854
Position 224: 0.00050333281810372
Position 7212: 0.0004972327912522039
Position 4170: 0.0004887071381635349
Position 3143: 0.0004580722479056509
Position 3055: 0.00040020478021080127
Position 5802: 0.000367205151042127
Position 8626: 0.00035808082719983927
Position 3236: 0.0003488038279444604
Position 4738: 0.00034356896519630454
Position 1959: 0.00033066594521587996
Position 7475: 0.00031989094602078783
Position 415: 0.00031914861384269965
Position 615: 0.00029619290868628125
Position 6250: 0.0002939491098154758
Position 1850: 0.0002724370045529007
Position 3209: 0.00026712530683911206
Position 963: 0.00025479998796665125
Position 7458: 0.000244202718077959
Position 6365: 0.00024233514278278206
Position 2812: 0.00023627668285447506
Position 841: 0.00023503443895403484
Position 3098: 0.00021286509980904361
Position 1210: 0.00020522110396241236
Position 1749: 0.00020036048385029011
Position 1705: 0.000192215907785987
Position 8546: 0.00018759552723308774
Position 2596: 0.00018345700517598756
Position 1556: 0.00018287513590220465
Position 6474: 0.0001778664488511533
Position 2162: 0.00017207344894065022
Position 6040: 0.00014078486921574428
Position 6020: 0.00013512088879274943
Position 1907: 0.0001319865082271578
Position 4008: 0.00011089460655982143
Position 367: 0.00010362641623962905
Position 322: 9.59128991309542e-05
Position 1514: 9.321051886167435e-05
Position 2878: 9.214541747667785e-05
Position 2017: 8.206058688203052e-05
Position 7353: 7.52558963707295e-05
Position 2150: 7.444991796762762e-05
Position 1717: 7.409843442713574e-05
Position 226: 7.136673753590452e-05
Position 1207: 7.019046306765019e-05
Position 746: 6.63445655296222e-05
Position 705: 6.53906792064003e-05
Position 399: 6.478827136084611e-05
Position 587: 6.227270665057722e-05
Position 1252: 6.163576024483196e-05
Position 7073: 5.963713908792055e-05
Position 1188: 5.931469705444647e-05
Position 6378: 5.806634861938363e-05
Position 5652: 5.359096791508725e-05
Position 2033: 5.1241324736542675e-05
Position 5553: 5.068147495858498e-05
Position 5399: 5.00411186314238e-05
Position 6278: 4.998716155834856e-05
Position 1394: 4.99774295296373e-05
Position 672: 4.7721826510797194e-05
Position 5998: 4.574060602875015e-05
Position 3382: 4.415030714712933e-05
Position 2022: 4.28429387896133e-05
Position 994: 4.280829535920765e-05
Position 1640: 3.7855469220349894e-05
Position 1657: 3.597288352960072e-05
Position 1049: 3.531004123639295e-05
Position 3848: 3.419731901095086e-05
Position 2536: 3.3182690681452286e-05
Position 1312: 3.23570708089711e-05
Position 4482: 3.084573532676503e-05
Position 4566: 2.6859122067464157e-05
Position 5620: 2.631852121828459e-05
Position 525: 2.3891010982108833e-05
Position 591: 2.0334628059582788e-05
Position 2894: 1.6716779241924727e-05
Position 3868: 1.553763876633733e-05
Position 636: 1.4871442736674845e-05
Position 937: 1.2979012353205316e-05
Position 1135: 1.2961230466300153e-05
Position 2069: 1.275789586219048e-05
Position 1216: 1.2630763917030271e-05
Position 3563: 1.2485915500036318e-05
Position 396: 1.1176598028027094e-05
Position 2621: 1.1004246654805211e-05
Position 2912: 1.0722066717081356e-05
Position 646: 1.0721335776598455e-05
Position 655: 1.0109360769228806e-05
Position 1332: 9.478661196776109e-06
Position 4606: 8.716462470513354e-06
Position 1184: 7.747366776132129e-06
Position 1321: 7.412552417913477e-06
Position 3243: 6.598364634222769e-06
Position 1722: 6.303304019974212e-06
Position 1667: 5.804806915943683e-06
Position 1635: 5.215100675089613e-06
Position 2678: 5.116663498225754e-06
Position 2193: 4.3432648930715624e-06
Position 1342: 4.2907451688487454e-06
Position 2494: 3.6802922508415656e-06
Position 1766: 3.2046283571536967e-06
Position 661: 3.1367526145800016e-06
Position 711: 3.1224775888429835e-06
Position 3275: 2.7547646093987536e-06
Position 2261: 2.7378164140842128e-06
Position 2626: 2.4614420333335046e-06
Position 527: 2.069640050228175e-06
Position 901: 2.057440227631764e-06
Position 1771: 1.940071999174815e-06
Position 338: 1.832380683253658e-06
Position 2364: 1.3244220251818153e-06
Position 1264: 1.114655882097473e-06
Position 2168: 9.555820594391038e-07
Position 4217: 3.8988080849063797e-07
Position 1043: 3.322013913925258e-07
Position 3010: 2.397609743813461e-07
Position 1191: 2.2060514416450209e-07
Position 2176: 5.994812487981244e-08
Position 2135: 3.7069129988375447e-08
Position 2237: 3.077716872900069e-08
Position 2275: 2.2074944546474707e-08
Position 478: 2.128338855154711e-08
Position 762: 1.2674173028349187e-08
Position 720: 7.740308859675327e-09
Position 471: 6.66528878234175e-09
Position 425: 6.243942113472571e-09
Position 2239: 2.1657926023499385e-09
Position 1072: 2.0649197316574435e-09
Position 845: 1.1080081854342165e-09
Position 970: 1.0761511049301313e-09
Position 780: 5.304647459012352e-10
Position 469: 4.6134671417344433e-10
Position 1949: 2.7945667304962884e-10
Position 434: 2.745879746301871e-10
Position 462: 1.614390079621463e-10
Position 163: 1.0417819879904139e-10
Position 173: 3.759576364764402e-11
Position 436: 1.803130188762517e-11
Position 420: 1.0122120066017284e-11
Position 422: 2.3236311699830847e-12
