Gene = NUPR1L
index = 980
Annotated 5SS: [386]
Annotated 3SS: [1502]
SMsplice 5SS: [386]
SMsplice 3SS: [1502]
top_k =  1000
Partition function (log Z): -9.462667456525415

Sorted 5' Splice Sites (High to Low Probability):
Position 386: 0.9505584418015054
Position 572: 0.026647981994962704
Position 1116: 0.010898153759861548
Position 698: 0.007904352041851404
Position 55: 0.007797860194925921
Position 299: 0.004319837048801134
Position 390: 0.0023761429069196495
Position 1389: 0.001100099537942708
Position 730: 0.0007794432489269237
Position 1432: 0.000599146067856919
Position 576: 0.00044902068241627297
Position 1158: 0.0002338094917564005
Position 1377: 0.00021921556258545834
Position 794: 0.000149736068053076
Position 1582: 0.0001104447740799463
Position 65: 3.9863691761244466e-05
Position 117: 3.635686882075233e-05
Position 1534: 3.4353310189759906e-05
Position 1525: 2.7051611952924873e-05
Position 1222: 2.628380489284387e-05
Position 1546: 1.981791951457858e-05
Position 1467: 1.651101955590626e-05
Position 496: 1.2987996302993828e-05
Position 1075: 1.2067062314708672e-05
Position 1577: 1.1074212320991507e-05
Position 1263: 9.260224665262374e-06
Position 1266: 9.159399439904311e-06
Position 1035: 8.848998791592765e-06
Position 637: 8.571115984494171e-06
Position 1189: 8.161154550989718e-06
Position 863: 5.750858455623852e-06
Position 1610: 5.61873762276422e-06
Position 474: 4.663410056924606e-06
Position 1176: 4.542113541425446e-06
Position 26: 4.3547653307760825e-06
Position 1257: 3.750775858781416e-06
Position 740: 2.451237689910478e-06
Position 1518: 2.1470407735597096e-06
Position 869: 1.9519615126974294e-06
Position 415: 1.8680436084866147e-06
Position 1311: 1.6524320088042162e-06
Position 1554: 1.640158706062717e-06
Position 1308: 7.24320489946837e-07
Position 1324: 6.651497363340794e-07
Position 655: 6.340976069964847e-07
Position 1029: 4.681900366841504e-07
Position 437: 9.574444868194805e-11
Position 1093: 6.621053070192372e-11
Position 791: 3.882497821084731e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1502: 0.9285024036793454
Position 664: 0.015070787023113711
Position 1233: 0.010827818540919925
Position 472: 0.009903479243853309
Position 1589: 0.007772429653598915
Position 642: 0.005969316616671792
Position 1109: 0.004352727387653626
Position 1198: 0.003763084828159841
Position 1147: 0.003541743868391587
Position 1184: 0.0029729549306109545
Position 1069: 0.0022501891541412185
Position 124: 0.0021949897846673754
Position 571: 0.0015839166640658874
Position 1708: 0.0013142013538145942
Position 540: 0.0012338473615657686
Position 1215: 0.001211765373844232
Position 622: 0.0009511603956902736
Position 807: 0.0009053259449038505
Position 1610: 0.0008015391670360526
Position 1525: 0.0007664392365228532
Position 1115: 0.0006821194044791463
Position 502: 0.0006455843821115057
Position 1238: 0.000629167788719748
Position 1418: 0.0005876698755396711
Position 1561: 0.0005027464936465548
Position 519: 0.0004259067691670333
Position 1659: 0.00033471103145519334
Position 153: 0.00026916765188372827
Position 781: 0.00025622350193938467
Position 1656: 0.0002459613709829834
Position 221: 0.0002336957188314047
Position 1081: 0.00022478815329213142
Position 862: 0.0002176404587761608
Position 253: 0.00020487412583667503
Position 1684: 0.00020218220313069485
Position 1701: 0.00019531584434359965
Position 1247: 0.00017255425592563916
Position 1014: 0.00015884383252420112
Position 1382: 0.00015354131311834095
Position 681: 0.00014990449972629669
Position 1327: 0.0001429887385038399
Position 1454: 0.0001377625244267211
Position 474: 0.0001308397626434361
Position 1567: 0.0001294080227033186
Position 432: 0.00012037246397390493
Position 489: 0.00010152358629552715
Position 1705: 8.557376237862173e-05
Position 1423: 8.472869752978588e-05
Position 898: 8.329218133048642e-05
