Gene = PAIP1
index = 996
Annotated 5SS: [  498  1250  9352 14076 18156 20261 21546 22227 23342 27294]
Annotated 3SS: [ 1079  9165 13962 18043 20134 21438 22108 23286 27199 29609]
SMsplice 5SS: [  261  1250  9352 14076 20261 21546 22227 24816 27294 29687]
SMsplice 3SS: [ 1079  9165 13962 20134 21438 22108 24552 27199 29609 30442]
top_k =  1000
Partition function (log Z): 12.67844854639496

Sorted 5' Splice Sites (High to Low Probability):
Position 27294: 0.9978792564392294
Position 9352: 0.9909378802529555
Position 14076: 0.9578228479504701
Position 1250: 0.8987023312803682
Position 22227: 0.8927401124842301
Position 261: 0.7976857899375461
Position 20261: 0.7805889805027352
Position 24816: 0.7445829805008345
Position 29687: 0.6842882044188093
Position 498: 0.6616487143212787
Position 21546: 0.48151608116506495
Position 26559: 0.47257925579950744
Position 28028: 0.3592496820544945
Position 28944: 0.3425134241528545
Position 18156: 0.25396703763683287
Position 23342: 0.23949227336851253
Position 21542: 0.2275621533151087
Position 26745: 0.21432766800479808
Position 21637: 0.21147245769035916
Position 3852: 0.21063853826443465
Position 12575: 0.20585978692557444
Position 26119: 0.20003778027686334
Position 28595: 0.19715549067738303
Position 28800: 0.17920842966808723
Position 2671: 0.1659292545070973
Position 8844: 0.11730995351318538
Position 29743: 0.11319711592752905
Position 3101: 0.10222354215921858
Position 2666: 0.10177603636759393
Position 877: 0.09323365832451434
Position 17011: 0.08549290935242643
Position 21851: 0.08339643690128588
Position 640: 0.0800883891380341
Position 13733: 0.0752281670142682
Position 1166: 0.056262090581483425
Position 26109: 0.0492401297980753
Position 26810: 0.041577121834525006
Position 23476: 0.0411467136992614
Position 1442: 0.039878635303234385
Position 3078: 0.03160400928857157
Position 6384: 0.0312486549044555
Position 25039: 0.028860314547034874
Position 1452: 0.028531074165320268
Position 5646: 0.025113348534352643
Position 243: 0.024834370885235896
Position 27071: 0.01889654488737521
Position 20180: 0.01718275650065237
Position 29474: 0.01606883974123024
Position 29281: 0.016016441294416504
Position 21563: 0.015795437152994776
Position 29700: 0.014827503702442327
Position 4098: 0.013888585184189521
Position 5135: 0.013012046150426787
Position 4763: 0.012692155823470542
Position 6380: 0.01081380742778216
Position 28573: 0.010799862997916576
Position 23864: 0.009812210093364472
Position 30091: 0.008632175122043796
Position 23382: 0.0084756168942789
Position 23761: 0.008141550582948028
Position 29485: 0.00805122118851224
Position 28697: 0.007877729634922816
Position 21558: 0.007737262685083388
Position 6346: 0.007647231999522685
Position 29219: 0.006971601088249854
Position 11448: 0.006782022075774193
Position 267: 0.006310999264540236
Position 29825: 0.006200645553626215
Position 28907: 0.0061022933622752185
Position 2748: 0.0056363989705211755
Position 1230: 0.0055544650991453315
Position 25841: 0.0052015497915407615
Position 29276: 0.005167359244570027
Position 27019: 0.005124295302952389
Position 1323: 0.004317031507357277
Position 6588: 0.004292738735592089
Position 130: 0.004235673043728807
Position 20365: 0.004121923370850445
Position 717: 0.004071688041529325
Position 1582: 0.0040427951714240296
Position 16941: 0.003810151320545909
Position 29508: 0.0034386328281138055
Position 23890: 0.00334175673305868
Position 1977: 0.00275485472848462
Position 29748: 0.002748263121292516
Position 2260: 0.0022990384422945324
Position 27287: 0.002074429608217895
Position 29705: 0.0020437023403375595
Position 24635: 0.001989772748940246
Position 23771: 0.0019401556773676798
Position 22468: 0.0019375250087302067
Position 24968: 0.0018391028455933735
Position 2108: 0.0018134608397310768
Position 16950: 0.0017255191214362632
Position 29345: 0.0016597141200716003
Position 235: 0.0014181268194531878
Position 671: 0.0013943726076888802
Position 23470: 0.001284397572850908
Position 28728: 0.0010290513524527048
Position 21302: 0.0009787497467489998
Position 23532: 0.0009130944263759705
Position 22153: 0.0008992460300645814
Position 28222: 0.0007603926519789844
Position 452: 0.0007538456903482629
Position 22804: 0.0006944385261527269
Position 21373: 0.0006502105400689232
Position 2413: 0.0006464350164407039
Position 1014: 0.0006004996703695018
Position 2800: 0.00046221238158959617
Position 28702: 0.00040750872679854783
Position 22372: 0.00040559428204524226
Position 662: 0.000389622465549466
Position 800: 0.00038269266303641474
Position 30664: 0.00031528938604610075
Position 2390: 0.0003039198255214821
Position 445: 0.0002783265057636004
Position 24168: 0.0002620372765084572
Position 23652: 0.00020561541477712706
Position 25845: 0.00019866193170317985
Position 1006: 0.00019360761065889264
Position 2379: 0.00015573035343956708
Position 1254: 0.00014669406706674962
Position 690: 0.00014042012688694636
Position 27600: 0.00013086872883343075
Position 601: 0.00012381687871048663
Position 2859: 0.0001203207223539195
Position 752: 0.00010716204045501605
Position 22986: 9.46822421926877e-05
Position 1724: 8.304095062446304e-05
Position 4294: 7.957924655095071e-05
Position 1280: 7.661324076166716e-05
